 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 2.4825e+03 2.1891e+00 5.7634e-03 1.5351e-03 1.0000e+00
6.4894e-03 8.2006e+02 1.0625e+00 7.2656e-03 1.3680e-03 1.0000e+00
7.9787e-03 3.6196e+02 6.4944e-01 8.7518e-03 1.2941e-03 1.0000e+00
9.4681e-03 1.9298e+02 4.2624e-01 1.0216e-02 1.1982e-03 1.0000e+00
1.0957e-02 1.1657e+02 3.0597e-01 1.1712e-02 1.1155e-03 1.0000e+00
1.2447e-02 7.4758e+01 2.3144e-01 1.3208e-02 1.0696e-03 1.0000e+00
1.3936e-02 5.3249e+01 1.8383e-01 1.4696e-02 1.0122e-03 1.0000e+00
1.5426e-02 3.9391e+01 1.5104e-01 1.6188e-02 9.7158e-04 1.0000e+00
1.6915e-02 3.1423e+01 1.2980e-01 1.7679e-02 9.3229e-04 1.0000e+00
1.8404e-02 2.4933e+01 1.1115e-01 1.9167e-02 9.0028e-04 1.0000e+00
1.9894e-02 2.1911e+01 1.0049e-01 2.0647e-02 8.7140e-04 1.0000e+00
2.1383e-02 1.8275e+01 8.9651e-02 2.2130e-02 8.4124e-04 1.0000e+00
2.2872e-02 1.6593e+01 8.2678e-02 2.3621e-02 8.1404e-04 1.0000e+00
2.4362e-02 1.4806e+01 7.6188e-02 2.5110e-02 7.9389e-04 1.0000e+00
2.5851e-02 1.4320e+01 7.2274e-02 2.6600e-02 7.6859e-04 1.0000e+00
2.7340e-02 1.3322e+01 6.8862e-02 2.8089e-02 7.5439e-04 1.0000e+00
2.8830e-02 1.2284e+01 6.4249e-02 2.9579e-02 7.3111e-04 1.0000e+00
3.0319e-02 1.2325e+01 6.3041e-02 3.1075e-02 7.3907e-04 1.0000e+00
3.1809e-02 1.1840e+01 6.3565e-02 3.2544e-02 7.7062e-04 1.0000e+00
3.3298e-02 1.1975e+01 6.5495e-02 3.4020e-02 8.0450e-04 1.0000e+00
3.4787e-02 1.1953e+01 6.7359e-02 3.5518e-02 8.2958e-04 1.0000e+00
3.6277e-02 1.1548e+01 6.9237e-02 3.7013e-02 8.8563e-04 1.0000e+00
3.7766e-02 1.1654e+01 7.5972e-02 3.8474e-02 9.8745e-04 1.0000e+00
3.9255e-02 1.1625e+01 8.1387e-02 3.9971e-02 1.1390e-03 1.0000e+00
4.0745e-02 1.1822e+01 9.1636e-02 4.1465e-02 1.2743e-03 1.0000e+00
4.2234e-02 1.1508e+01 9.5451e-02 4.2962e-02 1.6494e-03 1.0000e+00
4.3723e-02 1.1390e+01 1.0008e-01 4.4422e-02 1.9598e-03 1.0000e+00
4.5213e-02 1.1892e+01 9.3707e-02 4.5920e-02 2.4863e-03 1.0000e+00
4.6702e-02 1.2947e+01 1.0144e-01 4.7478e-02 3.3570e-03 1.0000e+00
4.8191e-02 1.3566e+01 8.8228e-02 4.8808e-02 4.3465e-03 1.0000e+00
4.9681e-02 1.4089e+01 5.7063e-02 5.0422e-02 4.4496e-03 1.0000e+00
5.1170e-02 1.5326e+01 6.1104e-02 5.1946e-02 4.9291e-03 1.0000e+00
5.2660e-02 1.5743e+01 5.3595e-02 5.3322e-02 4.2974e-03 1.0000e+00
5.4149e-02 1.7355e+01 5.4779e-02 5.4962e-02 4.1511e-03 1.0000e+00
5.5638e-02 1.8927e+01 5.9363e-02 5.6423e-02 4.3687e-03 1.0000e+00
5.7128e-02 2.0636e+01 6.0029e-02 5.7842e-02 4.1991e-03 1.0000e+00
5.8617e-02 2.3519e+01 6.3591e-02 5.9360e-02 4.1523e-03 1.0000e+00
6.0106e-02 2.6208e+01 6.3905e-02 6.0835e-02 4.1069e-03 1.0000e+00
6.1596e-02 3.1083e+01 7.0613e-02 6.2339e-02 4.0778e-03 1.0000e+00
6.3085e-02 3.6745e+01 7.6418e-02 6.3836e-02 4.0492e-03 1.0000e+00
6.4574e-02 4.2503e+01 8.0272e-02 6.5319e-02 4.0785e-03 1.0000e+00
6.6064e-02 5.3112e+01 9.0208e-02 6.6747e-02 4.0217e-03 1.0000e+00
6.7553e-02 6.4403e+01 9.4870e-02 6.8303e-02 3.8633e-03 1.0000e+00
6.9043e-02 7.5909e+01 1.0565e-01 6.9787e-02 4.0654e-03 1.0000e+00
7.0532e-02 9.0085e+01 1.1135e-01 7.1203e-02 3.8518e-03 1.0000e+00
7.2021e-02 1.0403e+02 1.1500e-01 7.2823e-02 3.7686e-03 1.0000e+00
7.3511e-02 1.1560e+02 1.3136e-01 7.4221e-02 4.1111e-03 1.0000e+00
7.5000e-02 1.2757e+02 1.2381e-01 7.5695e-02 3.6484e-03 1.0000e+00
7.6489e-02 1.3838e+02 1.3496e-01 7.7298e-02 3.8293e-03 1.0000e+00
7.7979e-02 1.4094e+02 1.3429e-01 7.8650e-02 3.9044e-03 1.0000e+00
7.9468e-02 1.4550e+02 1.2831e-01 8.0196e-02 3.5885e-03 1.0000e+00
8.0957e-02 1.4598e+02 1.3172e-01 8.1771e-02 3.7040e-03 1.0000e+00
8.2447e-02 1.3936e+02 1.2888e-01 8.3184e-02 3.8311e-03 1.0000e+00
8.3936e-02 1.3709e+02 1.2765e-01 8.4657e-02 3.6515e-03 1.0000e+00
8.5426e-02 1.2558e+02 1.1484e-01 8.6174e-02 3.5904e-03 1.0000e+00
8.6915e-02 1.1631e+02 1.1195e-01 8.7667e-02 3.6523e-03 1.0000e+00
8.8404e-02 1.0777e+02 1.1011e-01 8.9140e-02 3.6017e-03 1.0000e+00
8.9894e-02 9.4528e+01 9.7667e-02 9.0668e-02 3.5624e-03 1.0000e+00
9.1383e-02 8.5894e+01 9.8122e-02 9.2075e-02 3.6968e-03 1.0000e+00
9.2872e-02 7.4752e+01 8.4258e-02 9.3587e-02 3.3919e-03 1.0000e+00
9.4362e-02 6.4133e+01 7.9364e-02 9.5163e-02 3.5447e-03 1.0000e+00
9.5851e-02 5.7049e+01 7.6683e-02 9.6543e-02 3.5647e-03 1.0000e+00
9.7340e-02 4.8120e+01 6.7256e-02 9.8094e-02 3.3935e-03 1.0000e+00
9.8830e-02 4.1113e+01 6.4074e-02 9.9553e-02 3.6054e-03 1.0000e+00
1.0032e-01 3.5811e+01 5.6504e-02 1.0097e-01 3.3614e-03 1.0000e+00
1.0181e-01 3.0226e+01 5.2175e-02 1.0259e-01 3.3300e-03 1.0000e+00
1.0330e-01 2.5955e+01 4.9549e-02 1.0403e-01 3.5291e-03 1.0000e+00
1.0479e-01 2.2034e+01 4.3635e-02 1.0548e-01 3.3230e-03 1.0000e+00
1.0628e-01 1.9276e+01 4.1519e-02 1.0703e-01 3.3397e-03 1.0000e+00
1.0777e-01 1.6687e+01 3.8825e-02 1.0844e-01 3.5307e-03 1.0000e+00
1.0926e-01 1.4762e+01 3.6280e-02 1.0996e-01 3.4761e-03 1.0000e+00
1.1074e-01 1.3113e+01 3.4879e-02 1.1147e-01 3.6201e-03 1.0000e+00
1.1223e-01 1.2063e+01 3.7738e-02 1.1291e-01 4.1574e-03 1.0000e+00
1.1372e-01 1.1163e+01 4.6382e-02 1.1442e-01 5.4701e-03 1.0000e+00
1.1521e-01 1.0448e+01 5.7408e-02 1.1591e-01 7.0480e-03 1.0000e+00
1.1670e-01 9.7170e+00 7.5702e-02 1.1737e-01 1.0803e-02 1.0000e+00
1.1819e-01 9.5593e+00 1.0606e-01 1.1868e-01 1.5280e-02 1.0000e+00
