 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 1.6656e+03 4.7575e+00 5.8714e-03 5.4190e-03 1.0000e+00
6.4894e-03 6.5269e+02 2.4663e+00 7.2702e-03 4.4827e-03 1.0000e+00
7.9787e-03 3.0625e+02 1.6091e+00 8.7224e-03 4.2642e-03 1.0000e+00
9.4681e-03 1.6424e+02 1.0233e+00 1.0262e-02 3.6933e-03 1.0000e+00
1.0957e-02 9.4804e+01 7.9046e-01 1.1713e-02 3.7614e-03 1.0000e+00
1.2447e-02 6.6852e+01 5.7980e-01 1.3179e-02 3.2579e-03 1.0000e+00
1.3936e-02 4.2990e+01 4.5074e-01 1.4726e-02 3.1305e-03 1.0000e+00
1.5426e-02 3.2101e+01 3.8897e-01 1.6218e-02 3.0915e-03 1.0000e+00
1.6915e-02 2.7881e+01 3.4674e-01 1.7664e-02 2.9481e-03 1.0000e+00
1.8404e-02 2.2770e+01 2.9274e-01 1.9150e-02 2.7388e-03 1.0000e+00
1.9894e-02 1.8888e+01 2.6413e-01 2.0673e-02 2.6621e-03 1.0000e+00
2.1383e-02 1.5524e+01 2.4329e-01 2.2144e-02 2.6627e-03 1.0000e+00
2.2872e-02 1.4794e+01 2.2569e-01 2.3600e-02 2.5266e-03 1.0000e+00
2.4362e-02 1.2574e+01 1.9854e-01 2.5123e-02 2.3738e-03 1.0000e+00
2.5851e-02 1.2912e+01 2.0507e-01 2.6609e-02 2.4286e-03 1.0000e+00
2.7340e-02 1.1790e+01 1.8672e-01 2.8081e-02 2.2922e-03 1.0000e+00
2.8830e-02 1.1261e+01 1.7699e-01 2.9601e-02 2.2182e-03 1.0000e+00
3.0319e-02 1.1916e+01 1.8196e-01 3.1086e-02 2.2331e-03 1.0000e+00
3.1809e-02 1.1645e+01 2.4877e-01 3.2581e-02 3.0613e-03 1.0000e+00
3.3298e-02 1.2615e+01 3.7299e-01 3.3659e-02 4.4979e-03 1.0000e+00
3.6277e-02 9.0007e+00 1.6241e-01 3.7678e-02 2.4002e-02 1.0000e+00
3.7766e-02 1.0735e+01 2.4975e-01 3.8072e-02 3.3944e-02 1.0000e+00
3.9255e-02 9.8659e+00 1.0319e-01 4.0248e-02 1.4475e-02 1.0000e+00
4.2234e-02 1.0450e+01 1.0114e-01 4.2790e-02 1.3860e-02 1.0000e+00
4.3723e-02 1.0167e+01 1.5536e-01 4.5125e-02 2.1475e-02 1.0000e+00
4.5213e-02 1.0287e+01 1.2337e-01 4.5455e-02 1.6977e-02 1.0000e+00
4.6702e-02 1.1032e+01 9.9847e-02 4.7837e-02 1.3320e-02 1.0000e+00
4.9681e-02 1.2271e+01 9.8198e-02 5.0421e-02 1.2402e-02 1.0000e+00
5.1170e-02 1.2740e+01 3.8460e-01 5.2619e-02 4.8037e-02 1.0000e+00
5.2660e-02 1.3158e+01 1.0482e-01 5.2949e-02 1.2839e-02 1.0000e+00
5.4149e-02 1.4358e+01 1.1754e-01 5.5342e-02 1.3869e-02 1.0000e+00
5.5638e-02 1.4357e+01 2.0370e-01 5.5843e-02 2.4023e-02 1.0000e+00
5.7128e-02 1.6880e+01 1.0774e-01 5.8005e-02 1.1654e-02 1.0000e+00
6.0106e-02 2.0145e+01 1.1769e-01 6.0509e-02 1.1656e-02 1.0000e+00
6.1596e-02 2.4719e+01 1.6184e-01 6.2856e-02 1.4493e-02 1.0000e+00
