 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 -1.0993e+01 4.9298e-01 5.8714e-03 5.4190e-03 1.0000e+00
6.4894e-03 -5.6848e+00 2.5945e-01 7.2702e-03 4.4827e-03 1.0000e+00
7.9787e-03 -1.5585e+00 1.8997e-01 8.7224e-03 4.2642e-03 1.0000e+00
9.4681e-03 -1.5517e-01 1.3685e-01 1.0262e-02 3.6933e-03 1.0000e+00
1.0957e-02 5.2278e-01 1.2208e-01 1.1713e-02 3.7614e-03 1.0000e+00
1.2447e-02 1.2501e+00 1.0336e-01 1.3179e-02 3.2579e-03 1.0000e+00
1.3936e-02 1.3850e+00 9.3827e-02 1.4726e-02 3.1305e-03 1.0000e+00
1.5426e-02 1.0155e+00 8.6109e-02 1.6218e-02 3.0915e-03 1.0000e+00
1.6915e-02 6.0195e-01 7.6889e-02 1.7664e-02 2.9481e-03 1.0000e+00
1.8404e-02 1.0726e+00 7.3163e-02 1.9150e-02 2.7388e-03 1.0000e+00
1.9894e-02 1.5291e+00 7.3844e-02 2.0673e-02 2.6621e-03 1.0000e+00
2.1383e-02 1.1635e+00 7.0783e-02 2.2144e-02 2.6627e-03 1.0000e+00
2.2872e-02 1.1274e+00 6.5990e-02 2.3600e-02 2.5266e-03 1.0000e+00
2.4362e-02 1.2248e+00 6.2636e-02 2.5123e-02 2.3738e-03 1.0000e+00
2.5851e-02 1.3882e+00 6.4922e-02 2.6609e-02 2.4286e-03 1.0000e+00
2.7340e-02 1.3668e+00 6.0936e-02 2.8081e-02 2.2922e-03 1.0000e+00
2.8830e-02 1.4342e+00 5.9075e-02 2.9601e-02 2.2182e-03 1.0000e+00
3.0319e-02 1.6737e+00 6.0982e-02 3.1086e-02 2.2331e-03 1.0000e+00
3.1809e-02 1.2617e+00 8.1213e-02 3.2581e-02 3.0613e-03 1.0000e+00
3.3298e-02 2.0418e+00 1.2678e-01 3.3659e-02 4.4979e-03 1.0000e+00
3.6277e-02 1.2186e+00 4.1659e-02 3.7678e-02 2.4002e-02 1.0000e+00
3.7766e-02 8.8585e-01 5.3949e-02 3.8072e-02 3.3944e-02 1.0000e+00
3.9255e-02 1.1025e+00 2.4627e-02 4.0248e-02 1.4475e-02 1.0000e+00
4.2234e-02 1.1061e+00 2.3637e-02 4.2790e-02 1.3860e-02 1.0000e+00
4.3723e-02 1.2381e+00 3.8126e-02 4.5125e-02 2.1475e-02 1.0000e+00
4.5213e-02 1.0718e+00 2.8837e-02 4.5455e-02 1.6977e-02 1.0000e+00
4.6702e-02 1.0454e+00 2.2536e-02 4.7837e-02 1.3320e-02 1.0000e+00
4.9681e-02 9.3621e-01 2.0654e-02 5.0421e-02 1.2402e-02 1.0000e+00
5.1170e-02 1.2780e+00 8.8528e-02 5.2619e-02 4.8037e-02 1.0000e+00
5.2660e-02 8.8911e-01 2.1237e-02 5.2949e-02 1.2839e-02 1.0000e+00
5.4149e-02 1.0206e+00 2.4016e-02 5.5342e-02 1.3869e-02 1.0000e+00
5.5638e-02 7.9076e-01 3.8864e-02 5.5843e-02 2.4023e-02 1.0000e+00
