 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 -1.7528e+01 5.1298e-01 5.7070e-03 3.5091e-03 1.0000e+00
6.4894e-03 -6.2230e+00 2.6429e-01 7.2801e-03 3.0515e-03 1.0000e+00
7.9787e-03 -1.9760e+00 1.7801e-01 8.7749e-03 2.9459e-03 1.0000e+00
9.4681e-03 3.5050e-02 1.3899e-01 1.0189e-02 2.7101e-03 1.0000e+00
1.0957e-02 -2.7748e-01 1.0153e-01 1.1694e-02 2.4431e-03 1.0000e+00
1.2447e-02 1.3384e-01 9.0972e-02 1.3229e-02 2.4245e-03 1.0000e+00
1.3936e-02 1.0452e-01 8.2711e-02 1.4703e-02 2.3884e-03 1.0000e+00
1.5426e-02 7.1062e-01 8.1723e-02 1.6160e-02 2.3205e-03 1.0000e+00
1.6915e-02 2.4558e-01 6.9945e-02 1.7664e-02 2.1864e-03 1.0000e+00
1.8404e-02 8.9426e-01 7.1157e-02 1.9210e-02 2.1216e-03 1.0000e+00
1.9894e-02 8.3714e-01 7.1353e-02 2.0645e-02 2.1604e-03 1.0000e+00
2.1383e-02 9.3634e-01 6.4764e-02 2.2101e-02 1.9971e-03 1.0000e+00
2.2872e-02 8.4764e-01 6.0468e-02 2.3646e-02 1.9192e-03 1.0000e+00
2.4362e-02 8.7252e-01 6.1635e-02 2.5132e-02 1.9480e-03 1.0000e+00
2.5851e-02 8.3107e-01 5.9732e-02 2.6582e-02 1.9294e-03 1.0000e+00
2.7340e-02 1.0923e+00 5.8611e-02 2.8069e-02 1.8508e-03 1.0000e+00
2.8830e-02 1.2342e+00 6.0364e-02 2.9591e-02 1.8681e-03 1.0000e+00
3.0319e-02 9.7863e-01 7.2663e-02 3.1125e-02 2.4123e-03 1.0000e+00
3.1809e-02 1.1994e+00 8.9702e-02 3.2396e-02 3.0614e-03 1.0000e+00
3.3298e-02 1.8559e+00 1.0983e-01 3.4002e-02 4.0023e-03 1.0000e+00
3.4787e-02 1.3525e+00 9.1781e-02 3.5534e-02 3.5228e-03 1.0000e+00
3.6277e-02 1.6257e+00 1.2043e-01 3.6902e-02 4.5011e-03 1.0000e+00
3.7766e-02 3.3375e-01 1.8416e-01 3.7941e-02 8.0117e-03 1.0000e+00
4.2234e-02 9.5506e-01 6.2116e-02 4.3660e-02 2.4011e-02 1.0000e+00
4.3723e-02 1.0180e+00 3.9753e-02 4.3964e-02 1.5186e-02 1.0000e+00
4.5213e-02 8.4655e-01 2.2235e-02 4.5910e-02 9.0765e-03 1.0000e+00
4.6702e-02 9.1268e-01 3.4633e-02 4.7887e-02 1.3866e-02 1.0000e+00
4.8191e-02 9.0534e-01 2.8846e-02 4.8420e-02 1.1322e-02 1.0000e+00
4.9681e-02 7.9399e-01 2.1623e-02 5.0470e-02 8.7712e-03 1.0000e+00
5.1170e-02 8.2005e-01 3.4303e-02 5.2296e-02 1.3870e-02 1.0000e+00
5.2660e-02 6.2855e-01 2.4195e-02 5.2963e-02 1.0244e-02 1.0000e+00
5.4149e-02 6.1736e-01 2.0614e-02 5.4996e-02 8.6312e-03 1.0000e+00
5.5638e-02 7.5828e-01 3.2753e-02 5.6673e-02 1.2845e-02 1.0000e+00
5.7128e-02 5.9321e-01 2.3573e-02 5.7538e-02 9.6131e-03 1.0000e+00
5.8617e-02 5.5246e-01 2.0822e-02 5.9550e-02 8.3684e-03 1.0000e+00
6.0106e-02 5.6452e-01 3.4094e-02 6.1069e-02 1.3335e-02 1.0000e+00
6.1596e-02 5.9590e-01 2.3513e-02 6.2079e-02 8.7786e-03 1.0000e+00
6.3085e-02 5.0860e-01 2.3196e-02 6.4076e-02 8.3714e-03 1.0000e+00
6.4574e-02 4.9767e-01 3.6146e-02 6.5415e-02 1.2418e-02 1.0000e+00
6.6064e-02 4.7701e-01 2.5636e-02 6.6594e-02 8.3731e-03 1.0000e+00
6.7553e-02 3.9540e-01 2.7866e-02 6.8588e-02 8.5044e-03 1.0000e+00
6.9043e-02 5.5196e-01 4.1278e-02 6.9725e-02 1.1669e-02 1.0000e+00
7.0532e-02 1.6234e-01 2.7560e-02 7.1132e-02 7.8060e-03 1.0000e+00
7.2021e-02 2.3606e-01 3.2960e-02 7.3099e-02 8.6440e-03 1.0000e+00
7.3511e-02 3.0826e-01 4.7673e-02 7.3889e-02 1.2033e-02 1.0000e+00
7.5000e-02 -3.5259e-03 2.9136e-02 7.5582e-02 7.2573e-03 1.0000e+00
7.6489e-02 -4.0239e-01 3.3986e-02 7.7546e-02 8.5116e-03 1.0000e+00
7.7979e-02 -2.1459e-01 4.6727e-02 7.8323e-02 1.1350e-02 1.0000e+00
7.9468e-02 -6.6142e-02 2.9654e-02 8.0109e-02 7.0250e-03 1.0000e+00
8.0957e-02 1.6890e-02 3.5869e-02 8.2026e-02 8.5154e-03 1.0000e+00
8.2447e-02 -4.7638e-02 4.3014e-02 8.2862e-02 1.0271e-02 1.0000e+00
8.3936e-02 -2.3960e-01 2.7349e-02 8.4650e-02 6.8834e-03 1.0000e+00
8.5426e-02 -7.2016e-02 3.3731e-02 8.6477e-02 8.7989e-03 1.0000e+00
8.6915e-02 1.2922e-01 3.5615e-02 8.7349e-02 9.1086e-03 1.0000e+00
8.8404e-02 1.8635e-02 2.5168e-02 8.9159e-02 6.8869e-03 1.0000e+00
8.9894e-02 9.6594e-02 3.0570e-02 9.0872e-02 8.8033e-03 1.0000e+00
