 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 1.8170e+03 1.8569e+00 5.7634e-03 1.5351e-03 1.0000e+00
6.4894e-03 6.2422e+02 9.1397e-01 7.2656e-03 1.3680e-03 1.0000e+00
7.9787e-03 2.7714e+02 5.5864e-01 8.7518e-03 1.2941e-03 1.0000e+00
9.4681e-03 1.4833e+02 3.6897e-01 1.0216e-02 1.1982e-03 1.0000e+00
1.0957e-02 8.7851e+01 2.6219e-01 1.1712e-02 1.1155e-03 1.0000e+00
1.2447e-02 5.8438e+01 2.0304e-01 1.3208e-02 1.0696e-03 1.0000e+00
1.3936e-02 4.0259e+01 1.5838e-01 1.4696e-02 1.0122e-03 1.0000e+00
1.5426e-02 3.0166e+01 1.3167e-01 1.6188e-02 9.7158e-04 1.0000e+00
1.6915e-02 2.3844e+01 1.1359e-01 1.7679e-02 9.3229e-04 1.0000e+00
1.8404e-02 2.0220e+01 1.0039e-01 1.9167e-02 9.0028e-04 1.0000e+00
1.9894e-02 1.6585e+01 8.8584e-02 2.0647e-02 8.7140e-04 1.0000e+00
2.1383e-02 1.4069e+01 7.9744e-02 2.2130e-02 8.4124e-04 1.0000e+00
2.2872e-02 1.2556e+01 7.3208e-02 2.3621e-02 8.1404e-04 1.0000e+00
2.4362e-02 1.1815e+01 6.9163e-02 2.5110e-02 7.9389e-04 1.0000e+00
2.5851e-02 1.0836e+01 6.4352e-02 2.6600e-02 7.6859e-04 1.0000e+00
2.7340e-02 9.7918e+00 6.0376e-02 2.8089e-02 7.5439e-04 1.0000e+00
2.8830e-02 9.7434e+00 5.8093e-02 2.9579e-02 7.3111e-04 1.0000e+00
3.0319e-02 9.4849e+00 5.6970e-02 3.1075e-02 7.3907e-04 1.0000e+00
3.1809e-02 9.3759e+00 5.8138e-02 3.2544e-02 7.7062e-04 1.0000e+00
3.3298e-02 8.8531e+00 5.8608e-02 3.4020e-02 8.0450e-04 1.0000e+00
3.4787e-02 8.6981e+00 5.9916e-02 3.5518e-02 8.2958e-04 1.0000e+00
3.6277e-02 8.3964e+00 6.1551e-02 3.7013e-02 8.8563e-04 1.0000e+00
3.7766e-02 8.2414e+00 6.6760e-02 3.8474e-02 9.8745e-04 1.0000e+00
3.9255e-02 8.1777e+00 7.1210e-02 3.9971e-02 1.1390e-03 1.0000e+00
4.0745e-02 8.3631e+00 8.0277e-02 4.1465e-02 1.2743e-03 1.0000e+00
