 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 3.4252e+03 3.6080e+01 5.8714e-03 5.4190e-03 1.0000e+00
6.4894e-03 1.3408e+03 1.8672e+01 7.2702e-03 4.4827e-03 1.0000e+00
7.9787e-03 6.2035e+02 1.2070e+01 8.7224e-03 4.2642e-03 1.0000e+00
9.4681e-03 3.1778e+02 7.4770e+00 1.0262e-02 3.6933e-03 1.0000e+00
1.0957e-02 2.0347e+02 6.0494e+00 1.1713e-02 3.7614e-03 1.0000e+00
1.2447e-02 1.3052e+02 4.2097e+00 1.3179e-02 3.2579e-03 1.0000e+00
1.3936e-02 9.3224e+01 3.4132e+00 1.4726e-02 3.1305e-03 1.0000e+00
1.5426e-02 6.8109e+01 2.8865e+00 1.6218e-02 3.0915e-03 1.0000e+00
1.6915e-02 5.9161e+01 2.5613e+00 1.7664e-02 2.9481e-03 1.0000e+00
1.8404e-02 4.7692e+01 2.1288e+00 1.9150e-02 2.7388e-03 1.0000e+00
1.9894e-02 3.6845e+01 1.8356e+00 2.0673e-02 2.6621e-03 1.0000e+00
2.1383e-02 3.6687e+01 1.8343e+00 2.2144e-02 2.6627e-03 1.0000e+00
2.2872e-02 2.8811e+01 1.5443e+00 2.3600e-02 2.5266e-03 1.0000e+00
2.4362e-02 2.5966e+01 1.3798e+00 2.5123e-02 2.3738e-03 1.0000e+00
2.5851e-02 2.6796e+01 1.4320e+00 2.6609e-02 2.4286e-03 1.0000e+00
2.7340e-02 2.5622e+01 1.3239e+00 2.8081e-02 2.2922e-03 1.0000e+00
2.8830e-02 2.2901e+01 1.2108e+00 2.9601e-02 2.2182e-03 1.0000e+00
3.0319e-02 2.2266e+01 1.2004e+00 3.1086e-02 2.2331e-03 1.0000e+00
3.1809e-02 2.2189e+01 1.6485e+00 3.2581e-02 3.0613e-03 1.0000e+00
3.3298e-02 2.4461e+01 2.5084e+00 3.3659e-02 4.4979e-03 1.0000e+00
3.6277e-02 2.0901e+01 1.2890e+00 3.7678e-02 2.4002e-02 1.0000e+00
3.7766e-02 1.9839e+01 1.7748e+00 3.8072e-02 3.3944e-02 1.0000e+00
3.9255e-02 2.1575e+01 7.9627e-01 4.0248e-02 1.4475e-02 1.0000e+00
4.2234e-02 2.1034e+01 7.4945e-01 4.2790e-02 1.3860e-02 1.0000e+00
4.3723e-02 2.3669e+01 1.2366e+00 4.5125e-02 2.1475e-02 1.0000e+00
4.5213e-02 2.2487e+01 9.5212e-01 4.5455e-02 1.6977e-02 1.0000e+00
4.6702e-02 2.2702e+01 7.4839e-01 4.7837e-02 1.3320e-02 1.0000e+00
4.9681e-02 2.5210e+01 7.3640e-01 5.0421e-02 1.2402e-02 1.0000e+00
5.1170e-02 3.0034e+01 3.0900e+00 5.2619e-02 4.8037e-02 1.0000e+00
5.2660e-02 2.6805e+01 7.8344e-01 5.2949e-02 1.2839e-02 1.0000e+00
5.4149e-02 2.9528e+01 8.8364e-01 5.5342e-02 1.3869e-02 1.0000e+00
5.5638e-02 3.3253e+01 1.6247e+00 5.5843e-02 2.4023e-02 1.0000e+00
5.7128e-02 3.4894e+01 8.1303e-01 5.8005e-02 1.1654e-02 1.0000e+00
6.0106e-02 4.1365e+01 8.8653e-01 6.0509e-02 1.1656e-02 1.0000e+00
6.1596e-02 5.0607e+01 1.2190e+00 6.2856e-02 1.4493e-02 1.0000e+00
6.3085e-02 5.3247e+01 1.4624e+00 6.3412e-02 1.6995e-02 1.0000e+00
6.4574e-02 6.9541e+01 1.1473e+00 6.5520e-02 1.1660e-02 1.0000e+00
6.6064e-02 6.9925e+01 3.3299e+00 6.6209e-02 3.3996e-02 1.0000e+00
6.7553e-02 9.8141e+01 1.2925e+00 6.8096e-02 1.1031e-02 1.0000e+00
6.9043e-02 1.2547e+02 2.1204e+00 7.0346e-02 1.6031e-02 1.0000e+00
7.0532e-02 1.3558e+02 1.9910e+00 7.0866e-02 1.4501e-02 1.0000e+00
7.2021e-02 1.6672e+02 1.7818e+00 7.3036e-02 1.1666e-02 1.0000e+00
7.3511e-02 1.7937e+02 3.8071e+00 7.3713e-02 2.4052e-02 1.0000e+00
7.5000e-02 2.0126e+02 1.7575e+00 7.5666e-02 1.0499e-02 1.0000e+00
7.6489e-02 2.2857e+02 2.8496e+00 7.7879e-02 1.6040e-02 1.0000e+00
7.7979e-02 2.2680e+02 2.2808e+00 7.8472e-02 1.2861e-02 1.0000e+00
7.9468e-02 2.3401e+02 2.1051e+00 8.0551e-02 1.1673e-02 1.0000e+00
8.0957e-02 2.4347e+02 3.6099e+00 8.1271e-02 1.9650e-02 1.0000e+00
8.2447e-02 2.2912e+02 1.8756e+00 8.3168e-02 1.0505e-02 1.0000e+00
8.3936e-02 2.2192e+02 2.9830e+00 8.4848e-02 1.7023e-02 1.0000e+00
8.5426e-02 2.1623e+02 1.8633e+00 8.5911e-02 1.0767e-02 1.0000e+00
8.6915e-02 1.9236e+02 1.9116e+00 8.8061e-02 1.1681e-02 1.0000e+00
8.8404e-02 1.8499e+02 2.7366e+00 8.8798e-02 1.7029e-02 1.0000e+00
8.9894e-02 1.6483e+02 1.5868e+00 9.0668e-02 1.0512e-02 1.0000e+00
9.1383e-02 1.5516e+02 2.4911e+00 9.1884e-02 1.7034e-02 1.0000e+00
9.2872e-02 1.2791e+02 1.2850e+00 9.3401e-02 9.6373e-03 1.0000e+00
9.4362e-02 1.0785e+02 1.4689e+00 9.5548e-02 1.2049e-02 1.0000e+00
9.5851e-02 9.7892e+01 1.6863e+00 9.6297e-02 1.4533e-02 1.0000e+00
9.7340e-02 8.1031e+01 1.1072e+00 9.8162e-02 1.0520e-02 1.0000e+00
9.8830e-02 7.9133e+01 1.8910e+00 9.9032e-02 1.8223e-02 1.0000e+00
1.0032e-01 6.1134e+01 8.3824e-01 1.0087e-01 9.1133e-03 1.0000e+00
1.0181e-01 5.0868e+01 1.0783e+00 1.0291e-01 1.2891e-02 1.0000e+00
1.0330e-01 4.5875e+01 9.5896e-01 1.0372e-01 1.2059e-02 1.0000e+00
1.0479e-01 3.8622e+01 7.7004e-01 1.0565e-01 1.0529e-02 1.0000e+00
1.0628e-01 3.5559e+01 1.0689e+00 1.0660e-01 1.5259e-02 1.0000e+00
1.0777e-01 2.8303e+01 5.5955e-01 1.0837e-01 8.9621e-03 1.0000e+00
1.0926e-01 2.5672e+01 7.4106e-01 1.1035e-01 1.2464e-02 1.0000e+00
1.1074e-01 2.2369e+01 6.9163e-01 1.1119e-01 1.2465e-02 1.0000e+00
1.1223e-01 2.1170e+01 8.2422e-01 1.1307e-01 1.5270e-02 1.0000e+00
