 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 4.9008e+03 3.9982e+01 5.7070e-03 3.5091e-03 1.0000e+00
6.4894e-03 1.6800e+03 2.0233e+01 7.2801e-03 3.0515e-03 1.0000e+00
7.9787e-03 6.9050e+02 1.2552e+01 8.7749e-03 2.9459e-03 1.0000e+00
9.4681e-03 3.8521e+02 8.6148e+00 1.0189e-02 2.7101e-03 1.0000e+00
1.0957e-02 2.2794e+02 5.9613e+00 1.1694e-02 2.4431e-03 1.0000e+00
1.2447e-02 1.4179e+02 4.6675e+00 1.3229e-02 2.4245e-03 1.0000e+00
1.3936e-02 1.0372e+02 3.9381e+00 1.4703e-02 2.3884e-03 1.0000e+00
1.5426e-02 8.3780e+01 3.4254e+00 1.6160e-02 2.3205e-03 1.0000e+00
1.6915e-02 5.7705e+01 2.6900e+00 1.7664e-02 2.1864e-03 1.0000e+00
1.8404e-02 4.5490e+01 2.3000e+00 1.9210e-02 2.1216e-03 1.0000e+00
1.9894e-02 4.2065e+01 2.2487e+00 2.0645e-02 2.1604e-03 1.0000e+00
2.1383e-02 3.7959e+01 1.9648e+00 2.2101e-02 1.9971e-03 1.0000e+00
2.2872e-02 2.9805e+01 1.6531e+00 2.3646e-02 1.9192e-03 1.0000e+00
2.4362e-02 2.9479e+01 1.6785e+00 2.5132e-02 1.9480e-03 1.0000e+00
2.5851e-02 2.8244e+01 1.6230e+00 2.6582e-02 1.9294e-03 1.0000e+00
2.7340e-02 2.5448e+01 1.4663e+00 2.8069e-02 1.8508e-03 1.0000e+00
2.8830e-02 2.3842e+01 1.4322e+00 2.9591e-02 1.8681e-03 1.0000e+00
3.0319e-02 2.0921e+01 1.6268e+00 3.1125e-02 2.4123e-03 1.0000e+00
3.1809e-02 2.1053e+01 1.9522e+00 3.2396e-02 3.0614e-03 1.0000e+00
3.3298e-02 2.0968e+01 2.0885e+00 3.4002e-02 4.0023e-03 1.0000e+00
3.4787e-02 2.0025e+01 1.7952e+00 3.5534e-02 3.5228e-03 1.0000e+00
3.6277e-02 2.5815e+01 2.5888e+00 3.6902e-02 4.5011e-03 1.0000e+00
3.7766e-02 1.9071e+01 3.9821e+00 3.7941e-02 8.0117e-03 1.0000e+00
4.2234e-02 2.4917e+01 2.1945e+00 4.3660e-02 2.4011e-02 1.0000e+00
4.3723e-02 2.4330e+01 1.3659e+00 4.3964e-02 1.5186e-02 1.0000e+00
4.5213e-02 2.1483e+01 7.6663e-01 4.5910e-02 9.0765e-03 1.0000e+00
4.6702e-02 2.3055e+01 1.2159e+00 4.7887e-02 1.3866e-02 1.0000e+00
4.8191e-02 2.4481e+01 1.0215e+00 4.8420e-02 1.1322e-02 1.0000e+00
4.9681e-02 2.5131e+01 8.0365e-01 5.0470e-02 8.7712e-03 1.0000e+00
5.1170e-02 2.7495e+01 1.3283e+00 5.2296e-02 1.3870e-02 1.0000e+00
5.2660e-02 2.7999e+01 9.9025e-01 5.2963e-02 1.0244e-02 1.0000e+00
5.4149e-02 3.1284e+01 8.8040e-01 5.4996e-02 8.6312e-03 1.0000e+00
5.5638e-02 3.3401e+01 1.3547e+00 5.6673e-02 1.2845e-02 1.0000e+00
5.7128e-02 3.4851e+01 1.0364e+00 5.7538e-02 9.6131e-03 1.0000e+00
5.8617e-02 4.1500e+01 9.8365e-01 5.9550e-02 8.3684e-03 1.0000e+00
6.0106e-02 4.8148e+01 1.6902e+00 6.1069e-02 1.3335e-02 1.0000e+00
6.1596e-02 5.3021e+01 1.1675e+00 6.2079e-02 8.7786e-03 1.0000e+00
