 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 2.9079e+03 5.8207e+00 5.7070e-03 3.5091e-03 1.0000e+00
6.4894e-03 9.8091e+02 2.9238e+00 7.2801e-03 3.0515e-03 1.0000e+00
7.9787e-03 4.0842e+02 1.8279e+00 8.7749e-03 2.9459e-03 1.0000e+00
9.4681e-03 2.2170e+02 1.2398e+00 1.0189e-02 2.7101e-03 1.0000e+00
1.0957e-02 1.3416e+02 8.6960e-01 1.1694e-02 2.4431e-03 1.0000e+00
1.2447e-02 8.2099e+01 6.7788e-01 1.3229e-02 2.4245e-03 1.0000e+00
1.3936e-02 6.1068e+01 5.7871e-01 1.4703e-02 2.3884e-03 1.0000e+00
1.5426e-02 4.4598e+01 4.8180e-01 1.6160e-02 2.3205e-03 1.0000e+00
1.6915e-02 3.4467e+01 4.0258e-01 1.7664e-02 2.1864e-03 1.0000e+00
1.8404e-02 2.5569e+01 3.3673e-01 1.9210e-02 2.1216e-03 1.0000e+00
1.9894e-02 2.3378e+01 3.2752e-01 2.0645e-02 2.1604e-03 1.0000e+00
2.1383e-02 1.9161e+01 2.7521e-01 2.2101e-02 1.9971e-03 1.0000e+00
2.2872e-02 1.8106e+01 2.5449e-01 2.3646e-02 1.9192e-03 1.0000e+00
2.4362e-02 1.5524e+01 2.4322e-01 2.5132e-02 1.9480e-03 1.0000e+00
2.5851e-02 1.5249e+01 2.3584e-01 2.6582e-02 1.9294e-03 1.0000e+00
2.7340e-02 1.3794e+01 2.1657e-01 2.8069e-02 1.8508e-03 1.0000e+00
2.8830e-02 1.3153e+01 2.1351e-01 2.9591e-02 1.8681e-03 1.0000e+00
3.0319e-02 1.3260e+01 2.6452e-01 3.1125e-02 2.4123e-03 1.0000e+00
3.1809e-02 1.3594e+01 3.1580e-01 3.2396e-02 3.0614e-03 1.0000e+00
3.3298e-02 1.3634e+01 3.4355e-01 3.4002e-02 4.0023e-03 1.0000e+00
3.4787e-02 1.3179e+01 2.9733e-01 3.5534e-02 3.5228e-03 1.0000e+00
3.6277e-02 1.3903e+01 3.8766e-01 3.6902e-02 4.5011e-03 1.0000e+00
3.7766e-02 1.2718e+01 6.6591e-01 3.7941e-02 8.0117e-03 1.0000e+00
4.2234e-02 1.4504e+01 3.1971e-01 4.3660e-02 2.4011e-02 1.0000e+00
4.3723e-02 1.3295e+01 1.9309e-01 4.3964e-02 1.5186e-02 1.0000e+00
4.5213e-02 1.3501e+01 1.1606e-01 4.5910e-02 9.0765e-03 1.0000e+00
4.6702e-02 1.4136e+01 1.8140e-01 4.7887e-02 1.3866e-02 1.0000e+00
4.8191e-02 1.5107e+01 1.5314e-01 4.8420e-02 1.1322e-02 1.0000e+00
4.9681e-02 1.5366e+01 1.1983e-01 5.0470e-02 8.7712e-03 1.0000e+00
5.1170e-02 1.7027e+01 1.9901e-01 5.2296e-02 1.3870e-02 1.0000e+00
5.2660e-02 1.7390e+01 1.4870e-01 5.2963e-02 1.0244e-02 1.0000e+00
5.4149e-02 1.8486e+01 1.2883e-01 5.4996e-02 8.6312e-03 1.0000e+00
5.5638e-02 2.1245e+01 2.0541e-01 5.6673e-02 1.2845e-02 1.0000e+00
5.7128e-02 2.1554e+01 1.5502e-01 5.7538e-02 9.6131e-03 1.0000e+00
5.8617e-02 2.6339e+01 1.4881e-01 5.9550e-02 8.3684e-03 1.0000e+00
6.0106e-02 3.0637e+01 2.5599e-01 6.1069e-02 1.3335e-02 1.0000e+00
6.1596e-02 3.3738e+01 1.7672e-01 6.2079e-02 8.7786e-03 1.0000e+00
6.3085e-02 4.2203e+01 1.8808e-01 6.4076e-02 8.3714e-03 1.0000e+00
6.4574e-02 4.9699e+01 3.0279e-01 6.5415e-02 1.2418e-02 1.0000e+00
6.6064e-02 5.8296e+01 2.2105e-01 6.6594e-02 8.3731e-03 1.0000e+00
6.7553e-02 7.6240e+01 2.5638e-01 6.8588e-02 8.5044e-03 1.0000e+00
6.9043e-02 8.5348e+01 3.7229e-01 6.9725e-02 1.1669e-02 1.0000e+00
7.0532e-02 1.0020e+02 2.6982e-01 7.1132e-02 7.8060e-03 1.0000e+00
7.2021e-02 1.1922e+02 3.2553e-01 7.3099e-02 8.6440e-03 1.0000e+00
7.3511e-02 1.2679e+02 4.6778e-01 7.3889e-02 1.2033e-02 1.0000e+00
7.5000e-02 1.4251e+02 2.9907e-01 7.5582e-02 7.2573e-03 1.0000e+00
