 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 -1.4198e+01 2.1394e-01 5.7634e-03 1.5351e-03 1.0000e+00
6.4894e-03 -3.9941e+00 1.0843e-01 7.2656e-03 1.3680e-03 1.0000e+00
7.9787e-03 -9.3806e-01 7.1987e-02 8.7518e-03 1.2941e-03 1.0000e+00
9.4681e-03 -1.9179e-01 5.1154e-02 1.0216e-02 1.1982e-03 1.0000e+00
1.0957e-02 5.4336e-01 4.1907e-02 1.1712e-02 1.1155e-03 1.0000e+00
1.2447e-02 7.9680e-01 3.6144e-02 1.3208e-02 1.0696e-03 1.0000e+00
1.3936e-02 1.1513e+00 3.2913e-02 1.4696e-02 1.0122e-03 1.0000e+00
1.5426e-02 1.2182e+00 3.0205e-02 1.6188e-02 9.7158e-04 1.0000e+00
1.6915e-02 1.2231e+00 2.8062e-02 1.7679e-02 9.3229e-04 1.0000e+00
1.8404e-02 1.2569e+00 2.6342e-02 1.9167e-02 9.0028e-04 1.0000e+00
1.9894e-02 1.3221e+00 2.5123e-02 2.0647e-02 8.7140e-04 1.0000e+00
2.1383e-02 1.5126e+00 2.4443e-02 2.2130e-02 8.4124e-04 1.0000e+00
2.2872e-02 1.4022e+00 2.3112e-02 2.3621e-02 8.1404e-04 1.0000e+00
2.4362e-02 1.2973e+00 2.2094e-02 2.5110e-02 7.9389e-04 1.0000e+00
2.5851e-02 1.4121e+00 2.1500e-02 2.6600e-02 7.6859e-04 1.0000e+00
2.7340e-02 1.3930e+00 2.0943e-02 2.8089e-02 7.5439e-04 1.0000e+00
2.8830e-02 1.5191e+00 2.0586e-02 2.9579e-02 7.3111e-04 1.0000e+00
3.0319e-02 1.4270e+00 2.0016e-02 3.1075e-02 7.3907e-04 1.0000e+00
3.1809e-02 1.3465e+00 2.0536e-02 3.2544e-02 7.7062e-04 1.0000e+00
3.3298e-02 1.4908e+00 2.1485e-02 3.4020e-02 8.0450e-04 1.0000e+00
3.4787e-02 1.3671e+00 2.1801e-02 3.5518e-02 8.2958e-04 1.0000e+00
3.6277e-02 1.2383e+00 2.2348e-02 3.7013e-02 8.8563e-04 1.0000e+00
3.7766e-02 1.3220e+00 2.4653e-02 3.8474e-02 9.8745e-04 1.0000e+00
3.9255e-02 1.2070e+00 2.6044e-02 3.9971e-02 1.1390e-03 1.0000e+00
4.0745e-02 1.0840e+00 2.8783e-02 4.1465e-02 1.2743e-03 1.0000e+00
4.2234e-02 1.0816e+00 3.0146e-02 4.2962e-02 1.6494e-03 1.0000e+00
4.3723e-02 1.2315e+00 3.2529e-02 4.4422e-02 1.9598e-03 1.0000e+00
4.5213e-02 1.1143e+00 2.9512e-02 4.5920e-02 2.4863e-03 1.0000e+00
4.6702e-02 8.9885e-01 2.9159e-02 4.7478e-02 3.3570e-03 1.0000e+00
4.8191e-02 9.0026e-01 2.4320e-02 4.8808e-02 4.3465e-03 1.0000e+00
4.9681e-02 8.3514e-01 1.1804e-02 5.0422e-02 4.4496e-03 1.0000e+00
5.1170e-02 7.7367e-01 1.0911e-02 5.1946e-02 4.9291e-03 1.0000e+00
5.2660e-02 7.4590e-01 9.5161e-03 5.3322e-02 4.2974e-03 1.0000e+00
5.4149e-02 8.0839e-01 9.6727e-03 5.4962e-02 4.1511e-03 1.0000e+00
5.5638e-02 7.7708e-01 1.0022e-02 5.6423e-02 4.3687e-03 1.0000e+00
5.7128e-02 7.9213e-01 9.9703e-03 5.7842e-02 4.1991e-03 1.0000e+00
5.8617e-02 6.7192e-01 9.7604e-03 5.9360e-02 4.1523e-03 1.0000e+00
6.0106e-02 6.9067e-01 9.6062e-03 6.0835e-02 4.1069e-03 1.0000e+00
6.1596e-02 7.4754e-01 1.0314e-02 6.2339e-02 4.0778e-03 1.0000e+00
6.3085e-02 7.1608e-01 1.0650e-02 6.3836e-02 4.0492e-03 1.0000e+00
6.4574e-02 6.8404e-01 1.0771e-02 6.5319e-02 4.0785e-03 1.0000e+00
6.6064e-02 6.6540e-01 1.1541e-02 6.6747e-02 4.0217e-03 1.0000e+00
6.7553e-02 5.8058e-01 1.1605e-02 6.8303e-02 3.8633e-03 1.0000e+00
6.9043e-02 5.2556e-01 1.2521e-02 6.9787e-02 4.0654e-03 1.0000e+00
7.0532e-02 5.3823e-01 1.3002e-02 7.1203e-02 3.8518e-03 1.0000e+00
7.2021e-02 5.3603e-01 1.3250e-02 7.2823e-02 3.7686e-03 1.0000e+00
7.3511e-02 4.6168e-01 1.4828e-02 7.4221e-02 4.1111e-03 1.0000e+00
7.5000e-02 3.6005e-01 1.3724e-02 7.5695e-02 3.6484e-03 1.0000e+00
7.6489e-02 3.5729e-01 1.4871e-02 7.7298e-02 3.8293e-03 1.0000e+00
7.7979e-02 3.9541e-01 1.4860e-02 7.8650e-02 3.9044e-03 1.0000e+00
7.9468e-02 2.6263e-01 1.3951e-02 8.0196e-02 3.5885e-03 1.0000e+00
8.0957e-02 3.3487e-01 1.4375e-02 8.1771e-02 3.7040e-03 1.0000e+00
8.2447e-02 3.7502e-01 1.4363e-02 8.3184e-02 3.8311e-03 1.0000e+00
8.3936e-02 3.2711e-01 1.4010e-02 8.4657e-02 3.6515e-03 1.0000e+00
8.5426e-02 3.0404e-01 1.2731e-02 8.6174e-02 3.5904e-03 1.0000e+00
8.6915e-02 3.9067e-01 1.2583e-02 8.7667e-02 3.6523e-03 1.0000e+00
8.8404e-02 3.8163e-01 1.2404e-02 8.9140e-02 3.6017e-03 1.0000e+00
8.9894e-02 3.7892e-01 1.1156e-02 9.0668e-02 3.5624e-03 1.0000e+00
9.1383e-02 4.2185e-01 1.1354e-02 9.2075e-02 3.6968e-03 1.0000e+00
9.2872e-02 4.0575e-01 9.8389e-03 9.3587e-02 3.3919e-03 1.0000e+00
