 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 -1.2201e+01 4.8946e-01 5.8714e-03 5.4190e-03 1.0000e+00
6.4894e-03 -3.2036e+00 2.7408e-01 7.2702e-03 4.4827e-03 1.0000e+00
7.9787e-03 -4.9193e-01 1.9782e-01 8.7224e-03 4.2642e-03 1.0000e+00
9.4681e-03 5.0681e-01 1.4186e-01 1.0262e-02 3.6933e-03 1.0000e+00
1.0957e-02 6.2861e-01 1.2318e-01 1.1713e-02 3.7614e-03 1.0000e+00
1.2447e-02 1.1090e+00 1.0250e-01 1.3179e-02 3.2579e-03 1.0000e+00
1.3936e-02 8.9071e-01 8.9875e-02 1.4726e-02 3.1305e-03 1.0000e+00
1.5426e-02 1.1527e+00 8.7372e-02 1.6218e-02 3.0915e-03 1.0000e+00
1.6915e-02 8.9317e-01 7.9431e-02 1.7664e-02 2.9481e-03 1.0000e+00
1.8404e-02 1.1339e+00 7.3702e-02 1.9150e-02 2.7388e-03 1.0000e+00
1.9894e-02 1.1833e+00 7.1559e-02 2.0673e-02 2.6621e-03 1.0000e+00
2.1383e-02 1.6605e+00 7.4502e-02 2.2144e-02 2.6627e-03 1.0000e+00
2.2872e-02 1.4408e+00 6.8446e-02 2.3600e-02 2.5266e-03 1.0000e+00
2.4362e-02 1.5895e+00 6.5094e-02 2.5123e-02 2.3738e-03 1.0000e+00
2.5851e-02 1.1811e+00 6.3661e-02 2.6609e-02 2.4286e-03 1.0000e+00
2.7340e-02 1.4216e+00 6.1417e-02 2.8081e-02 2.2922e-03 1.0000e+00
2.8830e-02 1.3442e+00 5.8647e-02 2.9601e-02 2.2182e-03 1.0000e+00
3.0319e-02 1.7454e+00 6.1590e-02 3.1086e-02 2.2331e-03 1.0000e+00
3.1809e-02 1.8823e+00 8.6640e-02 3.2581e-02 3.0613e-03 1.0000e+00
3.3298e-02 2.0107e+00 1.2695e-01 3.3659e-02 4.4979e-03 1.0000e+00
