 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 -1.7378e+01 5.5494e-01 5.7070e-03 3.5091e-03 1.0000e+00
6.4894e-03 -6.8104e+00 2.8129e-01 7.2801e-03 3.0515e-03 1.0000e+00
7.9787e-03 -2.3571e+00 1.8746e-01 8.7749e-03 2.9459e-03 1.0000e+00
9.4681e-03 -1.9866e+00 1.2920e-01 1.0189e-02 2.7101e-03 1.0000e+00
1.0957e-02 -9.8936e-02 1.0815e-01 1.1694e-02 2.4431e-03 1.0000e+00
1.2447e-02 -1.5280e-01 9.1458e-02 1.3229e-02 2.4245e-03 1.0000e+00
1.3936e-02 7.1772e-01 9.1719e-02 1.4703e-02 2.3884e-03 1.0000e+00
1.5426e-02 7.1309e-01 8.3705e-02 1.6160e-02 2.3205e-03 1.0000e+00
1.6915e-02 7.4042e-01 7.6356e-02 1.7664e-02 2.1864e-03 1.0000e+00
1.8404e-02 8.1578e-01 7.1516e-02 1.9210e-02 2.1216e-03 1.0000e+00
1.9894e-02 7.4252e-01 7.1108e-02 2.0645e-02 2.1604e-03 1.0000e+00
2.1383e-02 1.0412e+00 6.6819e-02 2.2101e-02 1.9971e-03 1.0000e+00
2.2872e-02 8.4941e-01 6.1263e-02 2.3646e-02 1.9192e-03 1.0000e+00
2.4362e-02 8.5803e-01 6.2167e-02 2.5132e-02 1.9480e-03 1.0000e+00
2.5851e-02 1.0170e+00 6.1935e-02 2.6582e-02 1.9294e-03 1.0000e+00
2.7340e-02 1.0098e+00 5.8367e-02 2.8069e-02 1.8508e-03 1.0000e+00
2.8830e-02 1.5851e+00 6.3662e-02 2.9591e-02 1.8681e-03 1.0000e+00
3.0319e-02 8.7408e-01 7.1112e-02 3.1125e-02 2.4123e-03 1.0000e+00
3.1809e-02 1.2285e+00 9.2261e-02 3.2396e-02 3.0614e-03 1.0000e+00
3.3298e-02 1.8746e+00 1.1096e-01 3.4002e-02 4.0023e-03 1.0000e+00
3.4787e-02 1.3404e+00 9.2146e-02 3.5534e-02 3.5228e-03 1.0000e+00
3.6277e-02 1.0289e+00 1.1363e-01 3.6902e-02 4.5011e-03 1.0000e+00
3.7766e-02 1.1434e+00 2.0529e-01 3.7941e-02 8.0117e-03 1.0000e+00
4.2234e-02 9.8103e-01 6.4089e-02 4.3660e-02 2.4011e-02 1.0000e+00
4.3723e-02 9.2581e-01 3.9477e-02 4.3964e-02 1.5186e-02 1.0000e+00
4.5213e-02 1.0246e+00 2.3996e-02 4.5910e-02 9.0765e-03 1.0000e+00
4.6702e-02 6.6345e-01 3.2581e-02 4.7887e-02 1.3866e-02 1.0000e+00
4.8191e-02 8.3874e-01 2.8983e-02 4.8420e-02 1.1322e-02 1.0000e+00
4.9681e-02 8.2692e-01 2.2372e-02 5.0470e-02 8.7712e-03 1.0000e+00
5.1170e-02 6.6408e-01 3.3593e-02 5.2296e-02 1.3870e-02 1.0000e+00
5.2660e-02 7.2673e-01 2.5822e-02 5.2963e-02 1.0244e-02 1.0000e+00
5.4149e-02 6.2930e-01 2.1291e-02 5.4996e-02 8.6312e-03 1.0000e+00
5.5638e-02 6.0770e-01 3.2201e-02 5.6673e-02 1.2845e-02 1.0000e+00
5.7128e-02 8.6373e-01 2.6318e-02 5.7538e-02 9.6131e-03 1.0000e+00
5.8617e-02 6.0122e-01 2.1969e-02 5.9550e-02 8.3684e-03 1.0000e+00
6.0106e-02 6.3335e-01 3.6468e-02 6.1069e-02 1.3335e-02 1.0000e+00
6.1596e-02 6.9449e-01 2.5234e-02 6.2079e-02 8.7786e-03 1.0000e+00
6.3085e-02 5.9672e-01 2.4911e-02 6.4076e-02 8.3714e-03 1.0000e+00
6.4574e-02 4.8023e-01 3.7989e-02 6.5415e-02 1.2418e-02 1.0000e+00
6.6064e-02 5.0700e-01 2.7274e-02 6.6594e-02 8.3731e-03 1.0000e+00
6.7553e-02 3.6527e-01 2.9613e-02 6.8588e-02 8.5044e-03 1.0000e+00
6.9043e-02 1.1414e-01 4.1074e-02 6.9725e-02 1.1669e-02 1.0000e+00
7.0532e-02 3.5020e-01 3.0390e-02 7.1132e-02 7.8060e-03 1.0000e+00
7.2021e-02 2.7128e-01 3.5687e-02 7.3099e-02 8.6440e-03 1.0000e+00
7.3511e-02 1.6690e-01 5.0587e-02 7.3889e-02 1.2033e-02 1.0000e+00
7.5000e-02 7.0705e-02 3.1820e-02 7.5582e-02 7.2573e-03 1.0000e+00
7.6489e-02 -1.1255e-01 3.8196e-02 7.7546e-02 8.5116e-03 1.0000e+00
7.7979e-02 -8.7515e-02 5.1480e-02 7.8323e-02 1.1350e-02 1.0000e+00
7.9468e-02 -9.5418e-02 3.2108e-02 8.0109e-02 7.0250e-03 1.0000e+00
8.0957e-02 -2.1203e-01 3.8140e-02 8.2026e-02 8.5154e-03 1.0000e+00
8.2447e-02 2.2508e-01 4.7886e-02 8.2862e-02 1.0271e-02 1.0000e+00
8.3936e-02 -2.1059e-02 3.0438e-02 8.4650e-02 6.8834e-03 1.0000e+00
8.5426e-02 1.0736e-01 3.7389e-02 8.6477e-02 8.7989e-03 1.0000e+00
8.6915e-02 1.3338e-01 3.8425e-02 8.7349e-02 9.1086e-03 1.0000e+00
8.8404e-02 1.6460e-01 2.7708e-02 8.9159e-02 6.8869e-03 1.0000e+00
8.9894e-02 1.2549e-01 3.3061e-02 9.0872e-02 8.8033e-03 1.0000e+00
9.1383e-02 3.2548e-01 3.1193e-02 9.1845e-02 8.2702e-03 1.0000e+00
9.2872e-02 1.2891e-01 2.3364e-02 9.3667e-02 6.8905e-03 1.0000e+00
9.4362e-02 2.1274e-01 2.8975e-02 9.5253e-02 8.9585e-03 1.0000e+00
