 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 4.2727e+03 2.8858e+00 5.7634e-03 1.5351e-03 1.0000e+00
6.4894e-03 1.4367e+03 1.4096e+00 7.2656e-03 1.3680e-03 1.0000e+00
7.9787e-03 6.3727e+02 8.6246e-01 8.7518e-03 1.2941e-03 1.0000e+00
9.4681e-03 3.4131e+02 5.6840e-01 1.0216e-02 1.1982e-03 1.0000e+00
1.0957e-02 2.0559e+02 4.0721e-01 1.1712e-02 1.1155e-03 1.0000e+00
1.2447e-02 1.3475e+02 3.1201e-01 1.3208e-02 1.0696e-03 1.0000e+00
1.3936e-02 9.5666e+01 2.4694e-01 1.4696e-02 1.0122e-03 1.0000e+00
1.5426e-02 7.1814e+01 2.0473e-01 1.6188e-02 9.7158e-04 1.0000e+00
1.6915e-02 5.7523e+01 1.7683e-01 1.7679e-02 9.3229e-04 1.0000e+00
1.8404e-02 4.7572e+01 1.5427e-01 1.9167e-02 9.0028e-04 1.0000e+00
1.9894e-02 4.0929e+01 1.3847e-01 2.0647e-02 8.7140e-04 1.0000e+00
2.1383e-02 3.5014e+01 1.2467e-01 2.2130e-02 8.4124e-04 1.0000e+00
2.2872e-02 3.1881e+01 1.1510e-01 2.3621e-02 8.1404e-04 1.0000e+00
2.4362e-02 2.9223e+01 1.0752e-01 2.5110e-02 7.9389e-04 1.0000e+00
2.5851e-02 2.7800e+01 1.0132e-01 2.6600e-02 7.6859e-04 1.0000e+00
2.7340e-02 2.5774e+01 9.6176e-02 2.8089e-02 7.5439e-04 1.0000e+00
2.8830e-02 2.4933e+01 9.1278e-02 2.9579e-02 7.3111e-04 1.0000e+00
3.0319e-02 2.4609e+01 8.9524e-02 3.1075e-02 7.3907e-04 1.0000e+00
3.1809e-02 2.3911e+01 9.0880e-02 3.2544e-02 7.7062e-04 1.0000e+00
3.3298e-02 2.3726e+01 9.2924e-02 3.4020e-02 8.0450e-04 1.0000e+00
3.4787e-02 2.3364e+01 9.5241e-02 3.5518e-02 8.2958e-04 1.0000e+00
3.6277e-02 2.2279e+01 9.7778e-02 3.7013e-02 8.8563e-04 1.0000e+00
3.7766e-02 2.2219e+01 1.0675e-01 3.8474e-02 9.8745e-04 1.0000e+00
3.9255e-02 2.2132e+01 1.1415e-01 3.9971e-02 1.1390e-03 1.0000e+00
4.0745e-02 2.2233e+01 1.2831e-01 4.1465e-02 1.2743e-03 1.0000e+00
4.2234e-02 2.2082e+01 1.3428e-01 4.2962e-02 1.6494e-03 1.0000e+00
4.3723e-02 2.2254e+01 1.4208e-01 4.4422e-02 1.9598e-03 1.0000e+00
4.5213e-02 2.2857e+01 1.3310e-01 4.5920e-02 2.4863e-03 1.0000e+00
4.6702e-02 2.4418e+01 1.4131e-01 4.7478e-02 3.3570e-03 1.0000e+00
4.8191e-02 2.4391e+01 1.2019e-01 4.8808e-02 4.3465e-03 1.0000e+00
4.9681e-02 2.5839e+01 7.6467e-02 5.0422e-02 4.4496e-03 1.0000e+00
5.1170e-02 2.7432e+01 8.0156e-02 5.1946e-02 4.9291e-03 1.0000e+00
5.2660e-02 2.8515e+01 7.0865e-02 5.3322e-02 4.2974e-03 1.0000e+00
5.4149e-02 3.1037e+01 7.2155e-02 5.4962e-02 4.1511e-03 1.0000e+00
5.5638e-02 3.3816e+01 7.8102e-02 5.6423e-02 4.3687e-03 1.0000e+00
5.7128e-02 3.6485e+01 7.8743e-02 5.7842e-02 4.1991e-03 1.0000e+00
5.8617e-02 4.0612e+01 8.2735e-02 5.9360e-02 4.1523e-03 1.0000e+00
6.0106e-02 4.6060e+01 8.3597e-02 6.0835e-02 4.1069e-03 1.0000e+00
6.1596e-02 5.3309e+01 9.1425e-02 6.2339e-02 4.0778e-03 1.0000e+00
6.3085e-02 6.2684e+01 9.8985e-02 6.3836e-02 4.0492e-03 1.0000e+00
6.4574e-02 7.3687e+01 1.0467e-01 6.5319e-02 4.0785e-03 1.0000e+00
6.6064e-02 8.9680e+01 1.1645e-01 6.6747e-02 4.0217e-03 1.0000e+00
6.7553e-02 1.0869e+02 1.2212e-01 6.8303e-02 3.8633e-03 1.0000e+00
6.9043e-02 1.2930e+02 1.3669e-01 6.9787e-02 4.0654e-03 1.0000e+00
7.0532e-02 1.5087e+02 1.4316e-01 7.1203e-02 3.8518e-03 1.0000e+00
