 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 3.2787e+03 6.7602e+00 5.8714e-03 5.4190e-03 1.0000e+00
6.4894e-03 1.2964e+03 3.5216e+00 7.2702e-03 4.4827e-03 1.0000e+00
7.9787e-03 6.1228e+02 2.3048e+00 8.7224e-03 4.2642e-03 1.0000e+00
9.4681e-03 3.2742e+02 1.4633e+00 1.0262e-02 3.6933e-03 1.0000e+00
1.0957e-02 1.9041e+02 1.1345e+00 1.1713e-02 3.7614e-03 1.0000e+00
1.2447e-02 1.3533e+02 8.3370e-01 1.3179e-02 3.2579e-03 1.0000e+00
1.3936e-02 9.0043e+01 6.5909e-01 1.4726e-02 3.1305e-03 1.0000e+00
1.5426e-02 6.6674e+01 5.6667e-01 1.6218e-02 3.0915e-03 1.0000e+00
1.6915e-02 5.7084e+01 5.0369e-01 1.7664e-02 2.9481e-03 1.0000e+00
1.8404e-02 4.8360e+01 4.3073e-01 1.9150e-02 2.7388e-03 1.0000e+00
1.9894e-02 3.8640e+01 3.8091e-01 2.0673e-02 2.6621e-03 1.0000e+00
2.1383e-02 3.5025e+01 3.6535e-01 2.2144e-02 2.6627e-03 1.0000e+00
2.2872e-02 3.0554e+01 3.2698e-01 2.3600e-02 2.5266e-03 1.0000e+00
2.4362e-02 2.8848e+01 2.9964e-01 2.5123e-02 2.3738e-03 1.0000e+00
2.5851e-02 2.7561e+01 3.0117e-01 2.6609e-02 2.4286e-03 1.0000e+00
2.7340e-02 2.5812e+01 2.7627e-01 2.8081e-02 2.2922e-03 1.0000e+00
2.8830e-02 2.4580e+01 2.6147e-01 2.9601e-02 2.2182e-03 1.0000e+00
3.0319e-02 2.6580e+01 2.6956e-01 3.1086e-02 2.2331e-03 1.0000e+00
3.1809e-02 2.5685e+01 3.6809e-01 3.2581e-02 3.0613e-03 1.0000e+00
3.3298e-02 2.7035e+01 5.4034e-01 3.3659e-02 4.4979e-03 1.0000e+00
3.6277e-02 2.0724e+01 2.3945e-01 3.7678e-02 2.4002e-02 1.0000e+00
3.7766e-02 2.2300e+01 3.5534e-01 3.8072e-02 3.3944e-02 1.0000e+00
3.9255e-02 2.1050e+01 1.4762e-01 4.0248e-02 1.4475e-02 1.0000e+00
4.2234e-02 2.2221e+01 1.4483e-01 4.2790e-02 1.3860e-02 1.0000e+00
4.3723e-02 2.2232e+01 2.2443e-01 4.5125e-02 2.1475e-02 1.0000e+00
4.5213e-02 2.2423e+01 1.7885e-01 4.5455e-02 1.6977e-02 1.0000e+00
4.6702e-02 2.3699e+01 1.4403e-01 4.7837e-02 1.3320e-02 1.0000e+00
4.9681e-02 2.5851e+01 1.4098e-01 5.0421e-02 1.2402e-02 1.0000e+00
5.1170e-02 2.9143e+01 5.7393e-01 5.2619e-02 4.8037e-02 1.0000e+00
5.2660e-02 2.7680e+01 1.5078e-01 5.2949e-02 1.2839e-02 1.0000e+00
5.4149e-02 3.0357e+01 1.6964e-01 5.5342e-02 1.3869e-02 1.0000e+00
5.5638e-02 3.0066e+01 2.9267e-01 5.5843e-02 2.4023e-02 1.0000e+00
5.7128e-02 3.5455e+01 1.5545e-01 5.8005e-02 1.1654e-02 1.0000e+00
6.0106e-02 4.2059e+01 1.6995e-01 6.0509e-02 1.1656e-02 1.0000e+00
6.1596e-02 5.2568e+01 2.3632e-01 6.2856e-02 1.4493e-02 1.0000e+00
6.3085e-02 5.4741e+01 2.8256e-01 6.3412e-02 1.6995e-02 1.0000e+00
6.4574e-02 7.0617e+01 2.2023e-01 6.5520e-02 1.1660e-02 1.0000e+00
6.6064e-02 7.8898e+01 6.7498e-01 6.6209e-02 3.3996e-02 1.0000e+00
6.7553e-02 9.8869e+01 2.4761e-01 6.8096e-02 1.1031e-02 1.0000e+00
6.9043e-02 1.3082e+02 4.1339e-01 7.0346e-02 1.6031e-02 1.0000e+00
7.0532e-02 1.3798e+02 3.8356e-01 7.0866e-02 1.4501e-02 1.0000e+00
7.2021e-02 1.7083e+02 3.4459e-01 7.3036e-02 1.1666e-02 1.0000e+00
7.3511e-02 1.7695e+02 7.2196e-01 7.3713e-02 2.4052e-02 1.0000e+00
7.5000e-02 2.0585e+02 3.3956e-01 7.5666e-02 1.0499e-02 1.0000e+00
7.6489e-02 2.3295e+02 5.4992e-01 7.7879e-02 1.6040e-02 1.0000e+00
7.7979e-02 2.3394e+02 4.4256e-01 7.8472e-02 1.2861e-02 1.0000e+00
7.9468e-02 2.4002e+02 4.0739e-01 8.0551e-02 1.1673e-02 1.0000e+00
8.0957e-02 2.3986e+02 6.8456e-01 8.1271e-02 1.9650e-02 1.0000e+00
8.2447e-02 2.3649e+02 3.6423e-01 8.3168e-02 1.0505e-02 1.0000e+00
8.3936e-02 2.2366e+02 5.7212e-01 8.4848e-02 1.7023e-02 1.0000e+00
8.5426e-02 2.1787e+02 3.5739e-01 8.5911e-02 1.0767e-02 1.0000e+00
8.6915e-02 1.9460e+02 3.6751e-01 8.8061e-02 1.1681e-02 1.0000e+00
8.8404e-02 1.8590e+02 5.2408e-01 8.8798e-02 1.7029e-02 1.0000e+00
8.9894e-02 1.6300e+02 3.0163e-01 9.0668e-02 1.0512e-02 1.0000e+00
9.1383e-02 1.4829e+02 4.6547e-01 9.1884e-02 1.7034e-02 1.0000e+00
9.2872e-02 1.3139e+02 2.4894e-01 9.3401e-02 9.6373e-03 1.0000e+00
9.4362e-02 1.0696e+02 2.7942e-01 9.5548e-02 1.2049e-02 1.0000e+00
9.5851e-02 1.0015e+02 3.2599e-01 9.6297e-02 1.4533e-02 1.0000e+00
9.7340e-02 8.3032e+01 2.1417e-01 9.8162e-02 1.0520e-02 1.0000e+00
9.8830e-02 7.7160e+01 3.5649e-01 9.9032e-02 1.8223e-02 1.0000e+00
1.0032e-01 6.2737e+01 1.6215e-01 1.0087e-01 9.1133e-03 1.0000e+00
1.0181e-01 5.1361e+01 2.0686e-01 1.0291e-01 1.2891e-02 1.0000e+00
1.0330e-01 4.7068e+01 1.8529e-01 1.0372e-01 1.2059e-02 1.0000e+00
1.0479e-01 3.7849e+01 1.4546e-01 1.0565e-01 1.0529e-02 1.0000e+00
1.0628e-01 3.4830e+01 2.0184e-01 1.0660e-01 1.5259e-02 1.0000e+00
1.0777e-01 2.9580e+01 1.0913e-01 1.0837e-01 8.9621e-03 1.0000e+00
1.0926e-01 2.4537e+01 1.3828e-01 1.1035e-01 1.2464e-02 1.0000e+00
1.1074e-01 2.3299e+01 1.3445e-01 1.1119e-01 1.2465e-02 1.0000e+00
1.1223e-01 2.1313e+01 1.5798e-01 1.1307e-01 1.5270e-02 1.0000e+00
