 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 4.7060e+03 7.4936e+00 5.7070e-03 3.5091e-03 1.0000e+00
6.4894e-03 1.5922e+03 3.7723e+00 7.2801e-03 3.0515e-03 1.0000e+00
7.9787e-03 6.5648e+02 2.3477e+00 8.7749e-03 2.9459e-03 1.0000e+00
9.4681e-03 3.5869e+02 1.5990e+00 1.0189e-02 2.7101e-03 1.0000e+00
1.0957e-02 2.1534e+02 1.1180e+00 1.1694e-02 2.4431e-03 1.0000e+00
1.2447e-02 1.3395e+02 8.8049e-01 1.3229e-02 2.4245e-03 1.0000e+00
1.3936e-02 9.7698e+01 7.4442e-01 1.4703e-02 2.3884e-03 1.0000e+00
1.5426e-02 7.3076e+01 6.2681e-01 1.6160e-02 2.3205e-03 1.0000e+00
1.6915e-02 5.7435e+01 5.3030e-01 1.7664e-02 2.1864e-03 1.0000e+00
1.8404e-02 4.4553e+01 4.5225e-01 1.9210e-02 2.1216e-03 1.0000e+00
1.9894e-02 4.0161e+01 4.3721e-01 2.0645e-02 2.1604e-03 1.0000e+00
2.1383e-02 3.3614e+01 3.7051e-01 2.2101e-02 1.9971e-03 1.0000e+00
2.2872e-02 3.0556e+01 3.3847e-01 2.3646e-02 1.9192e-03 1.0000e+00
2.4362e-02 2.7763e+01 3.3092e-01 2.5132e-02 1.9480e-03 1.0000e+00
2.5851e-02 2.6978e+01 3.1913e-01 2.6582e-02 1.9294e-03 1.0000e+00
2.7340e-02 2.3786e+01 2.8847e-01 2.8069e-02 1.8508e-03 1.0000e+00
2.8830e-02 2.3713e+01 2.8772e-01 2.9591e-02 1.8681e-03 1.0000e+00
3.0319e-02 2.4404e+01 3.6330e-01 3.1125e-02 2.4123e-03 1.0000e+00
3.1809e-02 2.4207e+01 4.2678e-01 3.2396e-02 3.0614e-03 1.0000e+00
3.3298e-02 2.5514e+01 4.7145e-01 3.4002e-02 4.0023e-03 1.0000e+00
3.4787e-02 2.4972e+01 4.1492e-01 3.5534e-02 3.5228e-03 1.0000e+00
3.6277e-02 2.4903e+01 5.2860e-01 3.6902e-02 4.5011e-03 1.0000e+00
3.7766e-02 2.3311e+01 9.2990e-01 3.7941e-02 8.0117e-03 1.0000e+00
4.2234e-02 2.4243e+01 4.0878e-01 4.3660e-02 2.4011e-02 1.0000e+00
4.3723e-02 2.3295e+01 2.5257e-01 4.3964e-02 1.5186e-02 1.0000e+00
4.5213e-02 2.3265e+01 1.5059e-01 4.5910e-02 9.0765e-03 1.0000e+00
4.6702e-02 2.4408e+01 2.3663e-01 4.7887e-02 1.3866e-02 1.0000e+00
4.8191e-02 2.5318e+01 1.9679e-01 4.8420e-02 1.1322e-02 1.0000e+00
4.9681e-02 2.6322e+01 1.5593e-01 5.0470e-02 8.7712e-03 1.0000e+00
5.1170e-02 2.7720e+01 2.5296e-01 5.2296e-02 1.3870e-02 1.0000e+00
5.2660e-02 2.7839e+01 1.8793e-01 5.2963e-02 1.0244e-02 1.0000e+00
5.4149e-02 3.1192e+01 1.6744e-01 5.4996e-02 8.6312e-03 1.0000e+00
