 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 -1.2573e+01 2.0457e-01 5.7634e-03 1.5351e-03 1.0000e+00
6.4894e-03 -3.5663e+00 1.0430e-01 7.2656e-03 1.3680e-03 1.0000e+00
7.9787e-03 -8.9301e-01 6.9321e-02 8.7518e-03 1.2941e-03 1.0000e+00
9.4681e-03 1.9231e-01 5.1378e-02 1.0216e-02 1.1982e-03 1.0000e+00
1.0957e-02 6.2215e-01 4.1218e-02 1.1712e-02 1.1155e-03 1.0000e+00
1.2447e-02 7.5962e-01 3.5413e-02 1.3208e-02 1.0696e-03 1.0000e+00
1.3936e-02 1.0067e+00 3.1915e-02 1.4696e-02 1.0122e-03 1.0000e+00
1.5426e-02 1.0389e+00 2.9157e-02 1.6188e-02 9.7158e-04 1.0000e+00
1.6915e-02 1.0333e+00 2.7035e-02 1.7679e-02 9.3229e-04 1.0000e+00
1.8404e-02 1.1618e+00 2.5946e-02 1.9167e-02 9.0028e-04 1.0000e+00
1.9894e-02 1.1113e+00 2.4430e-02 2.0647e-02 8.7140e-04 1.0000e+00
2.1383e-02 1.1570e+00 2.3411e-02 2.2130e-02 8.4124e-04 1.0000e+00
2.2872e-02 1.3296e+00 2.2801e-02 2.3621e-02 8.1404e-04 1.0000e+00
2.4362e-02 1.3046e+00 2.1986e-02 2.5110e-02 7.9389e-04 1.0000e+00
2.5851e-02 1.2309e+00 2.0936e-02 2.6600e-02 7.6859e-04 1.0000e+00
2.7340e-02 1.2672e+00 2.0594e-02 2.8089e-02 7.5439e-04 1.0000e+00
2.8830e-02 1.3864e+00 2.0131e-02 2.9579e-02 7.3111e-04 1.0000e+00
3.0319e-02 1.3725e+00 1.9851e-02 3.1075e-02 7.3907e-04 1.0000e+00
3.1809e-02 1.3477e+00 2.0418e-02 3.2544e-02 7.7062e-04 1.0000e+00
3.3298e-02 1.4070e+00 2.1185e-02 3.4020e-02 8.0450e-04 1.0000e+00
3.4787e-02 1.3460e+00 2.1644e-02 3.5518e-02 8.2958e-04 1.0000e+00
3.6277e-02 1.0970e+00 2.1880e-02 3.7013e-02 8.8563e-04 1.0000e+00
3.7766e-02 1.0016e+00 2.3627e-02 3.8474e-02 9.8745e-04 1.0000e+00
3.9255e-02 1.1220e+00 2.5638e-02 3.9971e-02 1.1390e-03 1.0000e+00
4.0745e-02 9.6373e-01 2.8190e-02 4.1465e-02 1.2743e-03 1.0000e+00
4.2234e-02 1.0692e+00 2.9884e-02 4.2962e-02 1.6494e-03 1.0000e+00
4.3723e-02 1.0343e+00 3.1416e-02 4.4422e-02 1.9598e-03 1.0000e+00
4.5213e-02 9.1244e-01 2.8357e-02 4.5920e-02 2.4863e-03 1.0000e+00
4.6702e-02 1.0526e+00 2.9631e-02 4.7478e-02 3.3570e-03 1.0000e+00
4.8191e-02 7.6573e-01 2.2506e-02 4.8808e-02 4.3465e-03 1.0000e+00
4.9681e-02 8.7301e-01 1.2174e-02 5.0422e-02 4.4496e-03 1.0000e+00
