 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 1.6364e+03 4.7522e+00 5.8714e-03 5.4190e-03 1.0000e+00
6.4894e-03 6.5264e+02 2.4853e+00 7.2702e-03 4.4827e-03 1.0000e+00
7.9787e-03 3.0808e+02 1.6272e+00 8.7224e-03 4.2642e-03 1.0000e+00
9.4681e-03 1.6283e+02 1.0271e+00 1.0262e-02 3.6933e-03 1.0000e+00
1.0957e-02 9.4459e+01 7.9507e-01 1.1713e-02 3.7614e-03 1.0000e+00
1.2447e-02 6.6114e+01 5.8112e-01 1.3179e-02 3.2579e-03 1.0000e+00
1.3936e-02 4.4778e+01 4.6298e-01 1.4726e-02 3.1305e-03 1.0000e+00
1.5426e-02 3.2405e+01 3.9341e-01 1.6218e-02 3.0915e-03 1.0000e+00
1.6915e-02 2.7708e+01 3.4822e-01 1.7664e-02 2.9481e-03 1.0000e+00
1.8404e-02 2.3383e+01 2.9841e-01 1.9150e-02 2.7388e-03 1.0000e+00
1.9894e-02 1.7039e+01 2.5447e-01 2.0673e-02 2.6621e-03 1.0000e+00
2.1383e-02 1.6677e+01 2.5245e-01 2.2144e-02 2.6627e-03 1.0000e+00
2.2872e-02 1.3191e+01 2.1666e-01 2.3600e-02 2.5266e-03 1.0000e+00
2.4362e-02 1.3459e+01 2.0543e-01 2.5123e-02 2.3738e-03 1.0000e+00
2.5851e-02 1.2079e+01 2.0095e-01 2.6609e-02 2.4286e-03 1.0000e+00
2.7340e-02 1.1234e+01 1.8433e-01 2.8081e-02 2.2922e-03 1.0000e+00
2.8830e-02 1.0540e+01 1.7353e-01 2.9601e-02 2.2182e-03 1.0000e+00
3.0319e-02 1.1245e+01 1.7900e-01 3.1086e-02 2.2331e-03 1.0000e+00
3.1809e-02 1.0896e+01 2.4392e-01 3.2581e-02 3.0613e-03 1.0000e+00
3.3298e-02 1.0367e+01 3.4736e-01 3.3659e-02 4.4979e-03 1.0000e+00
3.6277e-02 9.2253e+00 1.6557e-01 3.7678e-02 2.4002e-02 1.0000e+00
3.7766e-02 9.8183e+00 2.4099e-01 3.8072e-02 3.3944e-02 1.0000e+00
3.9255e-02 9.0476e+00 9.9736e-02 4.0248e-02 1.4475e-02 1.0000e+00
4.2234e-02 9.7065e+00 9.8340e-02 4.2790e-02 1.3860e-02 1.0000e+00
4.3723e-02 9.6835e+00 1.5292e-01 4.5125e-02 2.1475e-02 1.0000e+00
4.5213e-02 1.0070e+01 1.2302e-01 4.5455e-02 1.6977e-02 1.0000e+00
4.6702e-02 1.0643e+01 9.8859e-02 4.7837e-02 1.3320e-02 1.0000e+00
4.9681e-02 1.1748e+01 9.6881e-02 5.0421e-02 1.2402e-02 1.0000e+00
5.1170e-02 1.4219e+01 4.0892e-01 5.2619e-02 4.8037e-02 1.0000e+00
5.2660e-02 1.2789e+01 1.0417e-01 5.2949e-02 1.2839e-02 1.0000e+00
5.4149e-02 1.4201e+01 1.1781e-01 5.5342e-02 1.3869e-02 1.0000e+00
5.5638e-02 1.3946e+01 2.0236e-01 5.5843e-02 2.4023e-02 1.0000e+00
5.7128e-02 1.6829e+01 1.0839e-01 5.8005e-02 1.1654e-02 1.0000e+00
6.0106e-02 2.0326e+01 1.1917e-01 6.0509e-02 1.1656e-02 1.0000e+00
6.1596e-02 2.6280e+01 1.6804e-01 6.2856e-02 1.4493e-02 1.0000e+00
6.3085e-02 2.6268e+01 1.9661e-01 6.3412e-02 1.6995e-02 1.0000e+00
6.4574e-02 3.4496e+01 1.5449e-01 6.5520e-02 1.1660e-02 1.0000e+00
6.6064e-02 3.8544e+01 4.7236e-01 6.6209e-02 3.3996e-02 1.0000e+00
6.7553e-02 4.8528e+01 1.7355e-01 6.8096e-02 1.1031e-02 1.0000e+00
6.9043e-02 6.4502e+01 2.9011e-01 7.0346e-02 1.6031e-02 1.0000e+00
7.0532e-02 6.8888e+01 2.7078e-01 7.0866e-02 1.4501e-02 1.0000e+00
7.2021e-02 8.6557e+01 2.4488e-01 7.3036e-02 1.1666e-02 1.0000e+00
7.3511e-02 8.7813e+01 5.0811e-01 7.3713e-02 2.4052e-02 1.0000e+00
7.5000e-02 1.0234e+02 2.3897e-01 7.5666e-02 1.0499e-02 1.0000e+00
7.6489e-02 1.1656e+02 3.8792e-01 7.7879e-02 1.6040e-02 1.0000e+00
7.7979e-02 1.1631e+02 3.1138e-01 7.8472e-02 1.2861e-02 1.0000e+00
7.9468e-02 1.2103e+02 2.8860e-01 8.0551e-02 1.1673e-02 1.0000e+00
8.0957e-02 1.2004e+02 4.8324e-01 8.1271e-02 1.9650e-02 1.0000e+00
8.2447e-02 1.1916e+02 2.5787e-01 8.3168e-02 1.0505e-02 1.0000e+00
8.3936e-02 1.1066e+02 4.0162e-01 8.4848e-02 1.7023e-02 1.0000e+00
