 Q, I, DelI, Q_mean, Q_Unc, Shadow
5.0000e-03 4.4346e+03 1.5365e+01 5.7634e-03 1.5351e-03 1.0000e+00
6.4894e-03 1.5111e+03 7.5556e+00 7.2656e-03 1.3680e-03 1.0000e+00
7.9787e-03 6.6354e+02 4.5904e+00 8.7518e-03 1.2941e-03 1.0000e+00
9.4681e-03 3.5335e+02 3.0112e+00 1.0216e-02 1.1982e-03 1.0000e+00
1.0957e-02 2.1255e+02 2.1500e+00 1.1712e-02 1.1155e-03 1.0000e+00
1.2447e-02 1.3823e+02 1.6334e+00 1.3208e-02 1.0696e-03 1.0000e+00
1.3936e-02 9.6980e+01 1.2809e+00 1.4696e-02 1.0122e-03 1.0000e+00
1.5426e-02 7.4240e+01 1.0662e+00 1.6188e-02 9.7158e-04 1.0000e+00
1.6915e-02 5.7884e+01 8.9264e-01 1.7679e-02 9.3229e-04 1.0000e+00
1.8404e-02 4.6905e+01 7.6814e-01 1.9167e-02 9.0028e-04 1.0000e+00
1.9894e-02 4.0852e+01 6.9095e-01 2.0647e-02 8.7140e-04 1.0000e+00
2.1383e-02 3.5437e+01 6.2407e-01 2.2130e-02 8.4124e-04 1.0000e+00
2.2872e-02 3.0968e+01 5.5693e-01 2.3621e-02 8.1404e-04 1.0000e+00
2.4362e-02 2.9158e+01 5.2561e-01 2.5110e-02 7.9389e-04 1.0000e+00
2.5851e-02 2.6635e+01 4.8622e-01 2.6600e-02 7.6859e-04 1.0000e+00
2.7340e-02 2.5081e+01 4.6217e-01 2.8089e-02 7.5439e-04 1.0000e+00
2.8830e-02 2.3725e+01 4.3316e-01 2.9579e-02 7.3111e-04 1.0000e+00
3.0319e-02 2.2591e+01 4.1179e-01 3.1075e-02 7.3907e-04 1.0000e+00
3.1809e-02 2.1594e+01 4.1407e-01 3.2544e-02 7.7062e-04 1.0000e+00
3.3298e-02 2.2152e+01 4.3035e-01 3.4020e-02 8.0450e-04 1.0000e+00
3.4787e-02 2.0738e+01 4.2930e-01 3.5518e-02 8.2958e-04 1.0000e+00
3.6277e-02 2.1836e+01 4.5864e-01 3.7013e-02 8.8563e-04 1.0000e+00
3.7766e-02 2.1594e+01 4.9890e-01 3.8474e-02 9.8745e-04 1.0000e+00
3.9255e-02 2.0687e+01 5.2263e-01 3.9971e-02 1.1390e-03 1.0000e+00
4.0745e-02 2.3694e+01 6.2678e-01 4.1465e-02 1.2743e-03 1.0000e+00
4.2234e-02 2.0498e+01 6.1147e-01 4.2962e-02 1.6494e-03 1.0000e+00
4.3723e-02 2.1826e+01 6.6804e-01 4.4422e-02 1.9598e-03 1.0000e+00
4.5213e-02 2.2212e+01 6.2810e-01 4.5920e-02 2.4863e-03 1.0000e+00
4.6702e-02 2.2820e+01 6.4963e-01 4.7478e-02 3.3570e-03 1.0000e+00
4.8191e-02 2.4273e+01 6.0048e-01 4.8808e-02 4.3465e-03 1.0000e+00
4.9681e-02 2.5205e+01 3.8903e-01 5.0422e-02 4.4496e-03 1.0000e+00
