Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
3.5000e-03 8.1197e+00 4.7612e-02 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 1.1519e+00 1.2229e-02 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 3.6184e-01 4.8941e-03 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 1.5002e-01 2.3999e-03 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 7.3113e-02 1.6957e-03 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 4.9308e-02 1.3535e-03 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 3.2369e-02 9.6882e-04 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 2.6156e-02 9.2978e-04 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 1.7791e-02 6.8709e-04 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 8.3569e-03 4.6576e-04 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 7.7497e-03 4.5348e-04 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 8.0051e-03 4.3515e-04 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 6.0914e-03 3.7594e-04 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 6.1192e-03 3.8870e-04 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 5.3414e-03 3.4136e-04 7.6723e-04 2.5162e-02 1.0000e+00
2.5904e-02 4.9395e-03 3.3644e-04 7.6507e-04 2.6659e-02 1.0000e+00
2.7397e-02 4.1920e-03 2.8702e-04 7.3503e-04 2.8148e-02 1.0000e+00
2.8891e-02 4.7460e-03 3.5352e-04 7.4311e-04 2.9635e-02 1.0000e+00
3.0385e-02 1.5062e-03 2.1808e-04 7.5369e-04 3.1120e-02 1.0000e+00
3.1878e-02 5.4156e-03 4.3809e-04 7.7972e-04 3.2616e-02 1.0000e+00
3.3372e-02 5.0693e-03 3.8390e-04 7.9849e-04 3.4099e-02 1.0000e+00
3.6359e-02 5.1818e-03 3.9803e-04 8.7330e-04 3.7092e-02 1.0000e+00
3.7853e-02 2.5224e-03 3.9483e-04 9.3582e-04 3.8577e-02 1.0000e+00
3.9346e-02 2.4472e-03 1.9928e-03 1.1289e-03 4.0078e-02 1.0000e+00
4.2333e-02 5.8355e-03 3.6647e-04 1.5714e-03 4.3053e-02 1.0000e+00
4.3827e-02 5.4899e-03 4.1654e-04 1.8458e-03 4.4559e-02 1.0000e+00
4.5321e-02 5.3055e-03 1.8597e-04 2.4537e-03 4.6027e-02 1.0000e+00
4.6814e-02 6.5119e-03 2.5417e-04 3.0601e-03 4.7581e-02 1.0000e+00
4.8308e-02 6.6277e-03 2.4869e-04 4.0121e-03 4.8950e-02 1.0000e+00
4.9801e-02 5.8805e-03 1.9575e-04 4.4307e-03 5.0530e-02 1.0000e+00
5.1295e-02 9.1829e-03 2.8467e-04 4.6664e-03 5.2144e-02 1.0000e+00
5.2788e-02 7.4967e-03 2.4091e-04 4.5000e-03 5.3476e-02 1.0000e+00
5.4282e-02 7.0453e-03 2.0694e-04 4.0467e-03 5.5083e-02 1.0000e+00
5.5776e-02 1.0360e-02 2.9050e-04 4.2813e-03 5.6593e-02 1.0000e+00
5.7269e-02 9.0445e-03 2.4886e-04 4.1519e-03 5.7960e-02 1.0000e+00
5.8763e-02 1.4551e-02 2.8971e-04 3.9247e-03 5.9519e-02 1.0000e+00
6.0256e-02 1.9530e-02 3.9922e-04 4.1220e-03 6.0992e-02 1.0000e+00
6.1750e-02 1.7722e-02 3.1894e-04 3.9386e-03 6.2451e-02 1.0000e+00
6.3244e-02 2.2558e-02 3.4579e-04 3.9129e-03 6.3983e-02 1.0000e+00
6.4737e-02 2.5648e-02 4.3203e-04 3.9934e-03 6.5486e-02 1.0000e+00
6.6231e-02 3.1837e-02 4.1221e-04 3.9400e-03 6.6894e-02 1.0000e+00
6.7724e-02 4.3327e-02 4.7221e-04 3.7108e-03 6.8459e-02 1.0000e+00
6.9218e-02 4.9388e-02 5.5631e-04 3.9408e-03 7.0011e-02 1.0000e+00
7.0712e-02 5.4674e-02 5.2040e-04 3.8396e-03 7.1385e-02 1.0000e+00
7.2205e-02 6.3660e-02 5.2990e-04 3.6795e-03 7.2975e-02 1.0000e+00
7.3699e-02 7.1425e-02 6.5891e-04 3.9555e-03 7.4430e-02 1.0000e+00
7.5192e-02 7.6056e-02 5.7755e-04 3.6381e-03 7.5857e-02 1.0000e+00
7.6686e-02 7.9627e-02 5.6173e-04 3.6702e-03 7.7472e-02 1.0000e+00
7.8179e-02 8.2324e-02 6.9460e-04 3.7939e-03 7.8897e-02 1.0000e+00
7.9673e-02 8.5325e-02 5.7158e-04 3.5689e-03 8.0394e-02 1.0000e+00
8.1167e-02 7.9067e-02 5.3380e-04 3.6611e-03 8.1952e-02 1.0000e+00
8.2660e-02 7.8771e-02 6.6803e-04 3.7377e-03 8.3362e-02 1.0000e+00
8.4154e-02 7.2536e-02 4.9368e-04 3.4944e-03 8.4859e-02 1.0000e+00
8.5647e-02 6.4115e-02 4.5787e-04 3.5611e-03 8.6410e-02 1.0000e+00
8.7141e-02 6.1160e-02 5.8171e-04 3.6524e-03 8.7868e-02 1.0000e+00
8.8635e-02 5.7931e-02 4.2094e-04 3.5052e-03 8.9314e-02 1.0000e+00
9.0128e-02 4.6595e-02 3.7927e-04 3.4079e-03 9.0897e-02 1.0000e+00
9.1622e-02 4.5191e-02 4.9194e-04 3.6127e-03 9.2376e-02 1.0000e+00
9.3115e-02 3.7676e-02 3.1912e-04 3.4176e-03 9.3810e-02 1.0000e+00
9.4609e-02 3.2821e-02 3.3143e-04 3.4095e-03 9.5401e-02 1.0000e+00
9.6103e-02 3.0059e-02 3.7155e-04 3.6145e-03 9.6782e-02 1.0000e+00
9.7596e-02 2.4467e-02 2.5165e-04 3.2445e-03 9.8299e-02 1.0000e+00
9.9090e-02 2.0703e-02 2.6462e-04 3.4027e-03 9.9907e-02 1.0000e+00
1.0058e-01 1.9160e-02 2.8725e-04 3.5093e-03 1.0127e-01 1.0000e+00
1.0208e-01 1.5746e-02 2.0338e-04 3.2316e-03 1.0281e-01 1.0000e+00
1.0357e-01 1.2033e-02 1.9380e-04 3.3793e-03 1.0435e-01 1.0000e+00
1.0506e-01 1.1052e-02 2.1542e-04 3.3550e-03 1.0576e-01 1.0000e+00
1.0656e-01 9.8821e-03 1.6556e-04 3.2333e-03 1.0731e-01 1.0000e+00
1.0805e-01 7.1129e-03 1.5344e-04 3.3011e-03 1.0881e-01 1.0000e+00
1.0954e-01 8.0814e-03 1.8110e-04 3.3249e-03 1.1026e-01 1.0000e+00
1.1104e-01 6.4172e-03 1.3875e-04 3.2279e-03 1.1174e-01 1.0000e+00
1.1253e-01 5.9979e-03 1.4134e-04 3.1858e-03 1.1329e-01 1.0000e+00
1.1403e-01 4.9892e-03 1.3480e-04 3.3347e-03 1.1472e-01 1.0000e+00
1.1552e-01 5.5729e-03 1.2887e-04 3.1008e-03 1.1621e-01 1.0000e+00
1.1701e-01 4.3317e-03 1.1916e-04 3.1604e-03 1.1781e-01 1.0000e+00
1.1851e-01 4.1440e-03 1.2914e-04 3.3052e-03 1.1919e-01 1.0000e+00
1.2000e-01 4.0377e-03 1.0920e-04 3.0169e-03 1.2073e-01 1.0000e+00
