Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
3.5000e-03 2.4360e+02 2.6842e-01 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 4.3536e+01 7.8662e-02 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.8580e+01 4.5028e-02 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 8.6416e+00 2.6114e-02 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.5203e+00 1.7608e-02 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.5968e+00 1.3069e-02 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.7969e+00 1.0394e-02 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.1977e+00 8.0267e-03 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 8.6587e-01 6.7763e-03 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 7.3577e-01 6.0407e-03 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 5.7893e-01 5.1727e-03 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.6942e-01 4.6693e-03 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 4.2574e-01 4.3891e-03 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.5735e-01 3.9174e-03 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 3.3242e-01 3.7945e-03 7.6723e-04 2.5162e-02 1.0000e+00
2.5904e-02 3.1905e-01 3.6919e-03 7.6507e-04 2.6659e-02 1.0000e+00
2.7397e-02 2.9225e-01 3.3907e-03 7.3503e-04 2.8148e-02 1.0000e+00
2.8891e-02 2.7666e-01 3.1950e-03 7.4311e-04 2.9635e-02 1.0000e+00
3.0385e-02 2.9196e-01 3.2515e-03 7.5369e-04 3.1120e-02 1.0000e+00
3.1878e-02 2.7385e-01 4.3865e-03 7.7972e-04 3.2616e-02 1.0000e+00
3.3372e-02 2.7494e-01 5.8810e-03 7.9849e-04 3.4099e-02 1.0000e+00
3.6359e-02 2.3735e-01 3.4874e-03 8.7330e-04 3.7092e-02 1.0000e+00
3.7853e-02 2.6163e-01 3.6230e-03 9.3582e-04 3.8577e-02 1.0000e+00
3.9346e-02 2.4455e-01 1.9894e-03 1.1289e-03 4.0078e-02 1.0000e+00
4.2333e-02 2.6203e-01 1.7733e-03 1.5714e-03 4.3053e-02 1.0000e+00
4.3827e-02 2.6768e-01 2.5823e-03 1.8458e-03 4.4559e-02 1.0000e+00
4.5321e-02 2.8245e-01 2.0699e-03 2.4537e-03 4.6027e-02 1.0000e+00
4.6814e-02 2.8974e-01 2.0301e-03 3.0601e-03 4.7581e-02 1.0000e+00
4.8308e-02 3.0507e-01 2.8789e-03 4.0121e-03 4.8950e-02 1.0000e+00
4.9801e-02 3.2274e-01 1.8630e-03 4.4307e-03 5.0530e-02 1.0000e+00
5.1295e-02 3.3267e-01 2.5272e-03 4.6664e-03 5.2144e-02 1.0000e+00
5.2788e-02 3.5663e-01 2.0667e-03 4.5000e-03 5.3476e-02 1.0000e+00
5.4282e-02 3.8910e-01 2.1887e-03 4.0467e-03 5.5083e-02 1.0000e+00
5.5776e-02 4.1871e-01 2.7568e-03 4.2813e-03 5.6593e-02 1.0000e+00
5.7269e-02 4.6740e-01 2.1900e-03 4.1519e-03 5.7960e-02 1.0000e+00
5.8763e-02 5.1257e-01 2.9227e-03 3.9247e-03 5.9519e-02 1.0000e+00
6.0256e-02 5.7335e-01 2.3560e-03 4.1220e-03 6.0992e-02 1.0000e+00
6.1750e-02 7.0351e-01 2.7142e-03 3.9386e-03 6.2451e-02 1.0000e+00
6.3244e-02 7.9688e-01 3.2924e-03 3.9129e-03 6.3983e-02 1.0000e+00
6.4737e-02 9.8224e-01 3.0007e-03 3.9934e-03 6.5486e-02 1.0000e+00
6.6231e-02 1.1580e+00 4.2780e-03 3.9400e-03 6.6894e-02 1.0000e+00
6.7724e-02 1.4166e+00 3.2650e-03 3.7108e-03 6.8459e-02 1.0000e+00
6.9218e-02 1.8086e+00 4.0405e-03 3.9408e-03 7.0011e-02 1.0000e+00
7.0712e-02 2.0553e+00 4.8282e-03 3.8396e-03 7.1385e-02 1.0000e+00
7.2205e-02 2.4152e+00 4.2345e-03 3.6795e-03 7.2975e-02 1.0000e+00
7.3699e-02 2.6692e+00 6.1664e-03 3.9555e-03 7.4430e-02 1.0000e+00
7.5192e-02 2.9564e+00 4.5665e-03 3.6381e-03 7.5857e-02 1.0000e+00
7.6686e-02 3.2576e+00 4.9983e-03 3.6702e-03 7.7472e-02 1.0000e+00
7.8179e-02 3.3712e+00 5.9590e-03 3.7939e-03 7.8897e-02 1.0000e+00
7.9673e-02 3.4245e+00 4.8069e-03 3.5689e-03 8.0394e-02 1.0000e+00
8.1167e-02 3.4623e+00 6.7057e-03 3.6611e-03 8.1952e-02 1.0000e+00
8.2660e-02 3.3762e+00 4.6013e-03 3.7377e-03 8.3362e-02 1.0000e+00
