Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.5000e-03 2.4360e+02 2.6842e-01 -2.3786e+00 4.6518e-02 8.1197e+00 4.7612e-02 5.2262e+00 3.0638e-02 -6.6282e-01 5.3509e-02 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 4.3536e+01 7.8662e-02 -5.0184e-01 1.3654e-02 1.1519e+00 1.2229e-02 8.0379e-01 8.5324e-03 -2.0633e-01 1.6596e-02 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.8580e+01 4.5028e-02 -2.1863e-01 7.2377e-03 3.6184e-01 4.8941e-03 2.8832e-01 3.8988e-03 3.4358e-03 8.3080e-03 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 8.6416e+00 2.6114e-02 -3.4324e-02 4.5313e-03 1.5002e-01 2.3999e-03 1.3225e-01 2.1150e-03 1.6814e-02 5.2542e-03 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.5203e+00 1.7608e-02 -3.1455e-04 3.5709e-03 7.3113e-02 1.6957e-03 6.7365e-02 1.5623e-03 3.5473e-02 4.0607e-03 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.5968e+00 1.3069e-02 1.4093e-02 3.0610e-03 4.9308e-02 1.3535e-03 4.2577e-02 1.1685e-03 6.8893e-02 3.4878e-03 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.7969e+00 1.0394e-02 3.9252e-02 2.6675e-03 3.2369e-02 9.6882e-04 3.0158e-02 9.0245e-04 4.6260e-02 3.0476e-03 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.1977e+00 8.0267e-03 5.9654e-02 2.5050e-03 2.6156e-02 9.2978e-04 2.3530e-02 8.3645e-04 5.9266e-02 2.8288e-03 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 8.6587e-01 6.7763e-03 5.3677e-02 2.2724e-03 1.7791e-02 6.8709e-04 1.5503e-02 5.9854e-04 4.4901e-02 2.5843e-03 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 7.3577e-01 6.0407e-03 4.2465e-02 2.1306e-03 8.3569e-03 4.6576e-04 7.8442e-03 4.3716e-04 6.1707e-02 2.4334e-03 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 5.7893e-01 5.1727e-03 6.3847e-02 2.0512e-03 7.7497e-03 4.5348e-04 7.3810e-03 4.3192e-04 4.9804e-02 2.3253e-03 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.6942e-01 4.6693e-03 5.7119e-02 1.9595e-03 8.0051e-03 4.3515e-04 7.1856e-03 3.9053e-04 5.3995e-02 2.2179e-03 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 4.2574e-01 4.3891e-03 5.9982e-02 1.9324e-03 6.0914e-03 3.7594e-04 6.4295e-03 3.9686e-04 5.9579e-02 2.1840e-03 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.5735e-01 3.9174e-03 5.3489e-02 1.8441e-03 6.1192e-03 3.8870e-04 5.5389e-03 3.5183e-04 6.0954e-02 2.0893e-03 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 3.3242e-01 3.7945e-03 5.3349e-02 1.7816e-03 5.3414e-03 3.4136e-04 4.9686e-03 3.1749e-04 6.6923e-02 2.0136e-03 7.6723e-04 2.5162e-02 1.0000e+00
