Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 2.2467e+02 1.2360e+00 1.2460e+02 2.1053e+00 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 3.9927e+01 3.5797e-01 1.6850e+01 6.0431e-01 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.7067e+01 2.0423e-01 4.4011e+00 3.0612e-01 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 7.8805e+00 1.1715e-01 1.0354e+00 1.6548e-01 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.0568e+00 7.7535e-02 5.0552e-01 1.1594e-01 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.4754e+00 5.8148e-02 3.2303e-01 8.5733e-02 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.6040e+00 4.4492e-02 1.9631e-01 6.3810e-02 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.1327e+00 3.4304e-02 1.8757e-01 5.3392e-02 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 8.6881e-01 2.9123e-02 1.0850e-01 4.2104e-02 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 7.2861e-01 2.5611e-02 -1.1602e-02 3.6755e-02 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 5.7500e-01 2.1297e-02 -3.3123e-03 3.1725e-02 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.6890e-01 1.9013e-02 3.0855e-02 2.7467e-02 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 4.2741e-01 1.7764e-02 3.7308e-02 2.6687e-02 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.6880e-01 1.5438e-02 1.8854e-02 2.3211e-02 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 3.3414e-01 1.4634e-02 2.4320e-02 2.1479e-02 7.6723e-04 2.5162e-02 1.0000e+00
