Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 2.4479e+02 2.0356e-01 -1.2203e+00 2.3310e-02 3.3492e+02 2.4134e-01 -9.4712e-01 2.2345e-02 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 5.3456e+01 6.1219e-02 -2.6372e-01 7.0895e-03 7.2898e+01 7.1846e-02 -1.8961e-01 6.8552e-03 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.7811e+01 2.6975e-02 -6.5929e-02 3.2555e-03 2.3751e+01 3.1334e-02 -5.1214e-02 3.1531e-03 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 7.9097e+00 1.5621e-02 -1.2040e-02 2.1037e-03 1.0536e+01 1.8144e-02 -3.0247e-03 2.0472e-03 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.0820e+00 1.0397e-02 3.5460e-03 1.5491e-03 5.3929e+00 1.1989e-02 1.2672e-02 1.5746e-03 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.4105e+00 7.7111e-03 1.2443e-02 1.3345e-03 3.2464e+00 8.9271e-03 2.1374e-02 1.3478e-03 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.5807e+00 5.8396e-03 1.9434e-02 1.1494e-03 2.1159e+00 6.7211e-03 2.0419e-02 1.1539e-03 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.0927e+00 4.6407e-03 3.2891e-02 1.0744e-03 1.4570e+00 5.3320e-03 2.8091e-02 1.0655e-03 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 8.0941e-01 3.8941e-03 2.7945e-02 9.9232e-04 1.0871e+00 4.4977e-03 2.5913e-02 9.8741e-04 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 6.3945e-01 3.4142e-03 3.1757e-02 9.3422e-04 8.3905e-01 3.8585e-03 2.5812e-02 9.3744e-04 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 5.3603e-01 3.0344e-03 3.1862e-02 8.7917e-04 6.7047e-01 3.3247e-03 2.7740e-02 8.9010e-04 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.2675e-01 2.6510e-03 3.2109e-02 8.3489e-04 5.8585e-01 3.0175e-03 2.7173e-02 8.4286e-04 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 3.5416e-01 2.4497e-03 3.4952e-02 8.2114e-04 4.7384e-01 2.7195e-03 2.9065e-02 8.2116e-04 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.2089e-01 2.2749e-03 3.2784e-02 7.8402e-04 4.3495e-01 2.5231e-03 2.9343e-02 7.9794e-04 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 2.9905e-01 2.1160e-03 2.8961e-02 7.4480e-04 3.9426e-01 2.3373e-03 2.9745e-02 7.6195e-04 7.6723e-04 2.5162e-02 1.0000e+00
2.5904e-02 2.7089e-01 2.0395e-03 3.3502e-02 7.4312e-04 3.7041e-01 2.2526e-03 2.8213e-02 7.4348e-04 7.6507e-04 2.6659e-02 1.0000e+00
2.7397e-02 2.4394e-01 1.8916e-03 2.9385e-02 7.0984e-04 3.4825e-01 2.1164e-03 2.8969e-02 7.2144e-04 7.3503e-04 2.8148e-02 1.0000e+00
2.8891e-02 2.4972e-01 1.8545e-03 3.8120e-02 7.0711e-04 3.1237e-01 2.0072e-03 3.2713e-02 7.2135e-04 7.4311e-04 2.9635e-02 1.0000e+00
3.0385e-02 2.4104e-01 1.8225e-03 3.0717e-02 7.0353e-04 3.1737e-01 1.9801e-03 3.0851e-02 7.1996e-04 7.5369e-04 3.1120e-02 1.0000e+00
3.1878e-02 2.3204e-01 1.8775e-03 2.9183e-02 7.2120e-04 3.0095e-01 2.0041e-03 2.9066e-02 7.4389e-04 7.7972e-04 3.2616e-02 1.0000e+00
3.3372e-02 2.1931e-01 1.8615e-03 3.4266e-02 7.3650e-04 3.0296e-01 2.0434e-03 2.9905e-02 7.5409e-04 7.9849e-04 3.4099e-02 1.0000e+00
3.4865e-02 2.1509e-01 1.9224e-03 3.3541e-02 7.5343e-04 3.0549e-01 2.1373e-03 3.1077e-02 7.7835e-04 8.3712e-04 3.5605e-02 1.0000e+00
3.6359e-02 2.0760e-01 1.9431e-03 3.0768e-02 7.6674e-04 3.0019e-01 2.1489e-03 2.7917e-02 7.7325e-04 8.7330e-04 3.7092e-02 1.0000e+00
3.7853e-02 2.1350e-01 2.0288e-03 3.3712e-02 8.0332e-04 3.0869e-01 2.2649e-03 2.7484e-02 8.0976e-04 9.3582e-04 3.8577e-02 1.0000e+00
