Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 1.6135e+02 3.3470e-01 -4.8950e-01 3.7942e-02 2.0180e+02 3.7473e-01 -4.6674e-01 3.6842e-02 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 5.5783e+01 1.1638e-01 -1.8942e-01 1.3526e-02 7.3628e+01 1.3260e-01 -7.8812e-02 1.3157e-02 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.7681e+01 4.7683e-02 -2.4286e-02 5.8118e-03 2.2324e+01 5.3239e-02 7.5370e-04 5.7248e-03 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 7.8608e+00 2.7051e-02 -7.0429e-03 3.7109e-03 9.9555e+00 3.0119e-02 1.9623e-02 3.8111e-03 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.0796e+00 1.7147e-02 1.4416e-02 2.7231e-03 5.2226e+00 1.9013e-02 2.1019e-02 2.7452e-03 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.4307e+00 1.2701e-02 2.8587e-02 2.3547e-03 3.1457e+00 1.4085e-02 4.2045e-02 2.3739e-03 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.6159e+00 9.8299e-03 2.1406e-02 2.0910e-03 2.0047e+00 1.0778e-02 2.9696e-02 2.0777e-03 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.0807e+00 7.5976e-03 3.5536e-02 1.8517e-03 1.4463e+00 8.5948e-03 3.1089e-02 1.8655e-03 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 8.2429e-01 6.6670e-03 2.9293e-02 1.7340e-03 1.0773e+00 7.3782e-03 2.2229e-02 1.7472e-03 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 6.0229e-01 5.5962e-03 3.2359e-02 1.6357e-03 8.0164e-01 6.3284e-03 3.4586e-02 1.6889e-03 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 5.5128e-01 5.1534e-03 2.8995e-02 1.5469e-03 6.5931e-01 5.4014e-03 2.8684e-02 1.5506e-03 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.2989e-01 4.4881e-03 3.6313e-02 1.4834e-03 5.8245e-01 5.0155e-03 2.4728e-02 1.4548e-03 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 3.5415e-01 4.1294e-03 3.2518e-02 1.4507e-03 4.6103e-01 4.4888e-03 3.4459e-02 1.4274e-03 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.3047e-01 3.8941e-03 3.6126e-02 1.3842e-03 4.2303e-01 4.1928e-03 3.1426e-02 1.3933e-03 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 3.0542e-01 3.6445e-03 3.1993e-02 1.3132e-03 3.8348e-01 3.9009e-03 4.1510e-02 1.3405e-03 7.6723e-04 2.5162e-02 1.0000e+00
2.5904e-02 2.6999e-01 3.4381e-03 3.2508e-02 1.2770e-03 3.6289e-01 3.7311e-03 2.8902e-02 1.2956e-03 7.6507e-04 2.6659e-02 1.0000e+00
2.7397e-02 2.4333e-01 3.2327e-03 3.5340e-02 1.2392e-03 3.6017e-01 3.6046e-03 2.7907e-02 1.2554e-03 7.3503e-04 2.8148e-02 1.0000e+00
2.8891e-02 2.5995e-01 3.1530e-03 3.8430e-02 1.1909e-03 2.9789e-01 3.3440e-03 3.1665e-02 1.2170e-03 7.4311e-04 2.9635e-02 1.0000e+00
3.0385e-02 2.2675e-01 2.9777e-03 3.4009e-02 1.1792e-03 3.2059e-01 3.2943e-03 2.9973e-02 1.1843e-03 7.5369e-04 3.1120e-02 1.0000e+00
3.1878e-02 2.3464e-01 2.9611e-03 2.7301e-02 1.1279e-03 2.8684e-01 3.1400e-03 3.0017e-02 1.1794e-03 7.7972e-04 3.2616e-02 1.0000e+00
3.3372e-02 2.1634e-01 2.8025e-03 3.6925e-02 1.1066e-03 2.9617e-01 3.0751e-03 2.7953e-02 1.1207e-03 7.9849e-04 3.4099e-02 1.0000e+00
3.6359e-02 2.0990e-01 2.7122e-03 3.1632e-02 1.0748e-03 2.8805e-01 2.9387e-03 2.7157e-02 1.0881e-03 8.7330e-04 3.7092e-02 1.0000e+00
3.7853e-02 2.1716e-01 2.6512e-03 3.9207e-02 1.0540e-03 3.0540e-01 2.9256e-03 2.8065e-02 1.0649e-03 9.3582e-04 3.8577e-02 1.0000e+00
3.9346e-02 2.0719e-01 2.8072e-03 3.2549e-02 1.1073e-03 2.9260e-01 3.0939e-03 2.9623e-02 1.1237e-03 1.1289e-03 4.0078e-02 1.0000e+00
4.2333e-02 2.0845e-01 3.0413e-03 2.9857e-02 1.1834e-03 3.0581e-01 3.3869e-03 2.8433e-02 1.1937e-03 1.5714e-03 4.3053e-02 1.0000e+00
4.3827e-02 2.2380e-01 3.3057e-03 3.5149e-02 1.2921e-03 2.9656e-01 3.6291e-03 3.1528e-02 1.2973e-03 1.8458e-03 4.4559e-02 1.0000e+00
