Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 2.3725e+02 3.7634e-01 -1.0537e+00 3.8743e-02 2.4994e+02 3.8284e-01 -9.8158e-01 3.8534e-02 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 4.2853e+01 1.1102e-01 -1.9872e-01 1.1612e-02 4.4220e+01 1.1148e-01 -1.6928e-01 1.1828e-02 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.8541e+01 6.3799e-02 -6.7778e-02 7.2476e-03 1.8618e+01 6.3558e-02 -9.7970e-02 7.1049e-03 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 8.6703e+00 3.7174e-02 -6.7781e-03 4.8236e-03 8.6129e+00 3.6686e-02 -1.4329e-02 4.7488e-03 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.4405e+00 2.4786e-02 1.9858e-02 3.6799e-03 4.6002e+00 2.5017e-02 7.1190e-04 3.7168e-03 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.5817e+00 1.8541e-02 1.3294e-02 3.2178e-03 2.6119e+00 1.8422e-02 1.7098e-02 3.2653e-03 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.8036e+00 1.4728e-02 2.4481e-02 2.8951e-03 1.7902e+00 1.4670e-02 2.9301e-02 2.9455e-03 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.2283e+00 1.1479e-02 2.7793e-02 2.5127e-03 1.1670e+00 1.1223e-02 3.7215e-02 2.6323e-03 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 8.8314e-01 9.5840e-03 2.9122e-02 2.4334e-03 8.4860e-01 9.5822e-03 3.0422e-02 2.4834e-03 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 7.3156e-01 8.5313e-03 1.6063e-02 2.2341e-03 7.3998e-01 8.5544e-03 1.3798e-02 2.2024e-03 9.1279e-04 1.7702e-02 1.0000e+00
