Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 2.8952e+02 4.6008e-01 -1.5812e+00 5.4812e-02 4.6742e+02 5.7551e-01 -1.1408e+00 5.1629e-02 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 4.8229e+01 1.3346e-01 -3.4659e-01 1.5711e-02 7.6556e+01 1.6530e-01 -2.8909e-01 1.4971e-02 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.8132e+01 6.2481e-02 -1.5770e-01 7.4438e-03 2.8503e+01 7.6913e-02 -1.1382e-01 7.1500e-03 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 7.5258e+00 3.2339e-02 -1.9925e-02 4.3872e-03 1.2080e+01 4.0029e-02 -2.7617e-02 4.1313e-03 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 3.7563e+00 2.3676e-02 -2.8212e-02 3.3567e-03 6.0558e+00 2.9311e-02 7.0132e-03 3.5187e-03 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.2917e+00 1.7437e-02 -5.6044e-04 2.8778e-03 3.7230e+00 2.1590e-02 -1.6458e-03 2.8601e-03 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.4463e+00 1.2803e-02 9.5152e-03 2.3586e-03 2.4110e+00 1.5873e-02 1.5206e-02 2.4171e-03 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 9.7731e-01 1.1073e-02 2.4809e-02 2.4871e-03 1.6853e+00 1.3906e-02 2.9492e-02 2.3817e-03 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 7.4543e-01 8.4738e-03 2.6789e-02 2.1112e-03 1.2419e+00 1.0561e-02 2.1022e-02 2.0271e-03 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 6.2703e-01 7.9418e-03 3.4709e-02 2.0631e-03 9.4069e-01 9.4613e-03 2.0360e-02 2.0149e-03 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 4.7389e-01 7.1651e-03 3.3638e-02 1.9563e-03 7.4182e-01 8.4488e-03 2.1202e-02 1.9684e-03 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.0035e-01 6.0241e-03 2.9024e-02 1.7945e-03 6.4556e-01 7.2356e-03 2.6921e-02 1.8506e-03 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 3.0150e-01 5.7347e-03 2.6949e-02 1.8226e-03 5.0520e-01 6.7822e-03 2.2939e-02 1.8569e-03 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.0126e-01 5.4382e-03 2.7045e-02 1.7547e-03 4.8831e-01 6.3939e-03 2.2209e-02 1.7724e-03 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 2.7309e-01 4.9095e-03 2.2932e-02 1.6824e-03 4.4164e-01 5.8136e-03 1.9931e-02 1.7284e-03 7.6723e-04 2.5162e-02 1.0000e+00
2.5904e-02 2.5367e-01 4.9552e-03 3.5008e-02 1.7395e-03 4.1247e-01 5.8165e-03 2.3592e-02 1.6871e-03 7.6507e-04 2.6659e-02 1.0000e+00
2.7397e-02 2.2068e-01 4.3670e-03 2.6859e-02 1.5936e-03 3.6069e-01 5.1762e-03 2.9339e-02 1.6299e-03 7.3503e-04 2.8148e-02 1.0000e+00
2.8891e-02 2.1410e-01 4.9854e-03 4.1630e-02 1.8705e-03 3.5905e-01 5.7742e-03 3.7013e-02 1.9214e-03 7.4311e-04 2.9635e-02 1.0000e+00
3.0385e-02 2.5747e-01 5.7180e-03 1.7087e-02 2.1028e-03 3.4136e-01 6.4052e-03 3.8453e-02 2.2065e-03 7.5369e-04 3.1120e-02 1.0000e+00
3.1878e-02 2.1012e-01 5.7761e-03 2.4594e-02 2.2762e-03 3.6416e-01 6.6396e-03 2.9792e-02 2.3560e-03 7.7972e-04 3.2616e-02 1.0000e+00
3.3372e-02 2.0251e-01 5.2261e-03 2.6523e-02 2.1307e-03 3.5184e-01 6.0262e-03 2.4595e-02 2.1794e-03 7.9849e-04 3.4099e-02 1.0000e+00
3.6359e-02 1.9504e-01 4.9371e-03 2.8770e-02 2.0082e-03 3.3532e-01 5.7918e-03 3.4809e-02 1.9764e-03 8.7330e-04 3.7092e-02 1.0000e+00
