Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 2.6570e+02 7.2719e-01 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 5.7216e+01 2.1533e-01 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 1.9098e+01 9.4798e-02 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 8.3889e+00 5.4214e-02 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.3388e+00 3.5815e-02 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.6166e+00 2.6468e-02 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.7189e+00 1.9802e-02 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.1986e+00 1.5557e-02 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 9.1208e-01 1.3019e-02 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 7.1761e-01 1.0931e-02 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 5.7586e-01 9.3505e-03 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.9802e-01 8.3280e-03 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 4.3871e-01 7.7065e-03 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.8266e-01 6.8347e-03 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 3.5720e-01 6.3609e-03 7.6723e-04 2.5162e-02 1.0000e+00
2.5904e-02 3.2838e-01 6.0315e-03 7.6507e-04 2.6659e-02 1.0000e+00
2.7397e-02 3.0833e-01 5.6027e-03 7.3503e-04 2.8148e-02 1.0000e+00
2.8891e-02 2.8784e-01 5.3075e-03 7.4311e-04 2.9635e-02 1.0000e+00
3.0385e-02 2.8342e-01 5.1684e-03 7.5369e-04 3.1120e-02 1.0000e+00
3.1878e-02 2.6694e-01 5.1016e-03 7.7972e-04 3.2616e-02 1.0000e+00
3.3372e-02 2.7268e-01 5.2677e-03 7.9849e-04 3.4099e-02 1.0000e+00
3.4865e-02 2.5637e-01 5.3539e-03 8.3712e-04 3.5605e-02 1.0000e+00
3.6359e-02 2.7066e-01 5.6000e-03 8.7330e-04 3.7092e-02 1.0000e+00
3.7853e-02 2.6651e-01 5.8597e-03 9.3582e-04 3.8577e-02 1.0000e+00
3.9346e-02 2.5287e-01 6.3363e-03 1.1289e-03 4.0078e-02 1.0000e+00
4.0840e-02 2.8488e-01 7.4767e-03 1.2418e-03 4.1542e-02 1.0000e+00
4.2333e-02 2.5904e-01 7.1960e-03 1.5714e-03 4.3053e-02 1.0000e+00
4.3827e-02 2.7522e-01 8.2064e-03 1.8458e-03 4.4559e-02 1.0000e+00
4.5321e-02 2.7968e-01 7.7435e-03 2.4537e-03 4.6027e-02 1.0000e+00
4.6814e-02 2.8049e-01 7.7091e-03 3.0601e-03 4.7581e-02 1.0000e+00
4.8308e-02 3.0049e-01 8.0585e-03 4.0121e-03 4.8950e-02 1.0000e+00
4.9801e-02 3.1664e-01 4.9528e-03 4.4307e-03 5.0530e-02 1.0000e+00
5.1295e-02 3.3852e-01 4.9457e-03 4.6664e-03 5.2144e-02 1.0000e+00
5.2788e-02 3.4208e-01 4.7477e-03 4.5000e-03 5.3476e-02 1.0000e+00
5.4282e-02 3.8704e-01 4.6163e-03 4.0467e-03 5.5083e-02 1.0000e+00
5.5776e-02 4.0994e-01 5.0149e-03 4.2813e-03 5.6593e-02 1.0000e+00
5.7269e-02 4.3725e-01 4.9012e-03 4.1519e-03 5.7960e-02 1.0000e+00
5.8763e-02 4.9228e-01 5.0769e-03 3.9247e-03 5.9519e-02 1.0000e+00
6.0256e-02 5.6265e-01 5.4857e-03 4.1220e-03 6.0992e-02 1.0000e+00
6.1750e-02 6.4690e-01 5.6793e-03 3.9386e-03 6.2451e-02 1.0000e+00
6.3244e-02 7.6631e-01 6.2271e-03 3.9129e-03 6.3983e-02 1.0000e+00
6.4737e-02 9.1801e-01 6.7107e-03 3.9934e-03 6.5486e-02 1.0000e+00
6.6231e-02 1.0848e+00 7.3850e-03 3.9400e-03 6.6894e-02 1.0000e+00
6.7724e-02 1.3133e+00 7.5221e-03 3.7108e-03 6.8459e-02 1.0000e+00
6.9218e-02 1.5645e+00 8.5803e-03 3.9408e-03 7.0011e-02 1.0000e+00
7.0712e-02 1.8253e+00 9.2303e-03 3.8396e-03 7.1385e-02 1.0000e+00
7.2205e-02 2.1461e+00 9.4529e-03 3.6795e-03 7.2975e-02 1.0000e+00
7.3699e-02 2.4030e+00 1.0646e-02 3.9555e-03 7.4430e-02 1.0000e+00
7.5192e-02 2.5918e+00 1.0161e-02 3.6381e-03 7.5857e-02 1.0000e+00
7.6686e-02 2.8062e+00 1.0661e-02 3.6702e-03 7.7472e-02 1.0000e+00
7.8179e-02 2.8901e+00 1.0921e-02 3.7939e-03 7.8897e-02 1.0000e+00
7.9673e-02 2.9794e+00 1.0632e-02 3.5689e-03 8.0394e-02 1.0000e+00
8.1167e-02 2.9704e+00 1.0949e-02 3.6611e-03 8.1952e-02 1.0000e+00
8.2660e-02 2.8970e+00 1.0513e-02 3.7377e-03 8.3362e-02 1.0000e+00
8.4154e-02 2.7952e+00 1.0000e-02 3.4944e-03 8.4859e-02 1.0000e+00
8.5647e-02 2.6008e+00 9.7510e-03 3.5611e-03 8.6410e-02 1.0000e+00
8.7141e-02 2.4021e+00 9.2339e-03 3.6524e-03 8.7868e-02 1.0000e+00
8.8635e-02 2.2111e+00 8.9263e-03 3.5052e-03 8.9314e-02 1.0000e+00
9.0128e-02 1.9687e+00 7.9818e-03 3.4079e-03 9.0897e-02 1.0000e+00
9.1622e-02 1.7396e+00 7.7280e-03 3.6127e-03 9.2376e-02 1.0000e+00
9.3115e-02 1.5335e+00 7.1539e-03 3.4176e-03 9.3810e-02 1.0000e+00
9.4609e-02 1.3287e+00 6.4878e-03 3.4095e-03 9.5401e-02 1.0000e+00
9.6103e-02 1.1652e+00 6.3409e-03 3.6145e-03 9.6782e-02 1.0000e+00
9.7596e-02 9.9036e-01 5.3586e-03 3.2445e-03 9.8299e-02 1.0000e+00
9.9090e-02 8.3960e-01 5.1114e-03 3.4027e-03 9.9907e-02 1.0000e+00
1.0058e-01 7.3102e-01 4.7938e-03 3.5093e-03 1.0127e-01 1.0000e+00
