Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 3.4927e+02 1.7042e+00 2.7630e-03 4.4950e-03 1.0000e+00
4.9936e-03 5.6776e+01 4.8688e-01 1.7337e-03 5.8761e-03 1.0000e+00
6.4872e-03 2.1468e+01 2.2803e-01 1.3516e-03 7.2406e-03 1.0000e+00
7.9808e-03 8.9160e+00 1.1687e-01 1.1959e-03 8.7221e-03 1.0000e+00
9.4744e-03 4.5623e+00 8.6199e-02 1.1417e-03 1.0241e-02 1.0000e+00
1.0968e-02 2.7984e+00 6.3000e-02 1.0960e-03 1.1724e-02 1.0000e+00
1.2462e-02 1.8003e+00 4.5741e-02 1.0204e-03 1.3212e-02 1.0000e+00
1.3955e-02 1.3203e+00 4.0914e-02 9.8868e-04 1.4715e-02 1.0000e+00
1.5449e-02 9.7731e-01 3.0407e-02 9.3964e-04 1.6212e-02 1.0000e+00
1.6942e-02 7.1701e-01 2.6363e-02 9.1279e-04 1.7702e-02 1.0000e+00
1.8436e-02 5.7169e-01 2.3513e-02 8.8450e-04 1.9181e-02 1.0000e+00
1.9929e-02 4.9975e-01 1.9823e-02 8.3417e-04 2.0686e-02 1.0000e+00
2.1423e-02 4.6472e-01 1.9915e-02 8.3358e-04 2.2184e-02 1.0000e+00
2.2917e-02 3.8765e-01 1.7332e-02 8.0099e-04 2.3659e-02 1.0000e+00
2.4410e-02 3.5846e-01 1.5722e-02 7.6723e-04 2.5162e-02 1.0000e+00
2.5904e-02 3.3404e-01 1.5723e-02 7.6507e-04 2.6659e-02 1.0000e+00
2.7397e-02 2.9620e-01 1.3672e-02 7.3503e-04 2.8148e-02 1.0000e+00
2.8891e-02 2.9624e-01 1.5509e-02 7.4311e-04 2.9635e-02 1.0000e+00
3.0385e-02 2.8630e-01 1.6645e-02 7.5369e-04 3.1120e-02 1.0000e+00
3.1878e-02 2.7143e-01 1.6226e-02 7.7972e-04 3.2616e-02 1.0000e+00
3.3372e-02 2.5193e-01 1.4625e-02 7.9849e-04 3.4099e-02 1.0000e+00
3.6359e-02 2.9251e-01 1.5168e-02 8.7330e-04 3.7092e-02 1.0000e+00
3.7853e-02 2.4801e-01 2.1177e-02 9.3582e-04 3.8577e-02 1.0000e+00
3.9346e-02 3.9808e-01 1.5423e-01 1.1289e-03 4.0078e-02 1.0000e+00
4.2333e-02 3.1103e-01 1.5694e-02 1.5714e-03 4.3053e-02 1.0000e+00
4.3827e-02 2.7619e-01 1.8061e-02 1.8458e-03 4.4559e-02 1.0000e+00
4.5321e-02 2.7812e-01 8.4393e-03 2.4537e-03 4.6027e-02 1.0000e+00
4.6814e-02 2.9726e-01 1.0623e-02 3.0601e-03 4.7581e-02 1.0000e+00
4.8308e-02 2.9588e-01 1.0390e-02 4.0121e-03 4.8950e-02 1.0000e+00
4.9801e-02 3.1152e-01 8.9589e-03 4.4307e-03 5.0530e-02 1.0000e+00
5.1295e-02 3.5546e-01 1.1005e-02 4.6664e-03 5.2144e-02 1.0000e+00
