Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
3.5000e-03 9.2568e+01 1.4340e-01 9.4331e+01 1.4386e-01 9.4606e+01 1.2457e-01 9.4381e+01 1.3945e-01 1.3287e+02 1.5135e-01
4.7527e-03 2.2188e+01 6.6680e-02 2.2676e+01 6.6706e-02 2.3547e+01 5.8913e-02 2.3196e+01 6.5501e-02 2.4352e+01 6.0287e-02
6.0054e-03 8.7576e+00 3.7145e-02 9.2201e+00 3.6433e-02 9.3067e+00 3.2710e-02 8.9898e+00 3.6297e-02 9.1270e+00 3.5012e-02
7.2581e-03 4.1622e+00 2.5672e-02 3.9870e+00 2.4528e-02 4.3055e+00 2.2613e-02 4.2608e+00 2.4861e-02 4.2816e+00 2.3391e-02
8.5108e-03 2.4027e+00 1.7472e-02 2.5034e+00 1.7306e-02 2.5435e+00 1.5501e-02 2.3617e+00 1.6759e-02 2.4746e+00 1.5943e-02
9.7634e-03 1.4361e+00 1.3756e-02 1.3907e+00 1.3466e-02 1.4498e+00 1.2242e-02 1.4029e+00 1.3475e-02 1.4634e+00 1.2749e-02
1.1016e-02 9.8582e-01 1.0670e-02 9.9817e-01 1.0564e-02 9.8998e-01 9.5209e-03 9.7124e-01 1.0435e-02 9.4386e-01 9.8971e-03
1.2269e-02 6.9018e-01 9.1198e-03 6.1086e-01 8.6208e-03 6.7303e-01 8.1251e-03 6.7186e-01 8.8900e-03 6.6315e-01 8.4310e-03
1.3522e-02 5.2528e-01 7.8297e-03 5.3579e-01 7.7316e-03 4.9884e-01 6.9959e-03 5.0705e-01 7.6927e-03 4.8993e-01 7.2075e-03
1.4774e-02 4.3982e-01 7.0032e-03 3.8979e-01 6.7572e-03 3.9013e-01 6.2332e-03 4.6814e-01 7.0124e-03 3.8838e-01 6.4154e-03
1.6027e-02 3.3624e-01 6.1603e-03 3.3380e-01 6.0376e-03 3.1608e-01 5.5332e-03 3.2355e-01 6.1296e-03 3.6717e-01 5.8782e-03
1.7280e-02 2.7106e-01 5.5929e-03 2.5875e-01 5.5143e-03 2.5553e-01 5.1167e-03 2.6960e-01 5.5925e-03 2.4583e-01 5.3354e-03
1.8532e-02 2.1832e-01 5.4576e-03 1.9331e-01 5.2734e-03 1.7327e-01 4.8896e-03 1.9152e-01 5.3678e-03 1.9227e-01 5.0980e-03
