Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
3.5000e-03 1.2751e+02 2.8864e-01 1.4195e+02 2.9388e-01 1.4090e+02 2.3265e-01 1.4260e+02 2.5481e-01 1.1841e+02 2.1849e-01
4.7527e-03 2.3938e+01 1.1456e-01 2.3972e+01 1.0570e-01 2.8315e+01 1.0533e-01 3.0309e+01 1.1979e-01 2.4940e+01 9.8427e-02
6.0054e-03 9.9761e+00 6.0102e-02 9.7727e+00 5.9737e-02 1.1101e+01 5.4934e-02 1.1643e+01 6.0952e-02 1.0243e+01 5.4115e-02
7.2581e-03 4.5041e+00 3.8249e-02 4.8100e+00 3.7028e-02 4.8651e+00 3.4612e-02 5.2747e+00 3.8902e-02 4.6926e+00 3.4815e-02
8.5108e-03 2.6161e+00 2.6734e-02 2.5669e+00 2.5777e-02 2.8100e+00 2.4390e-02 2.7337e+00 2.6240e-02 2.6314e+00 2.4226e-02
9.7634e-03 1.6853e+00 1.9835e-02 1.6188e+00 1.8957e-02 1.8177e+00 1.8170e-02 1.8257e+00 1.9733e-02 1.6497e+00 1.8152e-02
1.1016e-02 1.1042e+00 1.5532e-02 1.0936e+00 1.5038e-02 1.0379e+00 1.3533e-02 1.1870e+00 1.5474e-02 1.1609e+00 1.3967e-02
1.2269e-02 8.1366e-01 1.2975e-02 8.5472e-01 1.2939e-02 8.0109e-01 1.1637e-02 9.4570e-01 1.3079e-02 8.2187e-01 1.1778e-02
1.3522e-02 5.9153e-01 1.1273e-02 5.8607e-01 1.1011e-02 5.5411e-01 9.9749e-03 6.5475e-01 1.1355e-02 6.0612e-01 1.0202e-02
1.4774e-02 4.7016e-01 9.6723e-03 5.0998e-01 9.4416e-03 3.7930e-01 8.3097e-03 5.0864e-01 9.5141e-03 4.5223e-01 8.6887e-03
1.6027e-02 4.5158e-01 9.0892e-03 4.0711e-01 8.5920e-03 2.8482e-01 7.0275e-03 3.4652e-01 8.4906e-03 4.3354e-01 8.0759e-03
1.7280e-02 4.2079e-01 7.8131e-03 3.7374e-01 7.4555e-03 3.0558e-01 6.5577e-03 4.0165e-01 7.6254e-03 3.3834e-01 6.9192e-03
1.8532e-02 2.9022e-01 7.1055e-03 3.0213e-01 7.2080e-03 2.3464e-01 6.2701e-03 3.0049e-01 7.2243e-03 3.0554e-01 6.6677e-03
1.9785e-02 2.5378e-01 6.6769e-03 2.3791e-01 6.3756e-03 1.9605e-01 5.7880e-03 2.8706e-01 6.7158e-03 2.3157e-01 6.2350e-03
2.1038e-02 1.8557e-01 6.2996e-03 1.9691e-01 6.2666e-03 1.3507e-01 5.6370e-03 1.9300e-01 6.3654e-03 2.1876e-01 6.1459e-03
2.2290e-02 2.1496e-01 5.9863e-03 1.9843e-01 5.7928e-03 1.4470e-01 5.1117e-03 2.0267e-01 5.8714e-03 1.5938e-01 5.2920e-03
2.3543e-02 1.6618e-01 5.4030e-03 1.7021e-01 5.3286e-03 1.4326e-01 4.8824e-03 1.4401e-01 5.3877e-03 1.6621e-01 5.1425e-03
2.4796e-02 2.1635e-01 5.3875e-03 1.8225e-01 5.1071e-03 1.6109e-01 4.5445e-03 1.8463e-01 5.2327e-03 1.9967e-01 4.9942e-03
2.6048e-02 1.2361e-01 5.0891e-03 1.2757e-01 5.1042e-03 8.1556e-02 4.5473e-03 1.1863e-01 5.1367e-03 1.1042e-01 4.7785e-03
2.7301e-02 1.3629e-01 5.0433e-03 1.3376e-01 4.9462e-03 9.8166e-02 4.4775e-03 1.2080e-01 4.9889e-03 1.1723e-01 4.7337e-03
2.8554e-02 1.1731e-01 4.7109e-03 1.2147e-01 4.6842e-03 8.6054e-02 4.2801e-03 8.9603e-02 4.6604e-03 1.4178e-01 4.6244e-03
2.9806e-02 1.1479e-01 4.5242e-03 1.1625e-01 4.5084e-03 8.7360e-02 4.0701e-03 1.2670e-01 4.6837e-03 1.1793e-01 4.3787e-03
