Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
3.5000e-03 6.1053e+01 4.8488e-02 5.9408e+01 4.7836e-02 6.1538e+01 4.2687e-02 6.4292e+01 4.7331e-02 7.2706e+01 4.6775e-02
4.7527e-03 1.2744e+01 1.9934e-02 1.2886e+01 1.9240e-02 1.3458e+01 1.7864e-02 1.3570e+01 1.9927e-02 1.3264e+01 1.8265e-02
6.0054e-03 4.9286e+00 1.1122e-02 4.8395e+00 1.0848e-02 5.0743e+00 9.9868e-03 5.1792e+00 1.1040e-02 4.8868e+00 1.0110e-02
7.2581e-03 2.4050e+00 7.3841e-03 2.3489e+00 7.0661e-03 2.4006e+00 6.5112e-03 2.5642e+00 7.3446e-03 2.4420e+00 6.7958e-03
8.5108e-03 1.3939e+00 5.2689e-03 1.3757e+00 5.1376e-03 1.3237e+00 4.7431e-03 1.4251e+00 5.1376e-03 1.3830e+00 4.8152e-03
9.7634e-03 9.0327e-01 4.0889e-03 8.5882e-01 3.9584e-03 8.2138e-01 3.7113e-03 9.3214e-01 4.0509e-03 8.7942e-01 3.8028e-03
1.1016e-02 6.4738e-01 3.2639e-03 6.3752e-01 3.2161e-03 5.4196e-01 2.9557e-03 6.7418e-01 3.2478e-03 6.2592e-01 3.0967e-03
1.2269e-02 4.9644e-01 2.8298e-03 4.6833e-01 2.7435e-03 3.9566e-01 2.5934e-03 5.0028e-01 2.8090e-03 4.8290e-01 2.6679e-03
1.3522e-02 3.7612e-01 2.4940e-03 3.5897e-01 2.4383e-03 2.8084e-01 2.3066e-03 3.8573e-01 2.4865e-03 3.7545e-01 2.4058e-03
1.4774e-02 3.3996e-01 2.2486e-03 3.1380e-01 2.1419e-03 2.3959e-01 2.0560e-03 3.4536e-01 2.2296e-03 3.2795e-01 2.1378e-03
1.6027e-02 2.8113e-01 2.0297e-03 2.5899e-01 1.9898e-03 1.7077e-01 1.8659e-03 2.7397e-01 2.0302e-03 2.8225e-01 1.9863e-03
1.7280e-02 2.4103e-01 1.8784e-03 2.3618e-01 1.8398e-03 1.4945e-01 1.7480e-03 2.4186e-01 1.8728e-03 2.3381e-01 1.8320e-03
1.8532e-02 2.0851e-01 1.7779e-03 1.9702e-01 1.7569e-03 1.1870e-01 1.6776e-03 2.0742e-01 1.7794e-03 2.0408e-01 1.7473e-03
1.9785e-02 1.9397e-01 1.6459e-03 1.9078e-01 1.6287e-03 1.1425e-01 1.5680e-03 2.0124e-01 1.6697e-03 1.8242e-01 1.6166e-03
2.1038e-02 1.6708e-01 1.5508e-03 1.6388e-01 1.5296e-03 1.0067e-01 1.4948e-03 1.7008e-01 1.5664e-03 1.6811e-01 1.5405e-03
2.2290e-02 1.5243e-01 1.5040e-03 1.4150e-01 1.4740e-03 8.5656e-02 1.4535e-03 1.4598e-01 1.5088e-03 1.4181e-01 1.4788e-03
2.3543e-02 1.4276e-01 1.4172e-03 1.3440e-01 1.3990e-03 8.1663e-02 1.3727e-03 1.4082e-01 1.4310e-03 1.4018e-01 1.4101e-03
2.4796e-02 1.2975e-01 1.3754e-03 1.2053e-01 1.3521e-03 7.7708e-02 1.3532e-03 1.3117e-01 1.3996e-03 1.3312e-01 1.3896e-03
2.6048e-02 1.0709e-01 1.3901e-03 1.0086e-01 1.3735e-03 6.6256e-02 1.3809e-03 1.1096e-01 1.4191e-03 1.0824e-01 1.3953e-03
2.7301e-02 1.0255e-01 1.4852e-03 1.0034e-01 1.4604e-03 6.3084e-02 1.4611e-03 1.0665e-01 1.5107e-03 1.0799e-01 1.4814e-03
2.8554e-02 1.0105e-01 1.4598e-03 9.4787e-02 1.4491e-03 6.0870e-02 1.4570e-03 9.5110e-02 1.4855e-03 1.0667e-01 1.4843e-03
2.9806e-02 8.7489e-02 1.4905e-03 8.3642e-02 1.4822e-03 5.0748e-02 1.4822e-03 9.4219e-02 1.5314e-03 8.6207e-02 1.4992e-03
3.1059e-02 9.1171e-02 1.4918e-03 8.5856e-02 1.4670e-03 5.5177e-02 1.4850e-03 9.5266e-02 1.5253e-03 9.2879e-02 1.4934e-03
3.2312e-02 8.7658e-02 1.4586e-03 8.2988e-02 1.4409e-03 5.3819e-02 1.4591e-03 9.0354e-02 1.5020e-03 7.9757e-02 1.4543e-03
3.3565e-02 7.2237e-02 1.4600e-03 7.1757e-02 1.4556e-03 4.7637e-02 1.4769e-03 6.3540e-02 1.4723e-03 6.6413e-02 1.4536e-03
3.4817e-02 7.3631e-02 1.4507e-03 6.6440e-02 1.4215e-03 3.9925e-02 1.4458e-03 7.6706e-02 1.4927e-03 6.9234e-02 1.4477e-03
3.6070e-02 8.2276e-02 1.4751e-03 7.4160e-02 1.4576e-03 5.2709e-02 1.4811e-03 7.4094e-02 1.4927e-03 7.9274e-02 1.4760e-03
3.7323e-02 6.9071e-02 1.5604e-03 6.4116e-02 1.5482e-03 4.5449e-02 1.5769e-03 6.5727e-02 1.5903e-03 6.7767e-02 1.5739e-03
3.8575e-02 7.5849e-02 1.6036e-03 6.8699e-02 1.5800e-03 4.5102e-02 1.5994e-03 7.8643e-02 1.6109e-03 7.1456e-02 1.6061e-03
3.9828e-02 6.2726e-02 1.6509e-03 5.9608e-02 1.6413e-03 3.9410e-02 1.6658e-03 6.1545e-02 1.7315e-03 6.1764e-02 1.6606e-03
4.1081e-02 6.8266e-02 1.3853e-03 6.7601e-02 1.3844e-03 5.2988e-02 1.4192e-03 7.6556e-02 1.4270e-03 7.0419e-02 1.4051e-03
4.2333e-02 5.4291e-02 1.5483e-03 4.0491e-02 1.4617e-03 3.6603e-02 1.5420e-03 4.4208e-02 1.5451e-03 5.6989e-02 1.5476e-03
4.3586e-02 5.7353e-02 1.1220e-03 5.2613e-02 1.0809e-03 4.4732e-02 1.1669e-03 6.2834e-02 1.1801e-03 5.4400e-02 1.1315e-03
4.4839e-02 5.4706e-02 7.2637e-04 5.0947e-02 6.6458e-04 3.8813e-02 6.6191e-04 5.4243e-02 7.0952e-04 5.2966e-02 6.7819e-04
4.6091e-02 4.9650e-02 6.7788e-04 4.9263e-02 6.6107e-04 3.5139e-02 6.2759e-04 4.9369e-02 6.6666e-04 5.1451e-02 6.5684e-04
4.7344e-02 4.6174e-02 6.2660e-04 4.4491e-02 6.1427e-04 3.3806e-02 5.8609e-04 4.5565e-02 6.2160e-04 4.2968e-02 5.9519e-04
4.8597e-02 4.6775e-02 6.0929e-04 4.5162e-02 5.9204e-04 3.8688e-02 5.7549e-04 4.7203e-02 5.9742e-04 5.0367e-02 5.9324e-04
4.9849e-02 4.3033e-02 6.4169e-04 4.6477e-02 6.4206e-04 3.1752e-02 6.0273e-04 4.5757e-02 6.4376e-04 4.2161e-02 6.1720e-04
5.1102e-02 4.8798e-02 6.0477e-04 4.7496e-02 5.9237e-04 3.8528e-02 5.5927e-04 4.7547e-02 5.8159e-04 4.5407e-02 5.6441e-04
5.2355e-02 4.8942e-02 5.9263e-04 5.1598e-02 5.9257e-04 4.4520e-02 5.7517e-04 5.2917e-02 6.0616e-04 5.0256e-02 5.7482e-04
5.3608e-02 4.7303e-02 5.9560e-04 4.8707e-02 5.9028e-04 3.7477e-02 5.6057e-04 4.7370e-02 5.8678e-04 4.5606e-02 5.6851e-04
5.4860e-02 5.1979e-02 5.9927e-04 4.8885e-02 5.8503e-04 4.2812e-02 5.6055e-04 5.1723e-02 5.9694e-04 4.9158e-02 5.6779e-04
5.6113e-02 5.1495e-02 5.7445e-04 5.4197e-02 5.7311e-04 4.7966e-02 5.5070e-04 5.2744e-02 5.6735e-04 5.3296e-02 5.5454e-04
5.7366e-02 5.3906e-02 5.9405e-04 5.4455e-02 5.9147e-04 5.2170e-02 5.7128e-04 5.6053e-02 5.9516e-04 5.3554e-02 5.6948e-04
5.8618e-02 6.6607e-02 5.9137e-04 6.4843e-02 5.7979e-04 6.3436e-02 5.5986e-04 6.8286e-02 5.8462e-04 6.7088e-02 5.6417e-04
5.9871e-02 7.5835e-02 5.9831e-04 7.1132e-02 5.8199e-04 7.0388e-02 5.6469e-04 7.8464e-02 6.0403e-04 7.1215e-02 5.6035e-04
6.1124e-02 8.5464e-02 6.2633e-04 8.7217e-02 6.1598e-04 8.8295e-02 5.9258e-04 9.0908e-02 6.1954e-04 8.3760e-02 5.8208e-04
6.2376e-02 9.5556e-02 6.2577e-04 1.0193e-01 6.2595e-04 9.9980e-02 5.9613e-04 1.0288e-01 6.3299e-04 1.0191e-01 6.0263e-04
6.3629e-02 1.1404e-01 6.6285e-04 1.1319e-01 6.4681e-04 1.1460e-01 6.1792e-04 1.1689e-01 6.5967e-04 1.0998e-01 6.1059e-04
6.4882e-02 1.2330e-01 6.8369e-04 1.2182e-01 6.6470e-04 1.2778e-01 6.4088e-04 1.2604e-01 6.6665e-04 1.1656e-01 6.2465e-04
6.6134e-02 1.3594e-01 6.8593e-04 1.3723e-01 6.7819e-04 1.4449e-01 6.4967e-04 1.4135e-01 6.6865e-04 1.3377e-01 6.3809e-04
6.7387e-02 1.5128e-01 7.3566e-04 1.4618e-01 7.1104e-04 1.5230e-01 6.7745e-04 1.5458e-01 7.2880e-04 1.4278e-01 6.6605e-04
6.8640e-02 1.4584e-01 6.4855e-04 1.4582e-01 6.3310e-04 1.5818e-01 6.1221e-04 1.5329e-01 6.4732e-04 1.4784e-01 6.0436e-04
6.9892e-02 1.3600e-01 7.2155e-04 1.4149e-01 7.1739e-04 1.5083e-01 6.9200e-04 1.4131e-01 6.9890e-04 1.3665e-01 6.7092e-04
7.1145e-02 1.3503e-01 6.5635e-04 1.3753e-01 6.4731e-04 1.4750e-01 6.2083e-04 1.4616e-01 6.7732e-04 1.3762e-01 6.1376e-04
7.2398e-02 1.2369e-01 6.2681e-04 1.2552e-01 6.1716e-04 1.3617e-01 5.9638e-04 1.3388e-01 6.2213e-04 1.2419e-01 5.8376e-04
7.3651e-02 1.1363e-01 6.3274e-04 1.1402e-01 6.2009e-04 1.2484e-01 6.0191e-04 1.1979e-01 6.2284e-04 1.1479e-01 5.8690e-04
7.4903e-02 1.0038e-01 5.7648e-04 1.0406e-01 5.7240e-04 1.0902e-01 5.5392e-04 1.0712e-01 5.8307e-04 1.0184e-01 5.4676e-04
7.6156e-02 9.1320e-02 5.6968e-04 9.2104e-02 5.5865e-04 9.3685e-02 5.3341e-04 9.0383e-02 5.5152e-04 8.9341e-02 5.2930e-04
7.7409e-02 7.4893e-02 5.3584e-04 7.7605e-02 5.3290e-04 8.0559e-02 5.1458e-04 7.7737e-02 5.3748e-04 7.6703e-02 5.0710e-04
7.8661e-02 6.3938e-02 5.1649e-04 6.4055e-02 5.0842e-04 6.7621e-02 4.9560e-04 6.6827e-02 5.2014e-04 6.7078e-02 4.9289e-04
7.9914e-02 5.0320e-02 4.8824e-04 4.8167e-02 4.7381e-04 5.5080e-02 4.6994e-04 5.1961e-02 4.7555e-04 5.1713e-02 4.6251e-04
8.1167e-02 4.2504e-02 4.7026e-04 4.2440e-02 4.6197e-04 4.6755e-02 4.5682e-04 4.6994e-02 4.7801e-04 4.2910e-02 4.5111e-04
8.2419e-02 4.2076e-02 4.5996e-04 3.9914e-02 4.4632e-04 3.9938e-02 4.3569e-04 4.3666e-02 4.5341e-04 3.9190e-02 4.3225e-04
8.3672e-02 3.3111e-02 4.2306e-04 3.0981e-02 4.1138e-04 3.3851e-02 4.1166e-04 3.2909e-02 4.1975e-04 3.1602e-02 4.0378e-04
8.4925e-02 2.7518e-02 4.3653e-04 2.4475e-02 4.2368e-04 2.5495e-02 4.1892e-04 2.7178e-02 4.3922e-04 2.4568e-02 4.1636e-04
8.6177e-02 2.4334e-02 4.0347e-04 2.4963e-02 4.0378e-04 2.3965e-02 3.9444e-04 2.6724e-02 4.0167e-04 2.2990e-02 3.8820e-04
8.7430e-02 1.9659e-02 3.8813e-04 1.9022e-02 3.8168e-04 2.1468e-02 3.8197e-04 2.0763e-02 3.8787e-04 1.9373e-02 3.7559e-04
8.8683e-02 1.7638e-02 3.9466e-04 1.7704e-02 3.8955e-04 2.0651e-02 3.9462e-04 1.9503e-02 4.0152e-04 1.8741e-02 3.8925e-04
8.9935e-02 1.6075e-02 3.8434e-04 1.3943e-02 3.7696e-04 1.2234e-02 3.7123e-04 1.6498e-02 3.8187e-04 1.3861e-02 3.7103e-04
9.1188e-02 1.2863e-02 3.7750e-04 1.0182e-02 3.6879e-04 1.2125e-02 3.7533e-04 1.2883e-02 3.8174e-04 1.0841e-02 3.6606e-04
9.2441e-02 9.0726e-03 3.9801e-04 7.9573e-03 3.9124e-04 9.6943e-03 3.9325e-04 9.5945e-03 3.9644e-04 9.2023e-03 3.9009e-04
9.3694e-02 9.0912e-03 3.6271e-04 7.3450e-03 3.5708e-04 8.6344e-03 3.6042e-04 1.0356e-02 3.6904e-04 9.2013e-03 3.5783e-04
9.4946e-02 8.2269e-03 3.7322e-04 7.2297e-03 3.6903e-04 8.6520e-03 3.7211e-04 1.0034e-02 3.7425e-04 7.9723e-03 3.6427e-04
9.6199e-02 1.1006e-02 3.6745e-04 9.9458e-03 3.6261e-04 9.7968e-03 3.6265e-04 1.2339e-02 3.7886e-04 1.0686e-02 3.6153e-04
9.7452e-02 1.2008e-02 3.7088e-04 9.5946e-03 3.6070e-04 1.0903e-02 3.6457e-04 9.4039e-03 3.6067e-04 1.0198e-02 3.5785e-04
