Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
3.5000e-03 4.9530e-01 9.2312e-03 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 7.9290e-02 3.5021e-03 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 1.8514e-02 1.3832e-03 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 6.7564e-03 7.7461e-04 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 3.8643e-03 5.3076e-04 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 3.0569e-04 1.4564e-04 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 3.3750e-03 4.5618e-04 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 1.2475e-03 2.8182e-04 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 3.5040e-03 4.7215e-04 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 1.7567e-03 2.9148e-04 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 3.7138e-04 1.4384e-04 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 8.0439e-07 6.5858e-06 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 2.3710e-04 1.2711e-04 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.4010e-03 2.9153e-04 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 4.1518e-04 1.6633e-04 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 7.5679e-04 2.5591e-04 1.0816e-03 2.2936e-02 1.0000e+00
2.3543e-02 1.2193e-04 9.2479e-05 1.0538e-03 2.4189e-02 1.0000e+00
2.4796e-02 9.7459e-04 2.5242e-04 1.0252e-03 2.5446e-02 1.0000e+00
2.6048e-02 9.2118e-04 2.8099e-04 1.0788e-03 2.6667e-02 1.0000e+00
2.7301e-02 6.5688e-05 5.9077e-05 1.2275e-03 2.7912e-02 1.0000e+00
2.8554e-02 2.8911e-04 1.5758e-04 1.3374e-03 2.9142e-02 1.0000e+00
2.9806e-02 5.9385e-10 2.2894e-07 1.4575e-03 3.0430e-02 1.0000e+00
3.1059e-02 2.8428e-04 1.5331e-04 1.4573e-03 3.1684e-02 1.0000e+00
3.2312e-02 1.5404e-05 3.1795e-05 1.5272e-03 3.2935e-02 1.0000e+00
3.3565e-02 8.5001e-04 2.7705e-04 1.5371e-03 3.4188e-02 1.0000e+00
3.4817e-02 2.2313e-04 1.2046e-04 1.5851e-03 3.5428e-02 1.0000e+00
3.6070e-02 8.6078e-07 7.8118e-06 1.6051e-03 3.6679e-02 1.0000e+00
3.7323e-02 3.2988e-04 2.1326e-04 1.9127e-03 3.7893e-02 1.0000e+00
3.8575e-02 3.9063e-05 8.1694e-05 2.3093e-03 3.9207e-02 1.0000e+00
3.9828e-02 1.3060e-05 2.0027e-05 2.6237e-03 4.0410e-02 1.0000e+00
4.1081e-02 8.7469e-05 4.4327e-05 3.0615e-03 4.1704e-02 1.0000e+00
4.2333e-02 4.6371e-05 4.7084e-05 3.6858e-03 4.2984e-02 1.0000e+00
4.3586e-02 2.3866e-05 2.2636e-05 4.2071e-03 4.4112e-02 1.0000e+00
4.4839e-02 7.5545e-05 3.7581e-05 4.6284e-03 4.5510e-02 1.0000e+00
4.6091e-02 3.8676e-05 3.4398e-05 5.3431e-03 4.6674e-02 1.0000e+00
4.7344e-02 4.1607e-05 2.9089e-05 4.5370e-03 4.7894e-02 1.0000e+00
4.8597e-02 4.5069e-04 9.4036e-05 4.6468e-03 4.9286e-02 1.0000e+00
4.9849e-02 1.2417e-06 5.8730e-06 4.8592e-03 5.0443e-02 1.0000e+00
5.1102e-02 9.5580e-05 3.6327e-05 4.5383e-03 5.1748e-02 1.0000e+00
5.2355e-02 7.2414e-05 3.2548e-05 4.8281e-03 5.2963e-02 1.0000e+00
5.3608e-02 2.8195e-06 7.5960e-06 4.4619e-03 5.4166e-02 1.0000e+00
5.4860e-02 1.7556e-04 4.5510e-05 4.5663e-03 5.5473e-02 1.0000e+00
5.6113e-02 1.9341e-05 1.6642e-05 4.4135e-03 5.6743e-02 1.0000e+00
5.7366e-02 1.1595e-04 3.4735e-05 4.4385e-03 5.8016e-02 1.0000e+00
5.8618e-02 6.5725e-05 2.5165e-05 4.4390e-03 5.9274e-02 1.0000e+00
5.9871e-02 1.1485e-04 3.8864e-05 4.4894e-03 6.0524e-02 1.0000e+00
6.1124e-02 3.2034e-05 1.6006e-05 4.3914e-03 6.1686e-02 1.0000e+00
6.2376e-02 5.8902e-04 6.2396e-05 4.2338e-03 6.2984e-02 1.0000e+00
6.3629e-02 1.5864e-04 3.9345e-05 4.4656e-03 6.4229e-02 1.0000e+00
6.4882e-02 2.1903e-04 3.7525e-05 4.0925e-03 6.5444e-02 1.0000e+00
6.6134e-02 4.4972e-04 5.3052e-05 4.0930e-03 6.6842e-02 1.0000e+00
6.7387e-02 3.0502e-04 5.2085e-05 4.5183e-03 6.8012e-02 1.0000e+00
6.8640e-02 2.8921e-04 3.8401e-05 3.9305e-03 6.9257e-02 1.0000e+00
6.9892e-02 9.0561e-05 2.5225e-05 4.3025e-03 7.0586e-02 1.0000e+00
7.1145e-02 1.2684e-04 3.2219e-05 4.1744e-03 7.1689e-02 1.0000e+00
7.2398e-02 6.4514e-05 1.9599e-05 3.9150e-03 7.3028e-02 1.0000e+00
7.3651e-02 3.4682e-05 1.5367e-05 4.1756e-03 7.4287e-02 1.0000e+00
7.4903e-02 1.3584e-04 3.2699e-05 3.9159e-03 7.5517e-02 1.0000e+00
7.6156e-02 8.4000e-05 2.3191e-05 4.0039e-03 7.6838e-02 1.0000e+00
7.7409e-02 3.8497e-05 1.8699e-05 4.0975e-03 7.8019e-02 1.0000e+00
