Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
3.5000e-03 4.9122e-02 3.3246e-03 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.2045e-02 1.3346e-03 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 7.1985e-03 8.6160e-04 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 1.5604e-03 3.7031e-04 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 4.6275e-04 1.8551e-04 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 1.6057e-03 3.3164e-04 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 1.0348e-03 2.5163e-04 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 1.0986e-03 2.5885e-04 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 1.5163e-03 3.0289e-04 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 5.9752e-04 1.7827e-04 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 1.3923e-03 2.9252e-04 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 1.9097e-04 1.0370e-04 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 8.9951e-05 7.2117e-05 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.8510e-03 3.3890e-04 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 3.8894e-04 1.4684e-04 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 5.5939e-04 2.2814e-04 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 1.0947e-05 2.6486e-05 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 6.4080e-06 2.1667e-05 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 3.1714e-04 1.5641e-04 1.0754e-03 2.6675e-02 1.0000e+00
2.7301e-02 2.9113e-06 1.4569e-05 1.2314e-03 2.7918e-02 1.0000e+00
2.8554e-02 9.9135e-05 9.3153e-05 1.3333e-03 2.9147e-02 1.0000e+00
2.9806e-02 3.3981e-03 5.3769e-04 1.4694e-03 3.0438e-02 1.0000e+00
3.1059e-02 8.3362e-04 2.8890e-04 1.4614e-03 3.1680e-02 1.0000e+00
3.2312e-02 1.1156e-04 7.6657e-05 1.5279e-03 3.2935e-02 1.0000e+00
3.3565e-02 1.0229e-04 8.9199e-05 1.5410e-03 3.4186e-02 1.0000e+00
3.4817e-02 5.1759e-04 1.8120e-04 1.5755e-03 3.5423e-02 1.0000e+00
3.6070e-02 2.3933e-04 1.3245e-04 1.5904e-03 3.6683e-02 1.0000e+00
3.7323e-02 1.5248e-03 4.5786e-04 1.9506e-03 3.7900e-02 1.0000e+00
3.8575e-02 1.0350e-03 7.2525e-04 2.2738e-03 3.9186e-02 1.0000e+00
3.9828e-02 1.5297e-05 1.9724e-05 2.6458e-03 4.0408e-02 1.0000e+00
4.1081e-02 3.1571e-06 8.9755e-06 3.1056e-03 4.1723e-02 1.0000e+00
4.2333e-02 5.0536e-05 4.7726e-05 3.6859e-03 4.2967e-02 1.0000e+00
4.3586e-02 1.0187e-04 4.3817e-05 4.2071e-03 4.4124e-02 1.0000e+00
4.4839e-02 3.5455e-06 8.7642e-06 4.6567e-03 4.5528e-02 1.0000e+00
4.6091e-02 2.9780e-04 1.0681e-04 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 1.5836e-05 1.7863e-05 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 5.2024e-06 1.0369e-05 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 5.8068e-04 1.2771e-04 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 4.2330e-04 8.0516e-05 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 9.0759e-05 3.8015e-05 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 2.0794e-04 6.3585e-05 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 2.1609e-04 5.2494e-05 4.5663e-03 5.5504e-02 1.0000e+00
5.6113e-02 1.6903e-04 5.5117e-05 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 2.6470e-04 5.2234e-05 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 2.5545e-05 1.5704e-05 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 1.2734e-06 3.5484e-06 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 6.0256e-05 2.3365e-05 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 9.6232e-06 8.2219e-06 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 1.0447e-03 1.0088e-04 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 3.3294e-05 1.6327e-05 4.1517e-03 6.5470e-02 1.0000e+00
