Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
3.5000e-03 4.7191e+01 6.9723e-02 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.1598e+01 3.2750e-02 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.4949e+00 1.8149e-02 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.1304e+00 1.2431e-02 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.1808e+00 8.3795e-03 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 7.0146e-01 6.7377e-03 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 4.8562e-01 5.2176e-03 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 3.3593e-01 4.4450e-03 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 2.5352e-01 3.8464e-03 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.3407e-01 3.5062e-03 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 1.6178e-01 3.0648e-03 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 1.3480e-01 2.7962e-03 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 9.5759e-02 2.6839e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 9.3036e-02 2.5164e-03 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 7.6039e-02 2.3111e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 4.9854e-02 2.3061e-03 1.0816e-03 2.2936e-02 1.0000e+00
2.3543e-02 5.1742e-02 2.1235e-03 1.0538e-03 2.4189e-02 1.0000e+00
2.4796e-02 5.2439e-02 2.2036e-03 1.0252e-03 2.5446e-02 1.0000e+00
2.6048e-02 3.8589e-02 2.5045e-03 1.0788e-03 2.6667e-02 1.0000e+00
2.7301e-02 5.8582e-02 4.4902e-03 1.2275e-03 2.7912e-02 1.0000e+00
2.8554e-02 3.1705e-02 3.8072e-03 1.3374e-03 2.9142e-02 1.0000e+00
2.9806e-02 3.1069e-02 1.2715e-03 1.4575e-03 3.0430e-02 1.0000e+00
3.1059e-02 2.9669e-02 1.3306e-03 1.4573e-03 3.1684e-02 1.0000e+00
3.2312e-02 3.7694e-02 1.1271e-03 1.5272e-03 3.2935e-02 1.0000e+00
3.3565e-02 2.3402e-02 1.2433e-03 1.5371e-03 3.4188e-02 1.0000e+00
3.4817e-02 3.2394e-02 1.0983e-03 1.5851e-03 3.5428e-02 1.0000e+00
3.6070e-02 3.2614e-02 1.0465e-03 1.6051e-03 3.6679e-02 1.0000e+00
3.7323e-02 3.5955e-02 1.1470e-03 1.9127e-03 3.7893e-02 1.0000e+00
3.8575e-02 2.7164e-02 9.8776e-04 2.3093e-03 3.9207e-02 1.0000e+00
3.9828e-02 3.3695e-02 1.0965e-03 2.6237e-03 4.0410e-02 1.0000e+00
4.1081e-02 2.9705e-02 1.0075e-03 3.0615e-03 4.1704e-02 1.0000e+00
