Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
3.5000e-03 4.7303e+01 6.2287e-02 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 1.1773e+01 2.9457e-02 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 4.6533e+00 1.6355e-02 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 2.1527e+00 1.1307e-02 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 1.2718e+00 7.7507e-03 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 7.2489e-01 6.1210e-03 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.9499e-01 4.7605e-03 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 3.3651e-01 4.0626e-03 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 2.4942e-01 3.4979e-03 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.9506e-01 3.1166e-03 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.5804e-01 2.7666e-03 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.2776e-01 2.5583e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 8.6635e-02 2.4448e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 8.7717e-02 2.3262e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 8.2354e-02 2.1452e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 5.4825e-02 2.1614e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 5.5891e-02 1.9851e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 5.9057e-02 2.0904e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 5.2766e-02 2.3697e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 4.9489e-02 4.0274e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 3.4842e-02 3.7713e-03 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 3.1244e-02 1.1841e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 3.0870e-02 1.2309e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 4.1386e-02 1.0365e-03 1.5323e-03 3.2926e-02 1.0000e+00
3.3565e-02 2.8682e-02 1.1325e-03 1.5319e-03 3.4180e-02 1.0000e+00
3.4817e-02 3.5280e-02 1.0437e-03 1.5661e-03 3.5429e-02 1.0000e+00
3.6070e-02 3.1935e-02 9.5888e-04 1.6153e-03 3.6687e-02 1.0000e+00
3.7323e-02 2.9123e-02 1.0391e-03 1.9371e-03 3.7903e-02 1.0000e+00
3.8575e-02 3.0526e-02 9.4734e-04 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 3.0146e-02 9.7711e-04 2.6795e-03 4.0407e-02 1.0000e+00
4.1081e-02 2.7278e-02 9.3513e-04 3.0835e-03 4.1723e-02 1.0000e+00
4.2333e-02 3.0257e-02 9.7668e-04 3.7482e-03 4.2974e-02 1.0000e+00
4.3586e-02 4.0905e-02 9.2655e-04 4.1835e-03 4.4131e-02 1.0000e+00
4.4839e-02 3.2136e-02 8.5442e-04 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 3.1032e-02 9.4643e-04 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 3.2922e-02 8.3499e-04 4.4852e-03 4.7930e-02 1.0000e+00
4.8597e-02 3.5895e-02 8.8216e-04 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 3.2141e-02 8.4603e-04 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 3.4707e-02 8.0765e-04 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 3.8840e-02 8.5529e-04 4.8602e-03 5.2984e-02 1.0000e+00
5.3608e-02 3.3122e-02 8.3937e-04 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 4.2249e-02 8.2759e-04 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 4.2808e-02 8.1470e-04 4.5399e-03 5.6716e-02 1.0000e+00
5.7366e-02 5.9676e-02 8.3596e-04 4.3663e-03 5.7991e-02 1.0000e+00
5.8618e-02 6.0137e-02 8.2493e-04 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 8.2932e-02 7.7155e-04 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 8.4796e-02 1.0217e-03 4.4155e-03 6.1710e-02 1.0000e+00
6.2376e-02 1.1034e-01 8.4670e-04 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 1.1492e-01 9.2832e-04 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 1.2869e-01 9.6908e-04 4.1517e-03 6.5468e-02 1.0000e+00
6.6134e-02 1.4634e-01 9.4956e-04 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 1.5460e-01 1.0411e-03 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 1.5760e-01 8.7646e-04 3.8968e-03 6.9276e-02 1.0000e+00
6.9892e-02 1.4369e-01 1.0073e-03 4.4685e-03 7.0570e-02 1.0000e+00
7.1145e-02 1.4029e-01 9.4286e-04 4.0197e-03 7.1680e-02 1.0000e+00
7.2398e-02 1.3006e-01 8.9421e-04 3.9493e-03 7.3065e-02 1.0000e+00
7.3651e-02 1.1477e-01 8.9432e-04 4.3727e-03 7.4234e-02 1.0000e+00
7.4903e-02 1.0152e-01 7.7828e-04 3.7725e-03 7.5480e-02 1.0000e+00
7.6156e-02 8.4590e-02 8.3158e-04 4.0405e-03 7.6841e-02 1.0000e+00
7.7409e-02 7.3160e-02 7.3405e-04 4.0974e-03 7.7988e-02 1.0000e+00
7.8661e-02 5.9536e-02 7.0128e-04 3.8681e-03 7.9256e-02 1.0000e+00
7.9914e-02 4.4739e-02 7.3110e-04 3.8524e-03 8.0554e-02 1.0000e+00
8.1167e-02 3.8916e-02 6.8286e-04 3.9528e-03 8.1801e-02 1.0000e+00
8.2419e-02 3.6262e-02 6.5282e-04 3.9195e-03 8.3032e-02 1.0000e+00
8.3672e-02 2.8201e-02 6.2072e-04 3.7028e-03 8.4312e-02 1.0000e+00
8.4925e-02 2.6682e-02 5.8264e-04 3.9721e-03 8.5562e-02 1.0000e+00
8.6177e-02 2.4351e-02 5.8255e-04 3.8080e-03 8.6743e-02 1.0000e+00
8.7430e-02 2.3801e-02 5.4087e-04 3.6218e-03 8.8088e-02 1.0000e+00
8.8683e-02 1.7937e-02 5.7532e-04 3.8889e-03 8.9304e-02 1.0000e+00
8.9935e-02 1.1038e-02 5.4905e-04 3.6636e-03 9.0563e-02 1.0000e+00
9.1188e-02 5.1026e-03 5.6353e-04 3.7205e-03 9.1860e-02 1.0000e+00
9.2441e-02 1.1200e-02 5.6881e-04 3.8266e-03 9.2991e-02 1.0000e+00
9.3694e-02 1.0727e-02 5.3889e-04 3.5726e-03 9.4306e-02 1.0000e+00
9.4946e-02 3.3009e-03 5.5367e-04 3.8275e-03 9.5497e-02 1.0000e+00
9.6199e-02 9.7226e-03 5.3420e-04 3.4299e-03 9.6762e-02 1.0000e+00
9.7452e-02 1.1206e-02 5.2945e-04 3.6537e-03 9.8120e-02 1.0000e+00
9.8704e-02 7.2134e-03 5.2958e-04 3.5620e-03 9.9305e-02 1.0000e+00
9.9957e-02 5.7840e-03 5.1515e-04 3.4661e-03 1.0064e-01 1.0000e+00
1.0121e-01 9.1555e-03 5.4535e-04 3.8156e-03 1.0185e-01 1.0000e+00
1.0246e-01 9.3479e-03 5.1540e-04 3.3882e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.3598e-02 5.1984e-04 3.5907e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.1228e-02 5.2227e-04 3.4454e-03 1.0558e-01 1.0000e+00
1.0622e-01 1.5974e-02 4.9327e-04 3.4345e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.0859e-02 5.1665e-04 3.5054e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.6022e-02 4.9524e-04 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.3444e-02 5.2181e-04 3.4828e-03 1.1058e-01 1.0000e+00
