Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.5000e-03 4.7191e+01 6.9723e-02 8.7183e-03 1.5414e-02 4.9530e-01 9.2312e-03 3.2782e-01 6.1102e-03 -1.4032e-01 1.7510e-02 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.1598e+01 3.2750e-02 1.9894e-01 9.2626e-03 7.9290e-02 3.5021e-03 6.0682e-02 2.6806e-03 1.6551e-01 1.0197e-02 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.4949e+00 1.8149e-02 2.9069e-01 6.4157e-03 1.8514e-02 1.3832e-03 1.4295e-02 1.0680e-03 1.9927e-01 7.2897e-03 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.1304e+00 1.2431e-02 2.4605e-01 5.5176e-03 6.7564e-03 7.7461e-04 5.4578e-03 6.2576e-04 2.2601e-01 6.2505e-03 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.1808e+00 8.3795e-03 2.5090e-01 5.1560e-03 3.8643e-03 5.3076e-04 3.3383e-03 4.5856e-04 1.9183e-01 5.7603e-03 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 7.0146e-01 6.7377e-03 2.5406e-01 4.4881e-03 3.0569e-04 1.4564e-04 2.3491e-04 1.1192e-04 2.2075e-01 5.0414e-03 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 4.8562e-01 5.2176e-03 2.4398e-01 4.1880e-03 3.3750e-03 4.5618e-04 2.7615e-03 3.7329e-04 1.8906e-01 4.6719e-03 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 3.3593e-01 4.4450e-03 2.1746e-01 3.8890e-03 1.2475e-03 2.8182e-04 8.8628e-04 2.0022e-04 1.8599e-01 4.3792e-03 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 2.5352e-01 3.8464e-03 2.3472e-01 3.7606e-03 3.5040e-03 4.7215e-04 2.7135e-03 3.6568e-04 1.5036e-01 4.2529e-03 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.3407e-01 3.5062e-03 2.1697e-01 3.4530e-03 1.7567e-03 2.9148e-04 1.6168e-03 2.6831e-04 1.8573e-01 3.8815e-03 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 1.6178e-01 3.0648e-03 1.7670e-01 3.4687e-03 3.7138e-04 1.4384e-04 3.4677e-04 1.3431e-04 1.6287e-01 3.8560e-03 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 1.3480e-01 2.7962e-03 1.8130e-01 3.1531e-03 8.0439e-07 6.5858e-06 5.3993e-07 4.4206e-06 1.3337e-01 3.5745e-03 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 9.5759e-02 2.6839e-03 1.7992e-01 3.1147e-03 2.3710e-04 1.2711e-04 1.5112e-04 8.1010e-05 1.3907e-01 3.5014e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 9.3036e-02 2.5164e-03 1.7885e-01 2.8718e-03 1.4010e-03 2.9153e-04 9.0813e-04 1.8894e-04 1.3221e-01 3.2358e-03 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 7.6039e-02 2.3111e-03 1.5473e-01 2.8700e-03 4.1518e-04 1.6633e-04 3.2715e-04 1.3106e-04 1.2527e-01 3.1898e-03 1.1098e-03 2.1677e-02 1.0000e+00
