Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.5000e-03 4.7166e+01 7.1932e-02 1.1344e-01 1.5406e-02 8.7728e-02 4.4812e-03 5.8298e-02 2.9779e-03 -9.0511e-02 1.7222e-02 2.6878e-03 4.1795e-03 1.0000e+00
4.7527e-03 1.1338e+01 3.3353e-02 2.1160e-01 8.4474e-03 1.4508e-02 1.3369e-03 1.3724e-02 1.2647e-03 2.0550e-01 9.3421e-03 2.2466e-03 5.4397e-03 1.0000e+00
6.0054e-03 4.6100e+00 1.8216e-02 2.6149e-01 6.0258e-03 5.5998e-03 7.3612e-04 5.2832e-03 6.9452e-04 1.8810e-01 6.8951e-03 2.0123e-03 6.6902e-03 1.0000e+00
7.2581e-03 1.9935e+00 1.2264e-02 2.2848e-01 5.2373e-03 6.4230e-03 7.4317e-04 5.3240e-03 6.1604e-04 1.8488e-01 5.8814e-03 1.8473e-03 7.9324e-03 1.0000e+00
8.5108e-03 1.2517e+00 8.6532e-03 2.2183e-01 4.9078e-03 2.7233e-04 1.3443e-04 2.6559e-04 1.3110e-04 1.9397e-01 5.5040e-03 1.7311e-03 9.1688e-03 1.0000e+00
9.7634e-03 6.9537e-01 6.7331e-03 2.1618e-01 4.2818e-03 1.6034e-03 3.2186e-04 1.3775e-03 2.7653e-04 1.6274e-01 4.8001e-03 1.6169e-03 1.0401e-02 1.0000e+00
1.1016e-02 4.9908e-01 5.2820e-03 2.0752e-01 4.0442e-03 3.7519e-04 1.4578e-04 3.4244e-04 1.3305e-04 1.7221e-01 4.5129e-03 1.5133e-03 1.1649e-02 1.0000e+00
1.2269e-02 3.0543e-01 4.3104e-03 1.9922e-01 3.8371e-03 3.7556e-05 5.0728e-05 2.6841e-05 3.6255e-05 1.6942e-01 4.2897e-03 1.4475e-03 1.2903e-02 1.0000e+00
1.3522e-02 2.6790e-01 3.8658e-03 1.8095e-01 3.5383e-03 2.2912e-03 3.6011e-04 2.0946e-03 3.2927e-04 1.2432e-01 4.0164e-03 1.3684e-03 1.4159e-02 1.0000e+00
1.4774e-02 1.9490e-01 3.3786e-03 1.8310e-01 3.2603e-03 8.9928e-04 2.2678e-04 6.8735e-04 1.7334e-04 1.6754e-01 3.6632e-03 1.3100e-03 1.5429e-02 1.0000e+00
