Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 4.1802e+01 1.6566e-01 1.9272e-03 7.9538e-04 1.9745e+01 3.4313e-01 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.0360e+01 7.8183e-02 8.9356e-05 1.6236e-04 3.1181e+00 1.6217e-01 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.0990e+00 4.3640e-02 5.1625e-04 3.4631e-04 1.2002e+00 8.4883e-02 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.0343e+00 2.8814e-02 1.9361e-07 6.2856e-06 2.9764e-01 5.3474e-02 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.1922e+00 2.0466e-02 3.6056e-06 2.5167e-05 1.2072e-01 3.7381e-02 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 8.0344e-01 1.5316e-02 3.7045e-05 7.3540e-05 5.9217e-02 2.7819e-02 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 5.6361e-01 1.2569e-02 2.1353e-04 1.7299e-04 3.8038e-02 2.2034e-02 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 3.8952e-01 1.0262e-02 5.3711e-05 8.5207e-05 3.7919e-02 1.7970e-02 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 3.2917e-01 9.1587e-03 3.0781e-05 6.2625e-05 1.6230e-02 1.5646e-02 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.6397e-01 7.8728e-03 1.0780e-04 1.1250e-04 5.9519e-03 1.3327e-02 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 2.2582e-01 7.1018e-03 2.4008e-06 1.6374e-05 1.5433e-02 1.2242e-02 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 1.9703e-01 6.3536e-03 1.7256e-05 4.2045e-05 6.9139e-04 1.0686e-02 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 1.7071e-01 5.7238e-03 5.9967e-06 2.3988e-05 9.7048e-04 9.8484e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.6397e-01 5.3975e-03 1.3466e-04 1.0938e-04 -8.0260e-03 8.8831e-03 1.1465e-03 2.0420e-02 1.0000e+00
