Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 4.2065e+01 1.6676e-01 2.4914e-02 2.8698e-03 1.7722e+01 3.4172e-01 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 1.0251e+01 7.8212e-02 1.9606e-03 7.6487e-04 2.6951e+00 1.5806e-01 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 4.0795e+00 4.3745e-02 4.2097e-04 3.1423e-04 8.5183e-01 8.2554e-02 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 1.9550e+00 2.8866e-02 4.2635e-04 3.0143e-04 2.0809e-01 5.2511e-02 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 1.1182e+00 2.0308e-02 2.4513e-04 2.1262e-04 1.3246e-01 3.6818e-02 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 7.2888e-01 1.4734e-02 4.3009e-04 2.5310e-04 5.7589e-02 2.6925e-02 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.4400e-01 1.1732e-02 5.3881e-05 9.1391e-05 3.6695e-02 2.0415e-02 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 3.1251e-01 9.7227e-03 2.5102e-06 1.9485e-05 1.5490e-02 1.6797e-02 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 2.2216e-01 8.2583e-03 4.8518e-05 8.6298e-05 4.6220e-02 1.4105e-02 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.8146e-01 7.1715e-03 2.3705e-05 5.7960e-05 2.0760e-02 1.2194e-02 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.4314e-01 6.2484e-03 4.4132e-05 7.7581e-05 1.0196e-02 1.0324e-02 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.1958e-01 5.6691e-03 1.0905e-04 1.2106e-04 8.3542e-05 9.2614e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 1.0001e-01 4.9590e-03 2.5748e-05 5.6264e-05 -9.1796e-03 8.2668e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 8.7018e-02 4.6252e-03 1.1340e-04 1.1807e-04 3.7392e-03 7.6914e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 7.0050e-02 4.3646e-03 7.9586e-06 3.2896e-05 7.9713e-03 7.1298e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 6.6953e-02 3.9749e-03 3.9609e-06 2.1618e-05 2.6533e-03 6.6695e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 5.6221e-02 3.8535e-03 5.1176e-05 8.2215e-05 -2.9633e-03 6.2213e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 4.9210e-02 3.9362e-03 6.0833e-06 3.0946e-05 5.8745e-03 6.0756e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 4.3026e-02 4.5799e-03 5.8239e-06 3.7678e-05 6.8308e-03 6.2984e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 5.7088e-02 8.0053e-03 9.9587e-06 7.4765e-05 -1.1081e-02 9.0890e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 5.4604e-02 2.5764e-03 5.1905e-05 5.6173e-05 -1.5296e-02 4.8682e-03 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 3.7720e-02 2.4762e-03 1.2337e-06 1.0014e-05 -1.0200e-03 4.5274e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 4.3811e-02 2.7512e-03 5.0791e-05 6.6243e-05 -9.3776e-03 4.6922e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 3.2657e-02 2.4796e-03 1.4479e-04 1.1678e-04 -5.0627e-04 4.2836e-03 1.5323e-03 3.2926e-02 1.0000e+00
