Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 4.0879e+01 1.9119e-01 2.0006e+01 4.2451e-01 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.0019e+01 9.0522e-02 1.2861e+00 1.7517e-01 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 3.9492e+00 5.1018e-02 5.4249e-01 9.1728e-02 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.0001e+00 3.4848e-02 7.3868e-02 6.0398e-02 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.1813e+00 2.4164e-02 1.6762e-01 4.3438e-02 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 7.5820e-01 1.8580e-02 4.9661e-02 3.1639e-02 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 5.7323e-01 1.3991e-02 -6.5159e-03 2.4809e-02 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 3.9958e-01 1.2481e-02 3.7733e-02 2.1069e-02 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 3.1216e-01 1.0414e-02 3.4096e-02 1.7482e-02 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.6190e-01 9.4912e-03 1.3920e-02 1.5086e-02 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 2.3544e-01 8.0789e-03 -2.5141e-03 1.3450e-02 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 1.9403e-01 7.2935e-03 7.0409e-03 1.2238e-02 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.6925e-01 6.9983e-03 -8.3802e-03 1.1110e-02 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.5377e-01 6.2748e-03 -1.1057e-02 1.0290e-02 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 1.4123e-01 5.7614e-03 7.8097e-03 9.2300e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2057e-01 5.3295e-03 8.6332e-03 8.6323e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 1.1766e-01 4.8976e-03 1.6329e-03 8.2433e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 9.6899e-02 4.9344e-03 1.4457e-02 7.8429e-03 1.0223e-03 2.5446e-02 1.0000e+00
