Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 6.9771e+09 1.2869e+09 -7.0455e+09 1.2869e+09 2.1734e-03 4.1973e-03 1.0000e+00
4.7527e-03 3.1989e+08 2.7690e+08 -3.8663e+08 2.7690e+08 1.8219e-03 5.4271e-03 1.0000e+00
6.0054e-03 -7.1704e+07 3.0782e-02 4.8656e+06 4.5725e-02 1.6400e-03 6.6667e-03 1.0000e+00
7.2581e-03 4.6541e+08 2.6852e+08 -1.7164e+08 3.4009e+08 1.4855e-03 7.9207e-03 1.0000e+00
8.5108e-03 3.3667e+09 6.2777e+08 -3.2161e+09 6.4651e+08 1.4115e-03 9.1631e-03 1.0000e+00
9.7634e-03 4.2359e+09 6.4939e+08 -3.9286e+09 6.7605e+08 1.3094e-03 1.0396e-02 1.0000e+00
1.1016e-02 1.8080e+09 4.0075e+08 -1.6158e+09 4.2815e+08 1.2243e-03 1.1657e-02 1.0000e+00
1.2269e-02 4.6751e+08 2.0382e+08 -3.8010e+08 2.3197e+08 1.1731e-03 1.2921e-02 1.0000e+00
1.3522e-02 4.3433e+08 1.9127e+08 -3.5446e+08 2.1843e+08 1.1259e-03 1.4167e-02 1.0000e+00
1.4774e-02 1.9688e+08 1.3426e+08 -2.0221e+08 1.4890e+08 1.0788e-03 1.5410e-02 1.0000e+00
1.6027e-02 6.0838e+08 2.0507e+08 -4.9739e+08 2.3009e+08 1.0313e-03 1.6660e-02 1.0000e+00
1.7280e-02 3.7584e+08 1.5823e+08 -2.7381e+08 1.8679e+08 9.9887e-04 1.7915e-02 1.0000e+00
1.8532e-02 4.0894e+08 1.6020e+08 -2.1754e+08 2.1216e+08 9.6323e-04 1.9166e-02 1.0000e+00
1.9785e-02 2.7819e+08 1.3226e+08 1.9319e+08 2.2194e+08 9.3338e-04 2.0422e-02 1.0000e+00
2.1038e-02 2.6058e+08 1.2558e+08 -1.9113e+08 1.4922e+08 9.0618e-04 2.1678e-02 1.0000e+00
2.2290e-02 1.6111e+07 6.2109e+07 1.3144e+08 1.1543e+08 8.8497e-04 2.2928e-02 1.0000e+00
2.3543e-02 9.9175e+07 8.5440e+07 -1.2752e+08 9.5186e+07 8.5913e-04 2.4177e-02 1.0000e+00
2.4796e-02 9.6954e+07 9.6895e+07 -4.5846e+07 1.1963e+08 8.6713e-04 2.5417e-02 1.0000e+00
2.6048e-02 1.4848e+07 6.9621e+07 1.7996e+08 1.2207e+08 8.7594e-04 2.6682e-02 1.0000e+00
2.7301e-02 9.6493e+07 1.5664e+08 1.6492e+07 1.7685e+08 9.2589e-04 2.7914e-02 1.0000e+00
2.8554e-02 -2.7325e+07 9.9736e-03 2.9306e+07 5.1517e+07 9.5342e-04 2.9173e-02 1.0000e+00
2.9806e-02 8.9308e+07 5.8675e+07 1.9893e+07 9.9880e+07 1.0046e-03 3.0423e-02 1.0000e+00
3.1059e-02 4.5418e+07 4.1064e+07 1.2322e+08 9.9609e+07 1.0242e-03 3.1683e-02 1.0000e+00
3.2312e-02 8.9073e+07 5.8675e+07 1.0601e+08 1.1103e+08 1.0448e-03 3.2937e-02 1.0000e+00
3.3565e-02 1.9080e+08 7.6824e+07 -1.6708e+08 9.4479e+07 1.0611e-03 3.4181e-02 1.0000e+00
3.4817e-02 1.0339e+08 5.8073e+07 6.1665e+07 1.0664e+08 1.0955e-03 3.5420e-02 1.0000e+00
3.6070e-02 1.9090e+08 7.6824e+07 -1.1401e+08 1.1507e+08 1.2131e-03 3.6659e-02 1.0000e+00
3.7323e-02 2.0253e+08 7.1737e+07 2.7441e+08 2.2447e+08 1.5020e-03 3.7910e-02 1.0000e+00
3.8575e-02 2.1984e+08 8.2128e+07 -3.9893e+07 1.0823e+08 1.7667e-03 3.9204e-02 1.0000e+00
3.9828e-02 1.3725e+08 5.6607e+07 -6.9016e+07 7.9487e+07 2.0915e-03 4.0417e-02 1.0000e+00
4.1081e-02 1.1430e+08 5.6812e+07 5.2574e+07 8.2040e+07 2.4970e-03 4.1671e-02 1.0000e+00
4.2333e-02 9.6084e+07 5.4202e+07 1.0119e+08 8.7972e+07 2.9757e-03 4.2955e-02 1.0000e+00
4.3586e-02 3.2379e+07 3.1939e+07 1.6389e+08 8.4560e+07 3.5542e-03 4.4156e-02 1.0000e+00
4.4839e-02 1.9097e+08 7.1862e+07 -5.0421e+06 9.3145e+07 3.6422e-03 4.5455e-02 1.0000e+00
4.6091e-02 1.2881e+08 4.9991e+07 -3.4271e+07 7.2574e+07 3.7631e-03 4.6786e-02 1.0000e+00
4.7344e-02 1.5471e+08 6.3267e+07 4.9834e+07 9.2924e+07 3.8094e-03 4.7960e-02 1.0000e+00
4.8597e-02 2.3149e+08 7.0410e+07 -6.0063e+07 9.0962e+07 3.6083e-03 4.9264e-02 1.0000e+00
4.9849e-02 1.9047e+08 6.7752e+07 3.5598e+07 1.1224e+08 4.0683e-03 5.0436e-02 1.0000e+00
5.1102e-02 1.8126e+08 6.1215e+07 -1.4480e+07 7.9840e+07 3.4832e-03 5.1599e-02 1.0000e+00
5.2355e-02 8.4924e+07 3.9830e+07 -2.2760e+07 5.3972e+07 3.4368e-03 5.3026e-02 1.0000e+00
5.3608e-02 1.4553e+08 5.9752e+07 6.4028e+06 8.9234e+07 3.8427e-03 5.4244e-02 1.0000e+00
5.4860e-02 1.5008e+08 5.1420e+07 1.0143e+08 8.0403e+07 3.4148e-03 5.5458e-02 1.0000e+00
5.6113e-02 2.7764e+08 7.4972e+07 -7.3974e+07 9.7221e+07 3.5458e-03 5.6802e-02 1.0000e+00
