Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 6.0639e+01 6.5313e-02 -3.7799e-02 7.3807e-03 6.8007e+01 6.7732e-02 -2.3161e-02 7.2846e-03 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.2856e+01 2.7546e-02 1.2430e-01 4.0914e-03 1.4036e+01 2.8221e-02 1.2316e-01 4.0521e-03 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.8031e+00 1.5090e-02 1.3126e-01 3.0697e-03 5.2884e+00 1.5525e-02 1.3558e-01 3.0607e-03 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.2951e+00 9.8874e-03 1.2947e-01 2.6275e-03 2.5666e+00 1.0207e-02 1.3733e-01 2.6307e-03 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.2111e+00 6.7462e-03 1.1244e-01 2.3220e-03 1.3877e+00 6.9997e-03 1.3893e-01 2.3835e-03 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 7.5800e-01 5.2588e-03 1.1986e-01 2.0856e-03 8.3963e-01 5.3868e-03 1.4679e-01 2.1487e-03 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 5.1785e-01 4.0953e-03 1.1940e-01 1.9450e-03 5.7766e-01 4.2140e-03 1.3346e-01 1.9695e-03 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 3.6852e-01 3.4784e-03 1.1272e-01 1.8530e-03 4.0215e-01 3.5444e-03 1.1716e-01 1.8615e-03 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 2.4114e-01 2.9418e-03 1.0794e-01 1.7928e-03 3.0409e-01 3.0987e-03 1.1830e-01 1.8057e-03 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.1567e-01 2.6657e-03 1.0412e-01 1.6115e-03 2.4173e-01 2.7249e-03 1.2919e-01 1.6603e-03 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 1.7571e-01 2.3901e-03 8.7697e-02 1.5783e-03 1.8003e-01 2.3866e-03 1.0451e-01 1.6087e-03 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 1.4596e-01 2.1712e-03 8.5392e-02 1.4995e-03 1.5292e-01 2.1789e-03 9.9449e-02 1.5231e-03 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 1.0428e-01 2.0130e-03 8.2347e-02 1.4544e-03 1.2532e-01 2.0665e-03 1.0289e-01 1.4926e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.1125e-01 1.9222e-03 8.3901e-02 1.3716e-03 1.1144e-01 1.9065e-03 9.5895e-02 1.3930e-03 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 8.8474e-02 1.7805e-03 7.2830e-02 1.3070e-03 8.8115e-02 1.7741e-03 9.0733e-02 1.3373e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 7.1737e-02 1.6814e-03 6.5222e-02 1.2963e-03 7.8440e-02 1.6931e-03 7.6556e-02 1.3158e-03 1.0816e-03 2.2936e-02 1.0000e+00
2.3543e-02 7.0040e-02 1.6294e-03 6.9932e-02 1.2141e-03 6.2394e-02 1.5986e-03 7.9279e-02 1.2276e-03 1.0538e-03 2.4189e-02 1.0000e+00
2.4796e-02 6.5188e-02 1.5368e-03 5.7110e-02 1.2315e-03 6.6477e-02 1.5415e-03 7.3556e-02 1.2573e-03 1.0252e-03 2.5446e-02 1.0000e+00
2.6048e-02 4.6886e-02 1.5762e-03 5.1732e-02 1.2103e-03 5.2287e-02 1.5951e-03 7.1015e-02 1.2496e-03 1.0788e-03 2.6667e-02 1.0000e+00
2.7301e-02 5.2793e-02 1.6818e-03 4.3078e-02 1.2835e-03 6.1450e-02 1.7139e-03 5.5972e-02 1.3100e-03 1.2275e-03 2.7912e-02 1.0000e+00
2.8554e-02 4.9495e-02 1.6710e-03 3.9039e-02 1.2681e-03 4.3444e-02 1.6423e-03 5.8242e-02 1.3151e-03 1.3374e-03 2.9142e-02 1.0000e+00
2.9806e-02 5.0393e-02 1.7193e-03 3.8352e-02 1.3047e-03 5.1817e-02 1.7197e-03 4.7877e-02 1.3283e-03 1.4575e-03 3.0430e-02 1.0000e+00
3.1059e-02 4.4706e-02 1.6999e-03 4.1431e-02 1.2961e-03 5.3378e-02 1.7303e-03 5.1017e-02 1.3200e-03 1.4573e-03 3.1684e-02 1.0000e+00
3.2312e-02 5.1994e-02 1.6926e-03 3.4922e-02 1.2821e-03 5.0322e-02 1.6776e-03 4.3469e-02 1.3042e-03 1.5272e-03 3.2935e-02 1.0000e+00
3.3565e-02 3.4260e-02 1.6385e-03 2.6070e-02 1.2794e-03 3.3393e-02 1.6312e-03 3.3357e-02 1.2991e-03 1.5371e-03 3.4188e-02 1.0000e+00
3.4817e-02 4.4810e-02 1.6585e-03 2.7397e-02 1.2983e-03 4.4320e-02 1.6497e-03 3.6886e-02 1.3249e-03 1.5851e-03 3.5428e-02 1.0000e+00
3.6070e-02 4.5899e-02 1.6282e-03 1.8284e-02 1.3142e-03 5.0224e-02 1.6421e-03 3.3780e-02 1.3556e-03 1.6051e-03 3.6679e-02 1.0000e+00
3.7323e-02 3.9168e-02 1.7504e-03 2.1360e-02 1.3880e-03 4.3968e-02 1.7747e-03 2.6959e-02 1.4059e-03 1.9127e-03 3.7893e-02 1.0000e+00
3.8575e-02 3.7419e-02 1.8176e-03 3.8721e-02 1.3649e-03 4.2007e-02 1.8309e-03 3.9139e-02 1.3643e-03 2.3093e-03 3.9207e-02 1.0000e+00
3.9828e-02 3.1080e-02 1.8981e-03 2.2975e-02 1.4964e-03 4.2302e-02 1.9667e-03 2.6733e-02 1.5105e-03 2.6237e-03 4.0410e-02 1.0000e+00
4.1081e-02 4.7369e-02 1.5724e-03 2.4254e-02 1.2444e-03 5.4027e-02 1.5930e-03 2.7462e-02 1.2597e-03 3.0615e-03 4.1704e-02 1.0000e+00
4.2333e-02 2.8295e-02 1.7518e-03 1.1793e-02 1.2869e-03 3.0481e-02 1.7562e-03 1.7847e-02 1.3189e-03 3.6858e-03 4.2984e-02 1.0000e+00
4.3586e-02 4.3820e-02 1.3810e-03 1.8895e-02 9.7757e-04 4.1002e-02 1.3107e-03 2.1951e-02 9.9495e-04 4.2071e-03 4.4112e-02 1.0000e+00
4.4839e-02 3.6389e-02 9.1314e-04 1.6069e-02 4.6686e-04 3.5708e-02 8.4874e-04 2.0320e-02 4.9148e-04 4.6284e-03 4.5510e-02 1.0000e+00
4.6091e-02 3.5842e-02 8.1938e-04 1.3187e-02 4.6786e-04 3.4914e-02 8.1398e-04 1.4795e-02 4.7426e-04 5.3431e-03 4.6674e-02 1.0000e+00
4.7344e-02 3.3938e-02 7.6530e-04 1.2673e-02 4.3886e-04 3.1480e-02 7.5896e-04 1.3039e-02 4.3731e-04 4.5370e-03 4.7894e-02 1.0000e+00
4.8597e-02 2.9064e-02 7.1553e-04 1.2025e-02 4.1696e-04 3.8530e-02 7.5012e-04 1.4787e-02 4.2325e-04 4.6468e-03 4.9286e-02 1.0000e+00
4.9849e-02 3.1864e-02 7.8585e-04 1.0672e-02 4.4296e-04 3.6954e-02 8.0379e-04 1.2024e-02 4.4483e-04 4.8592e-03 5.0443e-02 1.0000e+00
5.1102e-02 3.5006e-02 7.1129e-04 9.8788e-03 4.0007e-04 3.9744e-02 7.2553e-04 1.0465e-02 4.0073e-04 4.5383e-03 5.1748e-02 1.0000e+00
5.2355e-02 4.1423e-02 7.4369e-04 6.7074e-03 4.0300e-04 4.8437e-02 7.6507e-04 9.2680e-03 4.1094e-04 4.8281e-03 5.2963e-02 1.0000e+00
5.3608e-02 3.7934e-02 7.2696e-04 7.5366e-03 3.9686e-04 3.8754e-02 7.2703e-04 1.0515e-02 4.0340e-04 4.4619e-03 5.4166e-02 1.0000e+00
5.4860e-02 4.3995e-02 7.4481e-04 5.7439e-03 3.8071e-04 4.6008e-02 7.5893e-04 7.6987e-03 3.8691e-04 4.5663e-03 5.5473e-02 1.0000e+00
5.6113e-02 4.2613e-02 7.1230e-04 7.6693e-03 3.6557e-04 4.5163e-02 7.1387e-04 1.0043e-02 3.6999e-04 4.4135e-03 5.6743e-02 1.0000e+00
5.7366e-02 4.8668e-02 7.4289e-04 5.4283e-03 3.8375e-04 5.0919e-02 7.5309e-04 7.0911e-03 3.8800e-04 4.4385e-03 5.8016e-02 1.0000e+00
5.8618e-02 5.7901e-02 7.4024e-04 6.5687e-03 3.4454e-04 6.3924e-02 7.6002e-04 8.1796e-03 3.5049e-04 4.4390e-03 5.9274e-02 1.0000e+00
5.9871e-02 6.8011e-02 7.6711e-04 5.5477e-03 3.5655e-04 7.6671e-02 7.8547e-04 6.6975e-03 3.5617e-04 4.4894e-03 6.0524e-02 1.0000e+00
6.1124e-02 8.5806e-02 8.2001e-04 6.9832e-03 3.3193e-04 8.1493e-02 8.0007e-04 7.5329e-03 3.3557e-04 4.3914e-03 6.1686e-02 1.0000e+00
6.2376e-02 8.9563e-02 7.9895e-04 4.9198e-03 3.5708e-04 1.0519e-01 8.4197e-04 6.0906e-03 3.5769e-04 4.2338e-03 6.2984e-02 1.0000e+00
6.3629e-02 1.0730e-01 8.5948e-04 5.9854e-03 3.4400e-04 1.1420e-01 8.7481e-04 6.3085e-03 3.4403e-04 4.4656e-03 6.4229e-02 1.0000e+00
6.4882e-02 1.1824e-01 8.6325e-04 1.8417e-03 3.5085e-04 1.2857e-01 8.8562e-04 3.4292e-03 3.5363e-04 4.0925e-03 6.5444e-02 1.0000e+00
6.6134e-02 1.2754e-01 8.5621e-04 2.0478e-03 3.4790e-04 1.4771e-01 8.9884e-04 5.4102e-03 3.5540e-04 4.0930e-03 6.6842e-02 1.0000e+00
6.7387e-02 1.4632e-01 9.5669e-04 2.5220e-03 3.5226e-04 1.5691e-01 9.8051e-04 3.4067e-03 3.5199e-04 4.5183e-03 6.8012e-02 1.0000e+00
6.8640e-02 1.4667e-01 8.4609e-04 2.6034e-03 3.2629e-04 1.5434e-01 8.6530e-04 2.9633e-03 3.2404e-04 3.9305e-03 6.9257e-02 1.0000e+00
6.9892e-02 1.3592e-01 9.2270e-04 6.3815e-04 3.3569e-04 1.4257e-01 9.3378e-04 3.4912e-03 3.4330e-04 4.3025e-03 7.0586e-02 1.0000e+00
7.1145e-02 1.3846e-01 8.8873e-04 3.9128e-03 3.3813e-04 1.4732e-01 9.0514e-04 2.6218e-03 3.3405e-04 4.1744e-03 7.1689e-02 1.0000e+00
7.2398e-02 1.2656e-01 8.1189e-04 2.3198e-03 3.2216e-04 1.3655e-01 8.2547e-04 2.3242e-03 3.2223e-04 3.9150e-03 7.3028e-02 1.0000e+00
7.3651e-02 1.1387e-01 8.1156e-04 9.1549e-04 3.2713e-04 1.2290e-01 8.2369e-04 1.9064e-03 3.2804e-04 4.1756e-03 7.4287e-02 1.0000e+00
7.4903e-02 9.9658e-02 7.4296e-04 1.6334e-03 3.3361e-04 1.1065e-01 7.6454e-04 2.2981e-03 3.3482e-04 3.9159e-03 7.5517e-02 1.0000e+00
7.6156e-02 8.4183e-02 7.1319e-04 2.0819e-03 2.9763e-04 9.1016e-02 7.2684e-04 3.4851e-03 3.0195e-04 4.0039e-03 7.6838e-02 1.0000e+00
7.7409e-02 7.6896e-02 7.0078e-04 1.8850e-03 3.1142e-04 7.3082e-02 6.8376e-04 3.6116e-03 3.1613e-04 4.0975e-03 7.8019e-02 1.0000e+00
7.8661e-02 6.2114e-02 6.5973e-04 1.2254e-03 3.1589e-04 6.7563e-02 6.6756e-04 2.7508e-03 3.1859e-04 3.9519e-03 7.9233e-02 1.0000e+00
7.9914e-02 4.6511e-02 5.8700e-04 9.8300e-04 2.9700e-04 5.4547e-02 6.1884e-04 1.8814e-03 2.9806e-04 3.7897e-03 8.0527e-02 1.0000e+00
8.1167e-02 4.3027e-02 5.9620e-04 7.7515e-04 3.0786e-04 4.7329e-02 6.0559e-04 2.8567e-03 3.1145e-04 4.0239e-03 8.1788e-02 1.0000e+00
8.2419e-02 3.9207e-02 5.6033e-04 2.8803e-03 3.0631e-04 4.2953e-02 5.6754e-04 2.2929e-03 3.0405e-04 3.8377e-03 8.3008e-02 1.0000e+00
8.3672e-02 3.2074e-02 5.2232e-04 9.4937e-04 2.8486e-04 3.0965e-02 5.1853e-04 1.8301e-03 2.8624e-04 3.7028e-03 8.4317e-02 1.0000e+00
8.4925e-02 2.6115e-02 5.3536e-04 3.6646e-04 3.1749e-04 2.5872e-02 5.3018e-04 2.0033e-03 3.2117e-04 4.0819e-03 8.5549e-02 1.0000e+00
8.6177e-02 2.4245e-02 4.8255e-04 8.6009e-04 2.9215e-04 2.5790e-02 4.8946e-04 2.5533e-03 2.9592e-04 3.7184e-03 8.6725e-02 1.0000e+00
