Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 6.6308e+01 1.0613e-01 -3.5678e-02 1.1925e-02 7.2325e+01 1.0890e-01 -1.0327e-01 1.1568e-02 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.3020e+01 4.2271e-02 9.5476e-02 6.0415e-03 1.3966e+01 4.3042e-02 1.0134e-01 6.0216e-03 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.6446e+00 2.3403e-02 1.2674e-01 4.9318e-03 5.1855e+00 2.4192e-02 1.1828e-01 4.8573e-03 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.4091e+00 1.6050e-02 1.2572e-01 4.1331e-03 2.6622e+00 1.6531e-02 1.3901e-01 4.1738e-03 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.3208e+00 1.1078e-02 1.2079e-01 3.6646e-03 1.4818e+00 1.1450e-02 1.1053e-01 3.5991e-03 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 7.6666e-01 8.1821e-03 1.1441e-01 3.1873e-03 8.8462e-01 8.4975e-03 1.4633e-01 3.3064e-03 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 5.6509e-01 6.5521e-03 1.0797e-01 2.9098e-03 6.0355e-01 6.6371e-03 1.1949e-01 2.9466e-03 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 3.6712e-01 5.4823e-03 1.0350e-01 2.8243e-03 3.8900e-01 5.5323e-03 1.1671e-01 2.8694e-03 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 2.3382e-01 4.6155e-03 9.2383e-02 2.8092e-03 2.9694e-01 4.8573e-03 9.4916e-02 2.8084e-03 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.1064e-01 4.1387e-03 9.7064e-02 2.4593e-03 2.3373e-01 4.2214e-03 1.2282e-01 2.5543e-03 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 1.7865e-01 3.8137e-03 8.8803e-02 2.3609e-03 1.7204e-01 3.7582e-03 1.0187e-01 2.4029e-03 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 1.3141e-01 3.4774e-03 7.1885e-02 2.3516e-03 1.5157e-01 3.5560e-03 9.0018e-02 2.4107e-03 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 9.0417e-02 3.1249e-03 7.0150e-02 2.2196e-03 1.2384e-01 3.2681e-03 9.7240e-02 2.3040e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.0659e-01 2.9541e-03 8.0085e-02 2.1113e-03 1.3271e-01 3.0652e-03 8.0274e-02 2.1060e-03 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 1.1224e-01 2.8147e-03 6.9517e-02 1.9525e-03 9.5206e-02 2.7176e-03 8.0106e-02 1.9847e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 7.7225e-02 2.6554e-03 5.4212e-02 2.0844e-03 8.3809e-02 2.6763e-03 6.6505e-02 2.1187e-03 1.0816e-03 2.2936e-02 1.0000e+00
2.3543e-02 7.3683e-02 2.5914e-03 5.9000e-02 1.8227e-03 7.3065e-02 2.5768e-03 7.4891e-02 1.8710e-03 1.0538e-03 2.4189e-02 1.0000e+00
2.4796e-02 6.7471e-02 2.4199e-03 5.4468e-02 1.8349e-03 6.1641e-02 2.3811e-03 7.3588e-02 1.8918e-03 1.0252e-03 2.5446e-02 1.0000e+00
2.6048e-02 5.6334e-02 2.3428e-03 4.9546e-02 1.7900e-03 5.4524e-02 2.3249e-03 6.0667e-02 1.8224e-03 1.0788e-03 2.6667e-02 1.0000e+00
2.7301e-02 5.0337e-02 2.2809e-03 4.3855e-02 1.7336e-03 6.5021e-02 2.3430e-03 5.5176e-02 1.7666e-03 1.2275e-03 2.7912e-02 1.0000e+00
