Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 4.5818e+01 9.8013e-02 7.3631e-02 1.1640e-02 4.8563e+01 9.9189e-02 6.3296e-02 1.1526e-02 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.1272e+01 4.6081e-02 1.5715e-01 7.5258e-03 1.1925e+01 4.6550e-02 1.5668e-01 7.4851e-03 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.4129e+00 2.5626e-02 1.6637e-01 5.4863e-03 4.5769e+00 2.5706e-02 1.6850e-01 5.4745e-03 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.0798e+00 1.7530e-02 1.6040e-01 5.2430e-03 2.1810e+00 1.7629e-02 1.4433e-01 5.1587e-03 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.1041e+00 1.1661e-02 1.3818e-01 4.3942e-03 1.2575e+00 1.2037e-02 1.8744e-01 4.5762e-03 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 6.7385e-01 9.4694e-03 1.4596e-01 4.0941e-03 7.2907e-01 9.5875e-03 1.8058e-01 4.2155e-03 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 4.7061e-01 7.3482e-03 1.4781e-01 3.8922e-03 5.0063e-01 7.4092e-03 1.6517e-01 3.9408e-03 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 3.2964e-01 6.2808e-03 1.4427e-01 3.6509e-03 3.4222e-01 6.2916e-03 1.4699e-01 3.6487e-03 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 2.3178e-01 5.3600e-03 1.3101e-01 3.5050e-03 2.7526e-01 5.5180e-03 1.4296e-01 3.5339e-03 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.3016e-01 4.9564e-03 1.3345e-01 2.9883e-03 2.3798e-01 4.9606e-03 1.6323e-01 3.0847e-03 1.3351e-03 1.5422e-02 1.0000e+00
