Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 6.1632e+01 1.7048e-01 -1.6035e-01 1.8396e-02 8.0970e+01 1.8938e-01 4.0854e-02 1.8538e-02 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.3237e+01 8.0667e-02 5.3350e-02 1.0994e-02 1.7073e+01 8.8552e-02 3.0703e-02 1.0472e-02 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 5.2445e+00 4.1636e-02 1.0362e-01 7.1518e-03 6.3984e+00 4.4516e-02 1.4289e-01 7.3094e-03 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.3974e+00 2.6733e-02 9.3647e-02 5.8673e-03 2.8773e+00 2.8261e-02 9.3738e-02 5.7661e-03 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.2318e+00 1.8060e-02 7.1295e-02 5.6187e-03 1.5020e+00 1.9036e-02 1.0488e-01 5.8753e-03 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 8.8356e-01 1.3830e-02 9.4564e-02 4.8113e-03 9.4213e-01 1.4075e-02 8.7007e-02 4.7846e-03 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 5.1255e-01 1.0404e-02 8.3445e-02 4.4386e-03 6.7448e-01 1.1454e-02 9.1542e-02 4.4472e-03 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 4.3191e-01 8.9885e-03 7.1991e-02 4.0862e-03 5.1379e-01 9.5007e-03 7.1665e-02 4.1423e-03 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 2.6777e-01 7.5711e-03 9.0592e-02 3.9795e-03 3.8699e-01 8.4623e-03 1.0488e-01 3.9947e-03 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.1376e-01 6.4428e-03 5.7602e-02 3.7858e-03 2.9487e-01 7.0005e-03 7.9659e-02 3.8620e-03 1.3351e-03 1.5422e-02 1.0000e+00
