Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 6.5304e+01 6.2803e-02 -6.7937e-01 7.4130e-03 8.1291e+01 6.8252e-02 -5.0409e-01 9.7061e-03 2.6120e-03 4.1802e-03 1.0000e+00
4.7527e-03 1.2532e+01 2.4996e-02 -6.5056e-03 3.8212e-03 1.3986e+01 2.5908e-02 1.7861e-02 4.8854e-03 2.2781e-03 5.4482e-03 1.0000e+00
6.0054e-03 4.5526e+00 1.3718e-02 9.6104e-02 2.9355e-03 5.0495e+00 1.4134e-02 7.5263e-02 3.5030e-03 2.0013e-03 6.6940e-03 1.0000e+00
7.2581e-03 2.2313e+00 9.0653e-03 1.0589e-01 2.4881e-03 2.4416e+00 9.3281e-03 1.0512e-01 3.0577e-03 1.8735e-03 7.9266e-03 1.0000e+00
8.5108e-03 1.2320e+00 6.3006e-03 1.2409e-01 2.2812e-03 1.2999e+00 6.3723e-03 1.1008e-01 2.6898e-03 1.7036e-03 9.1686e-03 1.0000e+00
9.7634e-03 7.3412e-01 4.8589e-03 1.2237e-01 2.0142e-03 7.9440e-01 4.9506e-03 1.0795e-01 2.3813e-03 1.6170e-03 1.0420e-02 1.0000e+00
1.1016e-02 5.0289e-01 3.8426e-03 1.1324e-01 1.8697e-03 5.2435e-01 3.8848e-03 1.1136e-01 2.2371e-03 1.5276e-03 1.1657e-02 1.0000e+00
1.2269e-02 3.6348e-01 3.2105e-03 1.1165e-01 1.7750e-03 3.7679e-01 3.2406e-03 1.1389e-01 2.1240e-03 1.4394e-03 1.2905e-02 1.0000e+00
1.3522e-02 2.6673e-01 2.8363e-03 1.1142e-01 1.7341e-03 2.7683e-01 2.8423e-03 9.5915e-02 2.0053e-03 1.3719e-03 1.4166e-02 1.0000e+00
1.4774e-02 2.0445e-01 2.4628e-03 1.1232e-01 1.5538e-03 2.2842e-01 2.5184e-03 1.1070e-01 1.8596e-03 1.3224e-03 1.5421e-02 1.0000e+00
1.6027e-02 1.7752e-01 2.2396e-03 9.6168e-02 1.5327e-03 1.9257e-01 2.2635e-03 9.8255e-02 1.8146e-03 1.2613e-03 1.6680e-02 1.0000e+00
1.7280e-02 1.3837e-01 2.0367e-03 9.3202e-02 1.4641e-03 1.5562e-01 2.0710e-03 8.0426e-02 1.6863e-03 1.2351e-03 1.7927e-02 1.0000e+00
1.8532e-02 1.1227e-01 1.9198e-03 8.7047e-02 1.4126e-03 1.3025e-01 1.9652e-03 7.8594e-02 1.6336e-03 1.1805e-03 1.9173e-02 1.0000e+00
1.9785e-02 1.0837e-01 1.8057e-03 8.8087e-02 1.3294e-03 9.7859e-02 1.7704e-03 7.0528e-02 1.5138e-03 1.1506e-03 2.0424e-02 1.0000e+00
2.1038e-02 8.9326e-02 1.6910e-03 8.4081e-02 1.2789e-03 9.0421e-02 1.6869e-03 7.2383e-02 1.4670e-03 1.1098e-03 2.1676e-02 1.0000e+00
2.2290e-02 7.6103e-02 1.5985e-03 7.2416e-02 1.2626e-03 7.2726e-02 1.5872e-03 6.2368e-02 1.4417e-03 1.0782e-03 2.2938e-02 1.0000e+00
2.3543e-02 7.1020e-02 1.5391e-03 7.1134e-02 1.1717e-03 7.2605e-02 1.5412e-03 6.5604e-02 1.3550e-03 1.0507e-03 2.4199e-02 1.0000e+00
2.4796e-02 7.8275e-02 1.4943e-03 6.0405e-02 1.1989e-03 7.3369e-02 1.4807e-03 5.4197e-02 1.3641e-03 1.0325e-03 2.5449e-02 1.0000e+00
2.6048e-02 4.6544e-02 1.4948e-03 5.9097e-02 1.1835e-03 5.4664e-02 1.5129e-03 5.6170e-02 1.3649e-03 1.0788e-03 2.6665e-02 1.0000e+00
2.7301e-02 5.5661e-02 1.6003e-03 5.3706e-02 1.2584e-03 5.7892e-02 1.5982e-03 4.8729e-02 1.4422e-03 1.2070e-03 2.7920e-02 1.0000e+00
2.8554e-02 5.6400e-02 1.5973e-03 4.9477e-02 1.2500e-03 6.0233e-02 1.6169e-03 4.7227e-02 1.4439e-03 1.3491e-03 2.9158e-02 1.0000e+00
2.9806e-02 4.2498e-02 1.6063e-03 4.2089e-02 1.2753e-03 5.7394e-02 1.6557e-03 3.0433e-02 1.4291e-03 1.4817e-03 3.0427e-02 1.0000e+00
3.1059e-02 5.1030e-02 1.6201e-03 4.0159e-02 1.2440e-03 5.9890e-02 1.6488e-03 3.4679e-02 1.4246e-03 1.4494e-03 3.1667e-02 1.0000e+00
3.2312e-02 4.3528e-02 1.5600e-03 3.5305e-02 1.2391e-03 4.9342e-02 1.5779e-03 3.1339e-02 1.4148e-03 1.5414e-03 3.2921e-02 1.0000e+00
3.3565e-02 4.1644e-02 1.5750e-03 2.8929e-02 1.2473e-03 3.6701e-02 1.5538e-03 2.5553e-02 1.4146e-03 1.5275e-03 3.4173e-02 1.0000e+00
3.4817e-02 3.9191e-02 1.5373e-03 2.9276e-02 1.2607e-03 4.6823e-02 1.5620e-03 2.3177e-02 1.4110e-03 1.5661e-03 3.5423e-02 1.0000e+00
3.6070e-02 4.8642e-02 1.5506e-03 3.1205e-02 1.3094e-03 5.9193e-02 1.5883e-03 1.9508e-02 1.4395e-03 1.6052e-03 3.6688e-02 1.0000e+00
