Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 7.7116e+01 1.0670e-01 -9.0733e-01 1.2489e-02 1.0214e+02 1.1965e-01 -5.6983e-01 1.6857e-02 2.6120e-03 4.1802e-03 1.0000e+00
4.7527e-03 1.2959e+01 3.9648e-02 -1.3089e-02 5.8889e-03 1.4561e+01 4.1277e-02 1.4194e-02 7.6078e-03 2.2781e-03 5.4482e-03 1.0000e+00
6.0054e-03 4.3337e+00 2.0836e-02 9.8027e-02 4.7036e-03 4.9737e+00 2.1814e-02 5.3180e-02 5.4544e-03 2.0013e-03 6.6940e-03 1.0000e+00
7.2581e-03 2.3065e+00 1.4593e-02 1.0386e-01 3.9081e-03 2.4828e+00 1.4913e-02 1.0787e-01 4.8745e-03 1.8735e-03 7.9266e-03 1.0000e+00
8.5108e-03 1.2675e+00 9.9445e-03 1.1981e-01 3.4872e-03 1.2914e+00 9.9463e-03 1.1455e-01 4.2191e-03 1.7036e-03 9.1686e-03 1.0000e+00
9.7634e-03 7.2279e-01 7.5885e-03 1.1798e-01 3.1015e-03 7.6984e-01 7.6934e-03 9.1235e-02 3.6200e-03 1.6170e-03 1.0420e-02 1.0000e+00
1.1016e-02 5.3153e-01 6.0945e-03 1.0513e-01 2.8107e-03 5.2935e-01 6.0516e-03 9.6264e-02 3.3742e-03 1.5276e-03 1.1657e-02 1.0000e+00
1.2269e-02 3.9562e-01 5.1896e-03 1.1176e-01 2.7309e-03 3.8220e-01 5.1103e-03 1.0344e-01 3.2612e-03 1.4394e-03 1.2905e-02 1.0000e+00
1.3522e-02 2.7787e-01 4.5023e-03 9.9616e-02 2.7289e-03 2.8038e-01 4.4907e-03 8.9115e-02 3.1900e-03 1.3719e-03 1.4166e-02 1.0000e+00
1.4774e-02 2.2510e-01 3.8931e-03 1.0849e-01 2.3801e-03 2.5306e-01 3.9937e-03 1.0353e-01 2.8698e-03 1.3224e-03 1.5421e-02 1.0000e+00
1.6027e-02 1.4859e-01 3.4303e-03 9.4913e-02 2.2776e-03 1.9188e-01 3.5988e-03 1.0171e-01 2.7717e-03 1.2613e-03 1.6680e-02 1.0000e+00
1.7280e-02 1.4735e-01 3.3104e-03 8.5602e-02 2.2958e-03 1.5784e-01 3.3423e-03 8.7343e-02 2.7412e-03 1.2351e-03 1.7927e-02 1.0000e+00
1.8532e-02 1.2455e-01 3.1137e-03 8.2970e-02 2.1848e-03 1.2657e-01 3.1113e-03 7.1270e-02 2.5371e-03 1.1805e-03 1.9173e-02 1.0000e+00
1.9785e-02 1.2427e-01 2.8810e-03 9.3443e-02 2.0788e-03 1.0970e-01 2.8066e-03 6.9567e-02 2.3772e-03 1.1506e-03 2.0424e-02 1.0000e+00
2.1038e-02 9.4487e-02 2.5716e-03 8.0713e-02 1.9122e-03 9.9413e-02 2.5853e-03 7.9368e-02 2.2772e-03 1.1098e-03 2.1676e-02 1.0000e+00
2.2290e-02 8.6446e-02 2.5327e-03 5.9654e-02 2.0220e-03 7.8880e-02 2.4921e-03 4.3288e-02 2.2842e-03 1.0782e-03 2.2938e-02 1.0000e+00
