Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 5.5576e+01 1.5116e-01 -5.4518e-01 1.6654e-02 6.2830e+01 1.5776e-01 -5.5331e-01 2.1306e-02 2.6120e-03 4.1802e-03 1.0000e+00
4.7527e-03 1.1348e+01 6.7382e-02 -1.0118e-01 9.3031e-03 1.3593e+01 7.1746e-02 3.4890e-02 1.3726e-02 2.2781e-03 5.4482e-03 1.0000e+00
6.0054e-03 4.7024e+00 3.7420e-02 4.3304e-02 6.5444e-03 5.5404e+00 3.9092e-02 3.7519e-02 8.1141e-03 2.0013e-03 6.6940e-03 1.0000e+00
7.2581e-03 2.1840e+00 2.3915e-02 5.4431e-02 5.2516e-03 2.5087e+00 2.5301e-02 9.1471e-02 7.4985e-03 1.8735e-03 7.9266e-03 1.0000e+00
8.5108e-03 1.2335e+00 1.6869e-02 9.5014e-02 5.7126e-03 1.3979e+00 1.7388e-02 6.3078e-02 6.6123e-03 1.7036e-03 9.1686e-03 1.0000e+00
9.7634e-03 8.1084e-01 1.2769e-02 7.0721e-02 4.5085e-03 8.3883e-01 1.2902e-02 9.5254e-02 5.7840e-03 1.6170e-03 1.0420e-02 1.0000e+00
1.1016e-02 5.1789e-01 9.4738e-03 7.8155e-02 4.1482e-03 6.4306e-01 1.0263e-02 6.8025e-02 4.8173e-03 1.5276e-03 1.1657e-02 1.0000e+00
1.2269e-02 3.4600e-01 7.8462e-03 8.0375e-02 4.0439e-03 4.7587e-01 8.7833e-03 8.4923e-02 4.8808e-03 1.4394e-03 1.2905e-02 1.0000e+00
1.3522e-02 2.9297e-01 7.2123e-03 1.0193e-01 3.8097e-03 3.1315e-01 7.2156e-03 7.7724e-02 4.4412e-03 1.3719e-03 1.4166e-02 1.0000e+00
1.4774e-02 1.9291e-01 5.9122e-03 5.7596e-02 3.5757e-03 2.5932e-01 6.3671e-03 6.4978e-02 4.3214e-03 1.3224e-03 1.5421e-02 1.0000e+00
1.6027e-02 2.2173e-01 5.7849e-03 7.2864e-02 3.4162e-03 2.1181e-01 5.6353e-03 6.3045e-02 3.9759e-03 1.2613e-03 1.6680e-02 1.0000e+00
1.7280e-02 1.5786e-01 4.8560e-03 7.6645e-02 3.1153e-03 1.8047e-01 4.9290e-03 5.9541e-02 3.5553e-03 1.2351e-03 1.7927e-02 1.0000e+00
1.8532e-02 1.1209e-01 4.4209e-03 5.1056e-02 3.1117e-03 1.9345e-01 4.9913e-03 5.0376e-02 3.6538e-03 1.1805e-03 1.9173e-02 1.0000e+00
1.9785e-02 1.1174e-01 4.4087e-03 6.3826e-02 2.8856e-03 1.1983e-01 4.4090e-03 4.1235e-02 3.2377e-03 1.1506e-03 2.0424e-02 1.0000e+00
2.1038e-02 1.1049e-01 4.3749e-03 6.4466e-02 2.9252e-03 1.0826e-01 4.3165e-03 3.7117e-02 3.2086e-03 1.1098e-03 2.1676e-02 1.0000e+00
2.2290e-02 7.9203e-02 3.7339e-03 5.4872e-02 2.6071e-03 8.0175e-02 3.7501e-03 5.6229e-02 3.1178e-03 1.0782e-03 2.2938e-02 1.0000e+00
2.3543e-02 7.8254e-02 3.5952e-03 4.7517e-02 2.5722e-03 8.7959e-02 3.6769e-03 5.1145e-02 3.1009e-03 1.0507e-03 2.4199e-02 1.0000e+00
2.4796e-02 1.0069e-01 3.5226e-03 4.0072e-02 2.5070e-03 9.8984e-02 3.5403e-03 4.3807e-02 2.9988e-03 1.0325e-03 2.5449e-02 1.0000e+00
2.6048e-02 4.3866e-02 3.3160e-03 5.1239e-02 2.4174e-03 6.6555e-02 3.4407e-03 4.3326e-02 2.7915e-03 1.0788e-03 2.6665e-02 1.0000e+00
2.7301e-02 6.6993e-02 3.4300e-03 4.4485e-02 2.5692e-03 5.0241e-02 3.2623e-03 2.8784e-02 2.8518e-03 1.2070e-03 2.7920e-02 1.0000e+00
2.8554e-02 7.0069e-02 3.2375e-03 4.3543e-02 2.3447e-03 7.1708e-02 3.3020e-03 3.6295e-02 2.6995e-03 1.3491e-03 2.9158e-02 1.0000e+00
2.9806e-02 4.5299e-02 3.0069e-03 3.2357e-02 2.3730e-03 7.2632e-02 3.1830e-03 2.2204e-02 2.6780e-03 1.4817e-03 3.0427e-02 1.0000e+00
3.1059e-02 4.7552e-02 2.8539e-03 4.4466e-02 2.1973e-03 6.2588e-02 2.9454e-03 4.1393e-02 2.5574e-03 1.4494e-03 3.1667e-02 1.0000e+00
3.2312e-02 4.5946e-02 2.9415e-03 3.9646e-02 2.1382e-03 5.4610e-02 2.9910e-03 2.7945e-02 2.4313e-03 1.5414e-03 3.2921e-02 1.0000e+00
3.3565e-02 4.1167e-02 2.7603e-03 1.4106e-02 2.2812e-03 2.9430e-02 2.6801e-03 2.3975e-03 2.5119e-03 1.5275e-03 3.4173e-02 1.0000e+00
3.4817e-02 4.0982e-02 2.6773e-03 2.2878e-02 2.2092e-03 5.5580e-02 2.7611e-03 1.2861e-02 2.4530e-03 1.5661e-03 3.5423e-02 1.0000e+00
3.6070e-02 3.2936e-02 2.9053e-03 3.8122e-02 2.4994e-03 5.8345e-02 3.0459e-03 2.6715e-02 2.7340e-03 1.6052e-03 3.6688e-02 1.0000e+00
3.7323e-02 1.9217e-02 4.1679e-03 2.3784e-02 3.0022e-03 2.8850e-02 4.2703e-03 1.8668e-02 3.5302e-03 1.9538e-03 3.7910e-02 1.0000e+00
3.8575e-02 1.5203e-02 7.8520e-03 2.3745e-02 5.0601e-03 3.2058e-02 8.3719e-03 2.0099e-02 6.9164e-03 2.2987e-03 3.9194e-02 1.0000e+00
3.9828e-02 4.4337e-02 1.6885e-03 1.5334e-02 1.3098e-03 5.6208e-02 1.7672e-03 1.5438e-02 1.4577e-03 2.6967e-03 4.0401e-02 1.0000e+00
4.1081e-02 3.8496e-02 1.4811e-03 2.2848e-02 8.6114e-04 4.0023e-02 1.4867e-03 1.3264e-02 9.4593e-04 3.0617e-03 4.1720e-02 1.0000e+00
4.2333e-02 5.5432e-02 2.1136e-03 9.9547e-03 1.0116e-03 3.7556e-02 1.9047e-03 2.0657e-02 1.4093e-03 3.7858e-03 4.2976e-02 1.0000e+00
4.3586e-02 3.8107e-02 1.5917e-03 1.3853e-02 8.8622e-04 3.9704e-02 1.5951e-03 1.5477e-02 1.0229e-03 4.1835e-03 4.4128e-02 1.0000e+00
4.4839e-02 3.6977e-02 1.5344e-03 1.1304e-02 7.7427e-04 4.1312e-02 1.5599e-03 1.3973e-02 9.5298e-04 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 4.1747e-02 1.8618e-03 1.4953e-02 8.7539e-04 4.6553e-02 1.8970e-03 1.4095e-02 1.0537e-03 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 2.1105e-02 1.3912e-03 7.9678e-03 8.2322e-04 3.1464e-02 1.4521e-03 5.9777e-03 9.0882e-04 4.4852e-03 4.7929e-02 1.0000e+00
4.8597e-02 4.1636e-02 1.5274e-03 5.8426e-03 7.7598e-04 4.3043e-02 1.5297e-03 1.1007e-02 9.5233e-04 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 3.4352e-02 1.7692e-03 7.1797e-03 9.8926e-04 3.6498e-02 1.7789e-03 1.9096e-03 1.0435e-03 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 3.2731e-02 1.2689e-03 3.5520e-03 7.1031e-04 4.0077e-02 1.3141e-03 5.3170e-03 8.2749e-04 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 3.8707e-02 1.4794e-03 6.7400e-03 8.3017e-04 4.0732e-02 1.4889e-03 4.9648e-03 9.4547e-04 4.8602e-03 5.2983e-02 1.0000e+00
5.3608e-02 3.4832e-02 1.5162e-03 6.4573e-03 8.4753e-04 3.9804e-02 1.5430e-03 4.5705e-03 9.2383e-04 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 4.1680e-02 1.3916e-03 5.0827e-03 6.6117e-04 4.2678e-02 1.3913e-03 3.7084e-03 7.4317e-04 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 3.3558e-02 1.5767e-03 8.6134e-03 7.6023e-04 5.1692e-02 1.7209e-03 5.6716e-03 8.5775e-04 4.5399e-03 5.6715e-02 1.0000e+00
5.7366e-02 4.7344e-02 1.4476e-03 6.5106e-03 7.3464e-04 4.3488e-02 1.4197e-03 6.8442e-03 8.2573e-04 4.3663e-03 5.7990e-02 1.0000e+00
5.8618e-02 5.9502e-02 1.4745e-03 5.2266e-03 5.7797e-04 6.2790e-02 1.4862e-03 9.5809e-03 7.2333e-04 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 6.2996e-02 1.6815e-03 4.2972e-03 6.7773e-04 5.5361e-02 1.6163e-03 4.6684e-03 8.0089e-04 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 6.7276e-02 1.4613e-03 8.1767e-03 6.0754e-04 8.3732e-02 1.5434e-03 8.4416e-03 7.0659e-04 4.4155e-03 6.1709e-02 1.0000e+00
6.2376e-02 9.7302e-02 1.6029e-03 6.1818e-03 6.3460e-04 9.6053e-02 1.5867e-03 7.2897e-03 7.4281e-04 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 7.9534e-02 1.7134e-03 6.5064e-03 6.5984e-04 1.0808e-01 1.8773e-03 5.3356e-03 7.5605e-04 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 9.6645e-02 1.6311e-03 1.7082e-03 6.7345e-04 1.1591e-01 1.7085e-03 2.0951e-03 7.5397e-04 4.1517e-03 6.5467e-02 1.0000e+00
6.6134e-02 1.3193e-01 1.8010e-03 -1.4340e-05 6.4803e-04 1.4073e-01 1.8301e-03 6.7884e-03 8.0645e-04 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 1.3255e-01 1.9347e-03 5.4454e-03 7.3619e-04 1.5277e-01 2.0222e-03 2.9742e-03 8.0323e-04 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 1.4240e-01 1.6485e-03 9.5255e-04 5.8796e-04 1.5484e-01 1.6891e-03 4.7133e-03 7.0167e-04 3.8968e-03 6.9276e-02 1.0000e+00
6.9892e-02 1.3220e-01 1.8447e-03 9.2873e-04 6.0489e-04 1.4886e-01 1.9103e-03 2.2396e-03 7.1024e-04 4.4685e-03 7.0570e-02 1.0000e+00
7.1145e-02 1.2592e-01 1.8027e-03 5.2200e-03 7.0753e-04 1.4534e-01 1.8787e-03 1.7520e-03 7.5698e-04 4.0197e-03 7.1680e-02 1.0000e+00
7.2398e-02 1.1768e-01 1.5245e-03 -5.2071e-04 5.6362e-04 1.3092e-01 1.5710e-03 2.4271e-03 6.5871e-04 3.9493e-03 7.3065e-02 1.0000e+00
