Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 4.4281e+01 6.9285e-02 3.5154e-01 1.5157e-02 5.0325e+01 1.0353e-01 3.4259e-01 1.4825e-02 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 1.1114e+01 3.3319e-02 6.7898e-02 8.2733e-03 1.2433e+01 4.8586e-02 5.4680e-02 8.0713e-03 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 4.5720e+00 1.8853e-02 5.1940e-02 5.6862e-03 4.7347e+00 2.6731e-02 4.1347e-02 5.5730e-03 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 2.1391e+00 1.3380e-02 6.6997e-03 5.0639e-03 2.1664e+00 1.8230e-02 5.5371e-03 5.0513e-03 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 1.2335e+00 8.9923e-03 3.5092e-02 4.4401e-03 1.3101e+00 1.2627e-02 2.0899e-02 4.3030e-03 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 6.8569e-01 7.2687e-03 3.9985e-02 4.0826e-03 7.6409e-01 9.8505e-03 4.1671e-02 4.0880e-03 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.6820e-01 5.6713e-03 2.0005e-02 3.7715e-03 5.2178e-01 7.6475e-03 2.3497e-02 3.7933e-03 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 3.3107e-01 4.9469e-03 2.9438e-02 3.6200e-03 3.4196e-01 6.4456e-03 3.8043e-02 3.6813e-03 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 2.4032e-01 4.2726e-03 1.7888e-02 3.4191e-03 2.5852e-01 5.5396e-03 1.0582e-02 3.3624e-03 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.8050e-01 3.8066e-03 4.1593e-02 2.9931e-03 2.0963e-01 4.9359e-03 5.3000e-02 3.0766e-03 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.5291e-01 3.4106e-03 6.5366e-03 3.3290e-03 1.6317e-01 4.3571e-03 -1.8201e-03 3.2723e-03 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.2775e-01 3.2018e-03 2.0164e-03 3.0242e-03 1.2778e-01 3.9911e-03 3.4480e-03 3.0328e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 8.3532e-02 3.1038e-03 2.2728e-02 2.9032e-03 8.9737e-02 3.7781e-03 2.3832e-02 2.9080e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 7.2746e-02 2.8856e-03 2.5579e-02 2.7908e-03 1.0269e-01 3.6493e-03 2.1134e-02 2.7594e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 7.4696e-02 2.6842e-03 1.6018e-02 2.7250e-03 9.0011e-02 3.3470e-03 1.4152e-02 2.7120e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 5.3619e-02 2.7741e-03 1.5462e-02 2.5387e-03 5.6031e-02 3.3152e-03 3.8485e-02 2.6737e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 5.9100e-02 2.5519e-03 2.2213e-02 2.3600e-03 5.2683e-02 3.0414e-03 2.2082e-02 2.3591e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 5.5266e-02 2.7117e-03 1.3456e-02 2.9576e-03 6.2848e-02 3.1821e-03 3.9478e-03 2.9106e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 5.7702e-02 3.0565e-03 2.9589e-02 3.3485e-03 4.7830e-02 3.6222e-03 8.3630e-03 3.2032e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 3.4067e-02 4.6707e-03 2.5063e-02 4.8540e-03 6.4912e-02 6.5623e-03 1.9199e-02 4.7271e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 3.4001e-02 5.2803e-03 1.4180e-02 3.7985e-03 3.5683e-02 5.3861e-03 1.7849e-02 3.8077e-03 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 3.3034e-02 1.5324e-03 1.6327e-03 1.2189e-03 2.9454e-02 1.8055e-03 -1.2823e-03 1.1934e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 2.7818e-02 1.5214e-03 7.2332e-03 1.1276e-03 3.3922e-02 1.9355e-03 8.4580e-03 1.1402e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 4.0654e-02 1.3100e-03 4.6082e-03 1.0914e-03 4.2118e-02 1.6065e-03 8.7061e-03 1.1249e-03 1.5323e-03 3.2926e-02 1.0000e+00
3.3565e-02 2.8991e-02 1.4188e-03 8.0190e-03 1.1166e-03 2.8374e-02 1.7657e-03 5.9077e-03 1.0900e-03 1.5319e-03 3.4180e-02 1.0000e+00
3.4817e-02 3.5480e-02 1.3269e-03 2.7225e-03 9.6146e-04 3.5079e-02 1.6114e-03 7.6788e-03 1.0082e-03 1.5661e-03 3.5429e-02 1.0000e+00
3.6070e-02 3.1952e-02 1.2324e-03 4.6746e-03 9.7125e-04 3.1919e-02 1.4694e-03 5.9277e-03 9.8037e-04 1.6153e-03 3.6687e-02 1.0000e+00
3.7323e-02 3.0837e-02 1.2934e-03 7.1754e-03 9.6813e-04 2.7409e-02 1.6267e-03 7.5465e-03 9.7188e-04 1.9371e-03 3.7903e-02 1.0000e+00
3.8575e-02 2.8926e-02 1.2209e-03 4.0789e-03 9.4670e-04 3.2127e-02 1.4489e-03 1.6847e-03 9.2794e-04 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 2.8479e-02 1.1790e-03 2.2696e-03 1.0774e-03 3.1812e-02 1.5585e-03 -2.0803e-03 1.0222e-03 2.6795e-03 4.0407e-02 1.0000e+00
4.1081e-02 2.5461e-02 1.1975e-03 -3.3118e-05 9.8298e-04 2.9096e-02 1.4366e-03 1.5347e-03 9.9386e-04 3.0835e-03 4.1723e-02 1.0000e+00
4.2333e-02 2.6458e-02 1.2336e-03 6.3076e-03 1.0033e-03 3.4057e-02 1.5145e-03 1.2999e-03 9.5920e-04 3.7482e-03 4.2974e-02 1.0000e+00
4.3586e-02 3.9387e-02 1.1349e-03 1.2377e-03 9.0001e-04 4.2422e-02 1.4649e-03 3.6402e-03 9.2388e-04 4.1835e-03 4.4131e-02 1.0000e+00
4.4839e-02 2.7990e-02 1.0862e-03 1.8419e-03 9.2554e-04 3.6281e-02 1.3192e-03 2.5856e-03 9.2936e-04 4.7093e-03 4.5534e-02 1.0000e+00
