Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 5.8067e+01 1.3312e-01 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.2218e+01 5.5726e-02 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.7168e+00 3.0977e-02 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.2546e+00 2.0102e-02 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.2725e+00 1.3948e-02 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 8.2664e-01 1.0563e-02 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 5.6489e-01 8.2247e-03 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 4.2608e-01 6.9698e-03 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 3.3792e-01 5.8419e-03 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.6854e-01 5.1859e-03 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 2.3308e-01 4.5100e-03 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 2.0657e-01 4.1831e-03 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 1.7517e-01 3.7775e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.5313e-01 3.4887e-03 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 1.3812e-01 3.1711e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2777e-01 3.0059e-03 1.0816e-03 2.2936e-02 1.0000e+00
2.3543e-02 1.0730e-01 2.7679e-03 1.0538e-03 2.4189e-02 1.0000e+00
2.4796e-02 1.0419e-01 2.6602e-03 1.0252e-03 2.5446e-02 1.0000e+00
2.6048e-02 9.9264e-02 2.6860e-03 1.0788e-03 2.6667e-02 1.0000e+00
2.7301e-02 9.3370e-02 2.8351e-03 1.2275e-03 2.7912e-02 1.0000e+00
2.8554e-02 8.1180e-02 2.7594e-03 1.3374e-03 2.9142e-02 1.0000e+00
2.9806e-02 7.6887e-02 2.7490e-03 1.4575e-03 3.0430e-02 1.0000e+00
3.1059e-02 7.3594e-02 2.7474e-03 1.4573e-03 3.1684e-02 1.0000e+00
