Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 4.2670e+01 2.0187e-01 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.0494e+01 9.5335e-02 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 4.1780e+00 5.3814e-02 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.1289e+00 3.6425e-02 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.2292e+00 2.5171e-02 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 7.7981e-01 1.9533e-02 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 5.7026e-01 1.4534e-02 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 4.0812e-01 1.2928e-02 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 3.3626e-01 1.1001e-02 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.6391e-01 9.7975e-03 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 2.3018e-01 8.3738e-03 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 2.0115e-01 7.6223e-03 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 1.6902e-01 7.2134e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.6327e-01 6.5922e-03 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 1.4351e-01 5.9958e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2540e-01 5.5664e-03 1.0816e-03 2.2936e-02 1.0000e+00
2.3543e-02 1.1111e-01 4.9667e-03 1.0538e-03 2.4189e-02 1.0000e+00
2.4796e-02 1.0733e-01 5.2185e-03 1.0252e-03 2.5446e-02 1.0000e+00
2.6048e-02 1.0345e-01 6.0532e-03 1.0788e-03 2.6667e-02 1.0000e+00
2.7301e-02 9.7175e-02 1.0377e-02 1.2275e-03 2.7912e-02 1.0000e+00
2.8554e-02 7.5023e-02 1.0418e-02 1.3374e-03 2.9142e-02 1.0000e+00
2.9806e-02 8.5055e-02 3.6222e-03 1.4575e-03 3.0430e-02 1.0000e+00
3.1059e-02 6.0480e-02 4.0564e-03 1.4573e-03 3.1684e-02 1.0000e+00
3.2312e-02 7.2892e-02 3.4909e-03 1.5272e-03 3.2935e-02 1.0000e+00
3.3565e-02 5.9258e-02 3.7649e-03 1.5371e-03 3.4188e-02 1.0000e+00
3.4817e-02 6.1504e-02 3.2762e-03 1.5851e-03 3.5428e-02 1.0000e+00
3.6070e-02 5.2628e-02 3.2252e-03 1.6051e-03 3.6679e-02 1.0000e+00
3.7323e-02 5.4757e-02 3.2283e-03 1.9127e-03 3.7893e-02 1.0000e+00
3.8575e-02 5.3158e-02 2.8684e-03 2.3093e-03 3.9207e-02 1.0000e+00
3.9828e-02 4.8647e-02 3.2527e-03 2.6237e-03 4.0410e-02 1.0000e+00
4.1081e-02 4.7693e-02 2.8766e-03 3.0615e-03 4.1704e-02 1.0000e+00
4.2333e-02 4.5576e-02 2.9970e-03 3.6858e-03 4.2984e-02 1.0000e+00
4.3586e-02 4.4980e-02 2.7771e-03 4.2071e-03 4.4112e-02 1.0000e+00
4.4839e-02 4.1199e-02 2.5515e-03 4.6284e-03 4.5510e-02 1.0000e+00
4.6091e-02 4.1716e-02 2.7954e-03 5.3431e-03 4.6674e-02 1.0000e+00
4.7344e-02 3.9113e-02 2.4836e-03 4.5370e-03 4.7894e-02 1.0000e+00
4.8597e-02 4.2368e-02 2.7308e-03 4.6468e-03 4.9286e-02 1.0000e+00
4.9849e-02 4.2054e-02 2.4199e-03 4.8592e-03 5.0443e-02 1.0000e+00
