Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 6.0777e+01 3.5225e-01 2.5882e-03 4.1925e-03 1.0000e+00
4.7527e-03 1.3780e+01 1.6697e-01 2.3278e-03 5.4526e-03 1.0000e+00
6.0054e-03 5.4887e+00 8.6047e-02 1.9906e-03 6.6801e-03 1.0000e+00
7.2581e-03 2.1902e+00 5.2228e-02 1.8646e-03 7.9265e-03 1.0000e+00
8.5108e-03 1.2714e+00 3.6776e-02 1.7104e-03 9.1639e-03 1.0000e+00
9.7634e-03 8.1487e-01 2.6577e-02 1.6170e-03 1.0409e-02 1.0000e+00
1.1016e-02 5.7368e-01 2.1449e-02 1.4994e-03 1.1670e-02 1.0000e+00
1.2269e-02 4.2281e-01 1.7354e-02 1.4517e-03 1.2927e-02 1.0000e+00
1.3522e-02 3.5519e-01 1.4792e-02 1.3684e-03 1.4178e-02 1.0000e+00
1.4774e-02 2.6984e-01 1.2217e-02 1.3351e-03 1.5422e-02 1.0000e+00
1.6027e-02 2.3883e-01 1.1531e-02 1.2723e-03 1.6657e-02 1.0000e+00
1.7280e-02 2.0780e-01 1.0460e-02 1.2250e-03 1.7905e-02 1.0000e+00
1.8532e-02 1.7063e-01 9.2758e-03 1.1782e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.3546e-01 8.2463e-03 1.1465e-03 2.0420e-02 1.0000e+00
2.1038e-02 1.5193e-01 7.6523e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2783e-01 7.0792e-03 1.0816e-03 2.2936e-02 1.0000e+00
2.3543e-02 1.0372e-01 6.7424e-03 1.0538e-03 2.4189e-02 1.0000e+00
2.4796e-02 1.0447e-01 6.1343e-03 1.0252e-03 2.5446e-02 1.0000e+00
2.6048e-02 9.9503e-02 6.0829e-03 1.0788e-03 2.6667e-02 1.0000e+00
2.7301e-02 8.9938e-02 5.9234e-03 1.2275e-03 2.7912e-02 1.0000e+00
2.8554e-02 8.4452e-02 5.2890e-03 1.3374e-03 2.9142e-02 1.0000e+00
2.9806e-02 7.5911e-02 5.3053e-03 1.4575e-03 3.0430e-02 1.0000e+00
3.1059e-02 7.7156e-02 5.1492e-03 1.4573e-03 3.1684e-02 1.0000e+00
3.2312e-02 7.0018e-02 4.8091e-03 1.5272e-03 3.2935e-02 1.0000e+00
3.3565e-02 6.1288e-02 4.5837e-03 1.5371e-03 3.4188e-02 1.0000e+00
3.4817e-02 6.1856e-02 4.4788e-03 1.5851e-03 3.5428e-02 1.0000e+00
3.6070e-02 6.2047e-02 4.5366e-03 1.6051e-03 3.6679e-02 1.0000e+00
3.7323e-02 4.6750e-02 6.5272e-03 1.9127e-03 3.7893e-02 1.0000e+00
3.8575e-02 4.1601e-02 5.7035e-03 2.3093e-03 3.9207e-02 1.0000e+00
3.9828e-02 5.3652e-02 4.1926e-03 2.6237e-03 4.0410e-02 1.0000e+00
4.1081e-02 4.4857e-02 3.0983e-03 3.0615e-03 4.1704e-02 1.0000e+00
4.2333e-02 3.8818e-02 4.1675e-03 3.6858e-03 4.2984e-02 1.0000e+00
4.3586e-02 4.9670e-02 3.2902e-03 4.2071e-03 4.4112e-02 1.0000e+00
4.4839e-02 4.0110e-02 2.8822e-03 4.6284e-03 4.5510e-02 1.0000e+00
4.6091e-02 4.2246e-02 3.8195e-03 5.3431e-03 4.6674e-02 1.0000e+00
4.7344e-02 4.3344e-02 2.7643e-03 4.5370e-03 4.7894e-02 1.0000e+00
4.8597e-02 4.0028e-02 3.0267e-03 4.6468e-03 4.9286e-02 1.0000e+00
4.9849e-02 4.3387e-02 3.5089e-03 4.8592e-03 5.0443e-02 1.0000e+00
5.1102e-02 3.7368e-02 2.6948e-03 4.5383e-03 5.1748e-02 1.0000e+00
5.2355e-02 4.1865e-02 2.9491e-03 4.8281e-03 5.2963e-02 1.0000e+00
5.3608e-02 4.3585e-02 3.1076e-03 4.4619e-03 5.4166e-02 1.0000e+00
5.4860e-02 4.0504e-02 2.6759e-03 4.5663e-03 5.5473e-02 1.0000e+00
5.6113e-02 4.1460e-02 2.9154e-03 4.4135e-03 5.6743e-02 1.0000e+00
5.7366e-02 4.7998e-02 2.7902e-03 4.4385e-03 5.8016e-02 1.0000e+00
5.8618e-02 5.6276e-02 2.7737e-03 4.4390e-03 5.9274e-02 1.0000e+00
5.9871e-02 5.9418e-02 3.4827e-03 4.4894e-03 6.0524e-02 1.0000e+00
6.1124e-02 6.5534e-02 2.8597e-03 4.3914e-03 6.1686e-02 1.0000e+00
6.2376e-02 8.4274e-02 3.0246e-03 4.2338e-03 6.2984e-02 1.0000e+00
6.3629e-02 9.8583e-02 3.9118e-03 4.4656e-03 6.4229e-02 1.0000e+00
6.4882e-02 1.0115e-01 3.2652e-03 4.0925e-03 6.5444e-02 1.0000e+00
6.6134e-02 1.1775e-01 3.4701e-03 4.0930e-03 6.6842e-02 1.0000e+00
6.7387e-02 1.2451e-01 4.0996e-03 4.5183e-03 6.8012e-02 1.0000e+00
6.8640e-02 1.3410e-01 3.3349e-03 3.9305e-03 6.9257e-02 1.0000e+00
6.9892e-02 1.3275e-01 3.5719e-03 4.3025e-03 7.0586e-02 1.0000e+00
7.1145e-02 1.1828e-01 3.9247e-03 4.1744e-03 7.1689e-02 1.0000e+00
7.2398e-02 1.1027e-01 3.1328e-03 3.9150e-03 7.3028e-02 1.0000e+00
7.3651e-02 1.0655e-01 3.2125e-03 4.1756e-03 7.4287e-02 1.0000e+00
7.4903e-02 9.7326e-02 3.3647e-03 3.9159e-03 7.5517e-02 1.0000e+00
7.6156e-02 7.4222e-02 2.7329e-03 4.0039e-03 7.6838e-02 1.0000e+00
7.7409e-02 7.0963e-02 2.9976e-03 4.0975e-03 7.8019e-02 1.0000e+00
7.8661e-02 5.9582e-02 2.6274e-03 3.9519e-03 7.9233e-02 1.0000e+00
7.9914e-02 5.1896e-02 2.3226e-03 3.7897e-03 8.0527e-02 1.0000e+00
8.1167e-02 3.7576e-02 2.6412e-03 4.0239e-03 8.1788e-02 1.0000e+00
8.2419e-02 3.4961e-02 2.1027e-03 3.8377e-03 8.3008e-02 1.0000e+00
8.3672e-02 2.8505e-02 2.0287e-03 3.7028e-03 8.4317e-02 1.0000e+00
8.4925e-02 2.3047e-02 2.2551e-03 4.0819e-03 8.5549e-02 1.0000e+00
8.6177e-02 1.7876e-02 1.8319e-03 3.7184e-03 8.6725e-02 1.0000e+00
8.7430e-02 1.6242e-02 1.8228e-03 3.6086e-03 8.8103e-02 1.0000e+00
8.8683e-02 1.4136e-02 2.0290e-03 3.9565e-03 8.9312e-02 1.0000e+00
8.9935e-02 1.1483e-02 1.6473e-03 3.5838e-03 9.0570e-02 1.0000e+00
9.1188e-02 8.6797e-03 1.8022e-03 3.7498e-03 9.1894e-02 1.0000e+00
9.2441e-02 1.0509e-02 1.8484e-03 3.8421e-03 9.3014e-02 1.0000e+00
9.3694e-02 5.7808e-03 1.5780e-03 3.5727e-03 9.4313e-02 1.0000e+00
9.4946e-02 7.7403e-03 1.7778e-03 3.7223e-03 9.5554e-02 1.0000e+00
9.6199e-02 8.7614e-03 1.7024e-03 3.5738e-03 9.6767e-02 1.0000e+00
9.7452e-02 9.6193e-03 1.5856e-03 3.6003e-03 9.8095e-02 1.0000e+00
9.8704e-02 9.6369e-03 1.9003e-03 3.6676e-03 9.9282e-02 1.0000e+00
9.9957e-02 1.0820e-02 1.7285e-03 3.4205e-03 1.0058e-01 1.0000e+00
1.0121e-01 1.1039e-02 1.6365e-03 3.6286e-03 1.0187e-01 1.0000e+00
1.0246e-01 1.0156e-02 1.8140e-03 3.5766e-03 1.0306e-01 1.0000e+00
1.0372e-01 1.1271e-02 1.6708e-03 3.5526e-03 1.0429e-01 1.0000e+00
1.0497e-01 1.2395e-02 1.7264e-03 3.4228e-03 1.0556e-01 1.0000e+00
1.0622e-01 1.0904e-02 1.9543e-03 3.4805e-03 1.0683e-01 1.0000e+00
1.0747e-01 1.4059e-02 1.5821e-03 3.4132e-03 1.0810e-01 1.0000e+00
1.0873e-01 1.3164e-02 1.7515e-03 3.3808e-03 1.0942e-01 1.0000e+00
1.0998e-01 1.3865e-02 1.8242e-03 3.5681e-03 1.1062e-01 1.0000e+00
1.1123e-01 1.3620e-02 1.6174e-03 3.3610e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.3273e-02 1.7109e-03 3.5079e-03 1.1311e-01 1.0000e+00
1.1374e-01 1.3353e-02 1.9609e-03 3.3620e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.8530e-02 1.6608e-03 3.2428e-03 1.1561e-01 1.0000e+00
1.1624e-01 1.5720e-02 1.7808e-03 3.4513e-03 1.1688e-01 1.0000e+00
1.1749e-01 1.6727e-02 1.7444e-03 3.2826e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.3006e-02 1.6455e-03 3.2736e-03 1.1941e-01 1.0000e+00
1.2000e-01 1.3069e-02 1.8604e-03 3.4762e-03 1.2058e-01 1.0000e+00
