Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 5.6144e+01 1.2651e-01 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.1525e+01 5.1720e-02 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 4.3674e+00 2.8623e-02 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.1413e+00 1.8910e-02 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.2564e+00 1.3412e-02 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 8.0463e-01 1.0020e-02 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 5.6496e-01 7.8841e-03 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 4.2295e-01 6.6477e-03 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 3.3040e-01 5.5732e-03 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.7320e-01 5.0146e-03 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 2.3578e-01 4.2976e-03 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 1.9751e-01 3.9720e-03 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.7201e-01 3.6097e-03 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.5336e-01 3.3483e-03 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 1.4034e-01 3.0573e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2353e-01 2.8598e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 1.1574e-01 2.7143e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 1.0092e-01 2.5332e-03 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 8.7458e-02 2.4899e-03 1.0754e-03 2.6675e-02 1.0000e+00
2.7301e-02 8.3998e-02 2.6659e-03 1.2314e-03 2.7918e-02 1.0000e+00
2.8554e-02 7.7718e-02 2.6035e-03 1.3333e-03 2.9147e-02 1.0000e+00
2.9806e-02 7.4431e-02 2.6323e-03 1.4694e-03 3.0438e-02 1.0000e+00
3.1059e-02 6.8562e-02 2.5868e-03 1.4614e-03 3.1680e-02 1.0000e+00
3.2312e-02 6.8902e-02 2.5372e-03 1.5279e-03 3.2935e-02 1.0000e+00
3.3565e-02 5.6164e-02 2.5463e-03 1.5410e-03 3.4186e-02 1.0000e+00
3.4817e-02 5.3266e-02 2.4154e-03 1.5755e-03 3.5423e-02 1.0000e+00
3.6070e-02 5.5876e-02 2.4643e-03 1.5904e-03 3.6683e-02 1.0000e+00
3.7323e-02 5.1966e-02 2.6579e-03 1.9506e-03 3.7900e-02 1.0000e+00
3.8575e-02 5.1980e-02 2.6896e-03 2.2738e-03 3.9186e-02 1.0000e+00
3.9828e-02 4.1673e-02 2.8597e-03 2.6458e-03 4.0408e-02 1.0000e+00
4.1081e-02 4.6275e-02 2.3591e-03 3.1056e-03 4.1723e-02 1.0000e+00
4.2333e-02 4.2465e-02 2.3800e-03 3.6859e-03 4.2967e-02 1.0000e+00
4.3586e-02 4.5745e-02 2.1194e-03 4.2071e-03 4.4124e-02 1.0000e+00
4.4839e-02 4.0082e-02 1.5371e-03 4.6567e-03 4.5528e-02 1.0000e+00
4.6091e-02 4.2187e-02 1.5261e-03 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 3.9625e-02 1.3688e-03 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 4.1101e-02 1.3887e-03 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 4.0836e-02 1.3856e-03 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.7161e-02 1.3651e-03 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 3.8944e-02 1.3272e-03 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 4.0705e-02 1.2991e-03 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 4.2148e-02 1.3183e-03 4.5663e-03 5.5504e-02 1.0000e+00
5.6113e-02 4.2599e-02 1.2749e-03 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 4.8113e-02 1.2972e-03 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 5.3525e-02 1.3089e-03 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 6.1186e-02 1.3169e-03 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 7.1362e-02 1.4068e-03 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 8.0667e-02 1.3984e-03 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 9.0741e-02 1.4870e-03 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.0266e-01 1.5064e-03 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.1173e-01 1.5232e-03 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.1965e-01 1.6398e-03 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.2321e-01 1.4625e-03 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.2130e-01 1.6378e-03 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.1298e-01 1.5186e-03 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.0688e-01 1.4236e-03 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 9.9178e-02 1.4245e-03 4.3964e-03 7.4230e-02 1.0000e+00
7.4903e-02 8.6251e-02 1.3057e-03 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 7.4795e-02 1.2782e-03 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 6.4001e-02 1.1931e-03 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.3843e-02 1.1371e-03 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.6380e-02 1.0397e-03 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.7634e-02 1.0191e-03 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 3.2050e-02 9.9752e-04 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.6066e-02 8.9061e-04 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.1077e-02 8.9728e-04 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 1.8293e-02 8.6409e-04 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 1.5596e-02 8.0169e-04 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.1598e-02 8.2645e-04 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.0625e-02 7.9898e-04 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 8.5873e-03 7.8189e-04 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 9.1666e-03 7.9366e-04 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 8.1536e-03 7.6031e-04 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 8.5973e-03 7.4902e-04 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 7.8678e-03 7.2858e-04 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 8.0209e-03 7.4816e-04 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 7.7271e-03 7.4712e-04 3.5747e-03 9.9303e-02 1.0000e+00
9.9957e-02 8.6770e-03 7.6077e-04 3.4896e-03 1.0062e-01 1.0000e+00
1.0121e-01 8.5809e-03 7.4713e-04 3.7699e-03 1.0183e-01 1.0000e+00
1.0246e-01 9.8764e-03 7.2538e-04 3.3991e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.0132e-02 7.6116e-04 3.5778e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.0175e-02 7.5076e-04 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.0530e-02 7.5225e-04 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.0969e-02 7.4930e-04 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.2758e-02 7.4239e-04 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.2424e-02 7.3098e-04 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.2038e-02 7.3776e-04 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.2771e-02 7.2204e-04 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.2314e-02 7.5985e-04 3.3207e-03 1.1427e-01 1.0000e+00
