Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 6.0885e+01 3.7902e-01 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.1305e+01 1.4997e-01 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 4.4917e+00 7.6230e-02 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.0740e+00 4.9331e-02 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.3489e+00 3.6096e-02 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 8.0786e-01 2.5609e-02 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 5.6671e-01 2.0487e-02 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 4.3731e-01 1.6974e-02 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 3.4625e-01 1.4042e-02 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.7582e-01 1.1726e-02 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 2.3293e-01 1.0754e-02 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 2.0107e-01 9.8277e-03 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.6087e-01 8.6291e-03 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.4271e-01 8.1549e-03 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 1.4904e-01 7.2111e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2920e-01 6.7907e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 1.1930e-01 6.6307e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 1.1136e-01 6.0961e-03 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 9.0757e-02 5.6573e-03 1.0754e-03 2.6675e-02 1.0000e+00
2.7301e-02 8.4489e-02 5.5972e-03 1.2314e-03 2.7918e-02 1.0000e+00
2.8554e-02 7.8023e-02 4.9226e-03 1.3333e-03 2.9147e-02 1.0000e+00
2.9806e-02 7.9158e-02 5.1413e-03 1.4694e-03 3.0438e-02 1.0000e+00
3.1059e-02 6.5223e-02 4.7622e-03 1.4614e-03 3.1680e-02 1.0000e+00
3.2312e-02 6.5359e-02 4.5013e-03 1.5279e-03 3.2935e-02 1.0000e+00
3.3565e-02 6.6649e-02 4.5089e-03 1.5410e-03 3.4186e-02 1.0000e+00
3.4817e-02 5.2022e-02 4.0949e-03 1.5755e-03 3.5423e-02 1.0000e+00
