Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 4.1831e+01 1.9603e-01 2.6878e-03 4.1795e-03 1.0000e+00
4.7527e-03 1.0099e+01 9.1985e-02 2.2466e-03 5.4397e-03 1.0000e+00
6.0054e-03 4.0505e+00 5.0843e-02 2.0123e-03 6.6902e-03 1.0000e+00
7.2581e-03 1.9938e+00 3.4513e-02 1.8473e-03 7.9324e-03 1.0000e+00
8.5108e-03 1.1696e+00 2.4094e-02 1.7311e-03 9.1688e-03 1.0000e+00
9.7634e-03 7.4539e-01 1.8615e-02 1.6169e-03 1.0401e-02 1.0000e+00
1.1016e-02 5.6177e-01 1.3991e-02 1.5133e-03 1.1649e-02 1.0000e+00
1.2269e-02 3.7726e-01 1.2193e-02 1.4475e-03 1.2903e-02 1.0000e+00
1.3522e-02 3.0613e-01 1.0363e-02 1.3684e-03 1.4159e-02 1.0000e+00
1.4774e-02 2.5885e-01 9.5027e-03 1.3100e-03 1.5429e-02 1.0000e+00
1.6027e-02 2.2260e-01 7.9268e-03 1.2751e-03 1.6683e-02 1.0000e+00
1.7280e-02 1.8866e-01 7.2939e-03 1.2201e-03 1.7933e-02 1.0000e+00
1.8532e-02 1.6704e-01 6.9325e-03 1.1941e-03 1.9176e-02 1.0000e+00
1.9785e-02 1.4949e-01 6.2714e-03 1.1465e-03 2.0419e-02 1.0000e+00
2.1038e-02 1.3939e-01 5.6923e-03 1.1062e-03 2.1678e-02 1.0000e+00
2.2290e-02 1.1578e-01 5.2814e-03 1.0799e-03 2.2942e-02 1.0000e+00
2.3543e-02 1.1125e-01 4.8302e-03 1.0602e-03 2.4192e-02 1.0000e+00
2.4796e-02 9.8060e-02 4.9738e-03 1.0237e-03 2.5443e-02 1.0000e+00
2.6048e-02 7.1401e-02 5.4202e-03 1.0771e-03 2.6664e-02 1.0000e+00
2.7301e-02 7.8045e-02 9.4427e-03 1.2094e-03 2.7929e-02 1.0000e+00
2.8554e-02 6.7014e-02 1.0315e-02 1.3523e-03 2.9162e-02 1.0000e+00
2.9806e-02 7.8317e-02 3.4348e-03 1.4858e-03 3.0427e-02 1.0000e+00
3.1059e-02 6.4631e-02 3.9776e-03 1.4573e-03 3.1659e-02 1.0000e+00
3.2312e-02 7.0091e-02 3.2923e-03 1.5191e-03 3.2923e-02 1.0000e+00
