Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 2.4593e+09 3.9044e+08 2.1734e-03 4.1973e-03 1.0000e+00
4.7527e-03 1.7497e+09 2.7761e+08 1.8219e-03 5.4271e-03 1.0000e+00
6.0054e-03 9.5841e+08 1.8787e+08 1.6400e-03 6.6667e-03 1.0000e+00
7.2581e-03 1.2517e+09 1.9291e+08 1.4855e-03 7.9207e-03 1.0000e+00
8.5108e-03 1.4786e+09 1.9839e+08 1.4115e-03 9.1631e-03 1.0000e+00
9.7634e-03 1.2404e+09 1.6930e+08 1.3094e-03 1.0396e-02 1.0000e+00
1.1016e-02 6.5482e+08 1.1775e+08 1.2243e-03 1.1657e-02 1.0000e+00
1.2269e-02 2.6200e+08 7.6430e+07 1.1731e-03 1.2921e-02 1.0000e+00
1.3522e-02 2.5180e+08 7.2218e+07 1.1259e-03 1.4167e-02 1.0000e+00
1.4774e-02 1.6591e+08 5.9296e+07 1.0788e-03 1.5410e-02 1.0000e+00
1.6027e-02 2.1311e+08 6.2059e+07 1.0313e-03 1.6660e-02 1.0000e+00
1.7280e-02 1.9541e+08 5.8201e+07 9.9887e-04 1.7915e-02 1.0000e+00
1.8532e-02 3.0728e+08 6.9105e+07 9.6323e-04 1.9166e-02 1.0000e+00
1.9785e-02 2.3964e+08 6.0962e+07 9.3338e-04 2.0422e-02 1.0000e+00
2.1038e-02 1.4796e+08 4.7854e+07 9.0618e-04 2.1678e-02 1.0000e+00
2.2290e-02 6.8067e+07 3.7251e+07 8.8497e-04 2.2928e-02 1.0000e+00
2.3543e-02 9.7456e+07 3.9794e+07 8.5913e-04 2.4177e-02 1.0000e+00
2.4796e-02 6.2421e+07 3.5737e+07 8.6713e-04 2.5417e-02 1.0000e+00
2.6048e-02 7.2848e+07 3.6638e+07 8.7594e-04 2.6682e-02 1.0000e+00
2.7301e-02 2.0099e+08 5.3247e+07 9.2589e-04 2.7914e-02 1.0000e+00
2.8554e-02 8.0727e+07 4.0062e+07 9.5342e-04 2.9173e-02 1.0000e+00
