Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 -6.8421e+07 1.4647e-01 2.1734e-03 4.1973e-03 1.0000e+00
4.7527e-03 -6.6732e+07 6.5558e-02 1.8219e-03 5.4271e-03 1.0000e+00
6.0054e-03 -6.6838e+07 3.3811e-02 1.6400e-03 6.6667e-03 1.0000e+00
7.2581e-03 2.9377e+08 2.0870e+08 1.4855e-03 7.9207e-03 1.0000e+00
8.5108e-03 1.5059e+08 1.5455e+08 1.4115e-03 9.1631e-03 1.0000e+00
9.7634e-03 3.0731e+08 1.8797e+08 1.3094e-03 1.0396e-02 1.0000e+00
1.1016e-02 1.9220e+08 1.5073e+08 1.2243e-03 1.1657e-02 1.0000e+00
1.2269e-02 8.7413e+07 1.1076e+08 1.1731e-03 1.2921e-02 1.0000e+00
1.3522e-02 7.9871e+07 1.0549e+08 1.1259e-03 1.4167e-02 1.0000e+00
1.4774e-02 -5.3250e+06 6.4372e+07 1.0788e-03 1.5410e-02 1.0000e+00
1.6027e-02 1.1100e+08 1.0435e+08 1.0313e-03 1.6660e-02 1.0000e+00
1.7280e-02 1.0203e+08 9.9259e+07 9.9887e-04 1.7915e-02 1.0000e+00
1.8532e-02 1.9140e+08 1.3910e+08 9.6323e-04 1.9166e-02 1.0000e+00
1.9785e-02 4.7138e+08 1.7822e+08 9.3338e-04 2.0422e-02 1.0000e+00
2.1038e-02 6.9455e+07 8.0586e+07 9.0618e-04 2.1678e-02 1.0000e+00
2.2290e-02 1.4755e+08 9.7293e+07 8.8497e-04 2.2928e-02 1.0000e+00
2.3543e-02 -2.8342e+07 4.1957e+07 8.5913e-04 2.4177e-02 1.0000e+00
2.4796e-02 5.1108e+07 7.0166e+07 8.6713e-04 2.5417e-02 1.0000e+00
2.6048e-02 1.9481e+08 1.0026e+08 8.7594e-04 2.6682e-02 1.0000e+00
2.7301e-02 1.1299e+08 8.2091e+07 9.2589e-04 2.7914e-02 1.0000e+00
2.8554e-02 1.9802e+06 5.1517e+07 9.5342e-04 2.9173e-02 1.0000e+00
2.9806e-02 1.0920e+08 8.0828e+07 1.0046e-03 3.0423e-02 1.0000e+00
3.1059e-02 1.6864e+08 9.0751e+07 1.0242e-03 3.1683e-02 1.0000e+00
3.2312e-02 1.9509e+08 9.4264e+07 1.0448e-03 3.2937e-02 1.0000e+00
3.3565e-02 2.3727e+07 5.4995e+07 1.0611e-03 3.4181e-02 1.0000e+00
3.4817e-02 1.6506e+08 8.9445e+07 1.0955e-03 3.5420e-02 1.0000e+00
3.6070e-02 7.6898e+07 8.5676e+07 1.2131e-03 3.6659e-02 1.0000e+00
3.7323e-02 4.7695e+08 2.1270e+08 1.5020e-03 3.7910e-02 1.0000e+00
3.8575e-02 1.7995e+08 7.0486e+07 1.7667e-03 3.9204e-02 1.0000e+00
3.9828e-02 6.8234e+07 5.5802e+07 2.0915e-03 4.0417e-02 1.0000e+00
4.1081e-02 1.6688e+08 5.9187e+07 2.4970e-03 4.1671e-02 1.0000e+00
4.2333e-02 1.9727e+08 6.9292e+07 2.9757e-03 4.2955e-02 1.0000e+00
4.3586e-02 1.9627e+08 7.8296e+07 3.5542e-03 4.4156e-02 1.0000e+00
4.4839e-02 1.8592e+08 5.9260e+07 3.6422e-03 4.5455e-02 1.0000e+00
4.6091e-02 9.4539e+07 5.2610e+07 3.7631e-03 4.6786e-02 1.0000e+00
4.7344e-02 2.0454e+08 6.8060e+07 3.8094e-03 4.7960e-02 1.0000e+00
4.8597e-02 1.7143e+08 5.7589e+07 3.6083e-03 4.9264e-02 1.0000e+00
4.9849e-02 2.2606e+08 8.9482e+07 4.0683e-03 5.0436e-02 1.0000e+00
5.1102e-02 1.6678e+08 5.1257e+07 3.4832e-03 5.1599e-02 1.0000e+00
5.2355e-02 6.2164e+07 3.6422e+07 3.4368e-03 5.3026e-02 1.0000e+00
5.3608e-02 1.5194e+08 6.6275e+07 3.8427e-03 5.4244e-02 1.0000e+00
5.4860e-02 2.5151e+08 6.1811e+07 3.4148e-03 5.5458e-02 1.0000e+00
5.6113e-02 2.0367e+08 6.1895e+07 3.5458e-03 5.6802e-02 1.0000e+00
5.7366e-02 1.7879e+08 6.3132e+07 3.6650e-03 5.7941e-02 1.0000e+00
5.8618e-02 9.4488e+07 3.9770e+07 3.3718e-03 5.9215e-02 1.0000e+00
5.9871e-02 1.1994e+08 4.6181e+07 3.4504e-03 6.0527e-02 1.0000e+00
6.1124e-02 1.2203e+08 5.0110e+07 3.4507e-03 6.1725e-02 1.0000e+00
6.2376e-02 1.3280e+08 4.5373e+07 3.3410e-03 6.3033e-02 1.0000e+00
6.3629e-02 2.0524e+08 5.9902e+07 3.4868e-03 6.4282e-02 1.0000e+00
6.4882e-02 1.8525e+08 5.6560e+07 3.3311e-03 6.5464e-02 1.0000e+00
6.6134e-02 1.5166e+08 4.6864e+07 3.3110e-03 6.6765e-02 1.0000e+00
6.7387e-02 2.4744e+08 7.4556e+07 3.4879e-03 6.7967e-02 1.0000e+00
6.8640e-02 1.3501e+08 4.2057e+07 3.1419e-03 6.9194e-02 1.0000e+00
6.9892e-02 1.2102e+08 4.1592e+07 3.1778e-03 7.0569e-02 1.0000e+00
7.1145e-02 1.2715e+08 5.2198e+07 3.5257e-03 7.1759e-02 1.0000e+00
7.2398e-02 8.2888e+07 3.3068e+07 3.0837e-03 7.2958e-02 1.0000e+00
7.3651e-02 1.5800e+08 4.6773e+07 3.1700e-03 7.4314e-02 1.0000e+00
7.4903e-02 1.5007e+08 5.3603e+07 3.3878e-03 7.5466e-02 1.0000e+00
7.6156e-02 1.4893e+08 4.2690e+07 3.0133e-03 7.6729e-02 1.0000e+00
7.7409e-02 1.2283e+08 4.2178e+07 3.1361e-03 7.8078e-02 1.0000e+00
7.8661e-02 9.7947e+07 4.1074e+07 3.2174e-03 7.9248e-02 1.0000e+00
7.9914e-02 7.9438e+07 3.1887e+07 2.9694e-03 8.0560e-02 1.0000e+00
8.1167e-02 7.4085e+07 3.4621e+07 3.1907e-03 8.1844e-02 1.0000e+00
8.2419e-02 1.1091e+08 4.0585e+07 3.1121e-03 8.2988e-02 1.0000e+00
8.3672e-02 1.0473e+08 3.6520e+07 2.9781e-03 8.4298e-02 1.0000e+00
8.4925e-02 1.2895e+08 4.5658e+07 3.1386e-03 8.5535e-02 1.0000e+00
8.6177e-02 1.4121e+08 4.2153e+07 2.9426e-03 8.6760e-02 1.0000e+00
8.7430e-02 1.1949e+08 3.8157e+07 2.9503e-03 8.8093e-02 1.0000e+00
8.8683e-02 1.4450e+08 5.0731e+07 3.1313e-03 8.9296e-02 1.0000e+00
8.9935e-02 1.3777e+08 3.8767e+07 2.8953e-03 9.0514e-02 1.0000e+00
9.1188e-02 8.2618e+07 3.3068e+07 2.8957e-03 9.1842e-02 1.0000e+00
9.2441e-02 2.0244e+08 5.6867e+07 3.1158e-03 9.3027e-02 1.0000e+00
9.3694e-02 2.3504e+08 4.8751e+07 2.8060e-03 9.4266e-02 1.0000e+00
9.4946e-02 1.4129e+08 4.1631e+07 2.8507e-03 9.5621e-02 1.0000e+00
9.6199e-02 1.7306e+08 5.1649e+07 3.0128e-03 9.6808e-02 1.0000e+00
9.7452e-02 1.0361e+08 3.4514e+07 2.7770e-03 9.8072e-02 1.0000e+00
9.8704e-02 1.3684e+08 4.2013e+07 2.8986e-03 9.9376e-02 1.0000e+00
9.9957e-02 1.7370e+08 4.8196e+07 2.9407e-03 1.0051e-01 1.0000e+00
1.0121e-01 1.0942e+08 3.5189e+07 2.7037e-03 1.0183e-01 1.0000e+00
1.0246e-01 1.2802e+08 4.0479e+07 2.8732e-03 1.0313e-01 1.0000e+00
1.0372e-01 8.3081e+07 3.0383e+07 2.8098e-03 1.0431e-01 1.0000e+00
1.0497e-01 1.3483e+08 3.6482e+07 2.7333e-03 1.0562e-01 1.0000e+00
1.0622e-01 2.0996e+08 5.5331e+07 2.9361e-03 1.0682e-01 1.0000e+00
1.0747e-01 1.2170e+08 3.3704e+07 2.6475e-03 1.0805e-01 1.0000e+00
1.0873e-01 6.7465e+07 2.7547e+07 2.7579e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.2620e+08 4.5822e+07 2.8436e-03 1.1056e-01 1.0000e+00
1.1123e-01 2.2422e+08 4.5140e+07 2.6236e-03 1.1182e-01 1.0000e+00
1.1248e-01 1.4870e+08 3.8789e+07 2.6865e-03 1.1315e-01 1.0000e+00
1.1374e-01 1.6854e+08 4.8423e+07 2.8015e-03 1.1435e-01 1.0000e+00
1.1499e-01 1.5793e+08 3.7843e+07 2.6202e-03 1.1559e-01 1.0000e+00
1.1624e-01 1.5571e+08 4.1085e+07 2.6827e-03 1.1689e-01 1.0000e+00
1.1749e-01 2.7614e+08 5.9336e+07 2.7614e-03 1.1806e-01 1.0000e+00
1.1875e-01 1.2173e+08 3.1278e+07 2.5315e-03 1.1935e-01 1.0000e+00
1.2000e-01 2.4365e+08 5.0638e+07 2.6579e-03 1.2068e-01 1.0000e+00
